name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Kiefernanflug,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Birkenanflug,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Eichenkeimlinge,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0
Calluna vulgaris,1,1,2,2,3,3,3,3,5,4,4,3,1,2,3,0,0.5,2,1,2,3,5,4,2,2,3,0.5,1,2,0,1,2,2
Luzula campestris,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,1,0,0,0
Genista pilosa,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0
Rumex acetosella,0,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0
Viola canina,0,0,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Campanula rotundifolia,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Thymus serpyllum,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Veronica officinalis,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0
Galium verum,0,0,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieracium pilosella,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypercium perforatum,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arctostaphylos uva-ursi,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirola secunda,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Vaccinium myrtillus,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphorbia cyparissias,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Festuca ovina,0.5,0.5,1,1,1,0.5,1,0.5,0.5,0.5,1,1,0.5,0.5,1,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,1,0.5,0,0,0,0.5,0.5,0,0.5
Sieglingia decumbens,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0
Agrostis alba,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0
Agrostis vulgaris,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthoxanthum odoratum,0,0,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aira flexuosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0
Carex pilulifera,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0
Carex ericetorum,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0
Carex arenaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Hypnum schreberi,0.5,1,1,2,2,2,2,2,5,5,5,4,4,5,5,5,0.5,0.5,1,1,1,3,5,5,5,5,0.5,0.5,0.5,0.5,2,2,0.5
Hypnum purum,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypnum cupressiforme,1,3,2,1,1,2,2,2,0.5,1,1,0.5,1,2,1,1,2,2,2,0.5,1,2,1,2,2,1,2,1,3,3,1,2,3
Hylocomium splendens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicranum scoparium,1,2,3,2,2,3,2,2,0.5,1,1,0.5,1,0.5,0.5,0.5,2,3,3,3,3,2,1,1,1,1,2,2,2,3,3,3,2
Dicranum undulatum,0,0.5,0.5,0.5,2,2,1,0.5,2,1,2,3,3,2,2,1,2,1,2,2,1,1,1,2,1,1,2,2,2,0.5,3,3,3
Dicranum spurium,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0
Ptilidium ciliare,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0.5,0,0.5,0.5,0,0,0,0,0,0,0
Polytrichum formosum ,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0
Polytrichum piliferum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0
Leucobrium glaucum ,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Ceratodon purpureum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0
Cladonia silvatica,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,1,1,1,0,0.5,1,0.5,0.5,0,1,0.5,0.5,1,1,2
Cladonia tenuis,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0,1,0.5,1
Cladonia furcata,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0.5,1,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,1,1
Cladonia gracilis,0,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,1,0.5
Cladonia uncialis,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5
Cladonia squamosa,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5
Cladonia chlorophaea,0,0.5,0.5,0,0.5,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5
Cladonia degenerans,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5
Cladonia gracilis var. dilatata,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladonia rangiferina,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0.5,0.5
Cladonia impexa,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Cladonia verticillata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Parmelia physodes,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0
