name,B2,B3,MB2,MB3,MB4,MB5,K1,K2,K3,K4,K5a,K5b,K5c,B6,B7,B8,B9,B10,MB6,MB7,MB8,MB9,MB10,K6,K7,K8,K9,K10a,K10b,B1,B4,B5,MB1
Achillea millefolium,2,0.5,0.5,4,0,0.5,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0.1,0.5,0
Agrimonia eupatoria,2,2,4,2,2,0.1,10,2,0.5,2,4,0.1,4,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.1,0,0,0.5,2,2,0
Agrostis capillaris,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2
Agrostis stolonifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajuga reptans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Alchemilla xanthochlora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium carinatum,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0.5,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.5
Anthericum ramosum,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,10,10,10,4,2,10,20,20,4,2,2,4,4,4,0,0.1,0,0
Arrhenatherum elatius,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asperula cynanchica,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0
Asperula tinctoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0.5,0,0.5,0,0.5,0,0,0.5,0.5,2,0.5,0.5,0,0,0,0
Avena pratensis,10,0,0.5,2,0.1,0,0,0,0,4,0.5,0,2,10,10,10,10,0.5,10,10,10,0,0,2,2,0,2,0,0.5,0,2,2,0
Brachypodium rupestre,20,62.5,37.5,37.5,62.5,37.5,37.5,62.5,62.5,62.5,10,62.5,62.5,20,37.5,37.5,37.5,37.5,62.5,62.5,37.5,37.5,62.5,37.5,37.5,37.5,37.5,62.5,37.5,20,37.5,37.5,62.5
Briza media,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0
Bromus erectus,37.5,10,10,20,0.5,20,10,10,10,2,37.5,10,10,0.5,2,2,10,10,4,10,0.5,4,0,4,4,10,4,2,0,20,10,20,2
Calamagrostis epigejos,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Calmin,0.1,0.5,0,4,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0
Campanula rotundifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex caryophyllea,0,0,0,0,2,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0
Carex flacca,0,2,0,2,2,2,0.1,0.1,2,2,0.5,0,2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,2,2
Carex hirta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Carex humilis,0,0,0,0,0,0,0,4,0,0,10,0,0,20,10,4,10,10,2,10,10,20,0,4,10,10,10,10,20,0,0,0,0
Carex montana,0,0,2,2,0,20,10,0,0,0,10,2,0.5,2,10,10,10,0,10,0,10,0,0.5,10,10,10,2,2,10,2,0.5,0,0
Carex pallescens,0.5,0,2,10,0.5,0.5,0,0.5,0,0,0,0.5,2,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0.5,2
Centaurea jacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.1,0.1,0.5,0.1,0,0,0,0,0.1,0.1,0,0.5,0,0,0
Cirsium arvense,0.1,0.1,2,0.1,0,0,0,0,2,2,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,2,0,0,0,0,0,0.1,2
Colchicum autumnale,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convolvulus arvensis,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coronilla varia,0.5,0.5,2,0.5,0,0,0.5,0,2,2,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,2
