plot,m_nadel_verl,bonitaet,ph,be_alter,hoehe
8,47.5,19.6,5.535000086,132,1130
13,35,26,5.414999962,142,950
14,40,29.2,5.130000114,152,1010
23,32.5,16,5.039999962,127,830
26,25,26.4,3.803333362,157,740
34,35,18.4,6.051845074,162,710
38,30,32.4,3.700000048,167,890
39,35,18.8,5.409999847,122,800
47,35,33.6,5.28000021,142,850
49,27.5,34.4,4.340000153,112,870
50,32.5,25.4,5.75,157,1300
51,40,19.8,5.446666559,222,1360
52,30,22.8,6.172921658,132,900
54,37.5,29.6,4.420000076,67,1070
57,25,27.6,3.970000029,87,990
67,30,33.6,6.134994507,97,740
68,42.5,16,4.536666711,237,1110
71,30,36.4,4.049999952,102,870
73,30,31.2,3.119999886,117,1160
74,37.5,31.8,6.710000038,152,950
83,10,26.8,4.409999847,67,1175
89,35,17.8,6.396759033,184.5,1540
92,35,27.2,6.819999933,107,1145
94,42.5,19.2,3.980000019,197,1180
96,30,20,5.130000114,222,1570
105,42.5,22.4,5.684999943,232,1130
109,57.5,15.6,4.492500067,307,1280
110,20,25.4,4.260000229,108,1220
115,35,30.4,4.630000114,167,1270
120,20,30,4.139999866,95,890
123,30,18,4.179999828,112,1440
133,45,12.8,5.389999866,247,1500
137,30,26.4,5.239999771,127,1030
139,30,25.2,4.949999809,167,1210
144,35,18.8,6.324416161,197,1500
149,40,22.8,5.650000095,157,1180
156,15,30.8,4.657713872,258,1270
157,20,32.8,4.059999943,218,1230
161,15,34.8,4.510000229,90,840
162,20,36.4,3.119999886,98,690
169,17.5,32.8,4.059999943,128,1120
182,15,42.4,3.25,88,695
183,12.5,38,4.800000191,86,700
194,10,38.8,3.25999999,86,710
198,20,35.2,3.75,85,970
201,15,34.8,5.579999924,106,790
223,25,32.4,3.150000095,77,1250
231,25,26.8,4.657713872,156,1360
237,20,32,3.519999981,113,1290
244,7.5,28.4,3.329999924,75,1380
247,20,32.4,3.059999943,76,1070
254,30,24,3.504999995,134,990
262,25,28.8,3.200000048,123,1330
266,20,32.8,3.950000048,118,990
269,15,27.2,3.569999933,138,1430
270,20,32.8,3.019999981,83,1320
281,20,29.6,3.210000038,121,1150
291,25,28,3.880000114,143,1300
305,25,26,3.089999914,143,1380
314,30,19.6,4.406666636,133,1440
315,25,26.8,5.419999917,138,1360
317,15,39.2,4.829999924,71,790
324,25,32.6,3.75999999,110.5,1320
325,25,19.6,5.559999943,108,1220
333,20,27,3.279999971,148,1350
340,10,23.2,3.619999945,118,1180
341,25,22.8,4.320000172,118,1170
343,20,23.6,6.131272078,118,1100
346,30,24,6.381178856,158,740
356,35,16.8,6.03000021,218,900
359,20,29.6,5.989999771,111,1290
373,7.5,31.2,6.037227154,121,730
377,65,14.8,6.049435616,210,1530
378,20,37.6,4.340000153,103,910
389,60,14.8,5.389999866,163,1500
393,20,32.4,6.157234669,77,890
395,20,32.4,3.890000025,253,1020
397,35,27.19220779,4.16,130,1120
