name,8,13,14,23,26,34,38,39,47,49,50,51,52,54,57,67,68,71,73,74,83,89,92,94,96,105,109,110,115,120,123,133,137,139,144,149,156,157,161,162,169,182,183,194,198,201,223,231,237,244,247,254,262,266,269,270,281,291,305,314,315,317,324,325,333,340,341,343,346,356,359,373,377,378,389,393,395,397
Abies alba,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,3,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5
Acer pseudoplatanus,0,3,0.5,0.5,0.5,0.5,3,0.5,0.5,3,0.5,0.5,0.5,0,0.5,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,0,0.5,0.5,3,0.5,0.5,3,0.5,0,0.5,0.5,10,0.5,3,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,3,3,0,0.5,0.5,0.5,0,0.5,3,3,3,0.5,0.5,3,3,3,0.5,0.5,3,0,0.5,0,0.5,0.5,0.5
Aconitum vulparia,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenostyles alliariae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,10,0,0,3,0.5,0,10,0,0,0.5,0,0,10,10,0,0,0,0,0,0,0.5,0,0.5,10,10,0,0,0,0,0,10,0,0,3,0.5,0,0,0.5,37.5,3,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenostyles glabra,0,0,0,0,3,0,0,0,0,0,37.5,10,0,10,3,0,3,0.5,0,3,3,3,10,3,0,3,3,0,0.5,0.5,0,0.5,0.5,3,3,10,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,10,3,0.5,0,10,0,0.5,3,10,0,3,10,0.5,3,0.5,10,10,3,3
Aegopodium podagraria,0,0,0.5,0,0,0.5,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0.5,0,0,0,0,0,0
Agrostis tenuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,10,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0
Ajuga reptans,0.5,0,0,0.5,0,0.5,0,0,0.5,0.5,3,0,0,3,0,0.5,0,0.5,0,0.5,3,0,0.5,0,0.5,0,0,3,0,3,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
Anemone nemorosa,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.5,0,3,0,0.5,0.5,0
