plot_id,Hoehe,Wasserha,Baumdeck,pH,Basensae,Auflage,Bestalte,CN,Bonität,Waldges,Koniante
8,1130.00,4.03612651,56.35,5.535000086,99.77653762,23.50,130,20.22871984,5.1,7 SesFag,1
13,950.00,3.578300744,51.50,5.414999962,99.73720625,26.00,140,20.14961962,3.8,7 SesFag,0.931034483
14,1010.00,6.941949148,50.00,5.130000114,97.2253377,0.85,150,22.88359788,3.1,7 SesFag,1
23,830.00,2.401749165,50.00,5.039999962,100,5.00,120,19.18440605,5.9,7 SesFag,1
26,740.00,8.227779273,71.50,3.803333362,98.65226176,51.25,157,20.92959315,3.65,6 ApoFag,0.519230769
34,710.00,3.375614727,73.00,6.051845074,99.17337076,7.50,160,21.1547696,5.4,7 SesFag,1
38,890.00,2.608427021,75.00,3.700000048,75.23123919,6.75,165,23.94692064,2.8,6 ApoFag,0.666666667
39,800.00,3.25857637,85.30,5.409999847,100,10.50,140,18.78179,5.15,7 SesFag,0.63592233
47,850.00,9.68182364,40.00,5.28000021,100,1.15,140,18.19852941,1.8,5 AdoAce,1
49,870.00,6.121811918,82.00,4.340000153,93.59024673,6.00,110,19.54198473,1.4,6 ApoFag,0.340909091
50,1300.00,5.16843703,60.40,5.75,100,0.50,180,22.62766595,3.7,6 ApoFag,0.49382716
51,1360.00,3.805926557,74.50,5.446666559,99.7531582,28.00,180,22.1122372,5.65,8 AdeAbi,0.460227273
52,900.00,4.448006758,79.00,6.172921658,100,11.25,150,21.04858704,4.65,6 ApoFag,0.5
54,1070.00,4.570411883,70.00,4.420000076,99.04827926,13.00,67,24.58563536,2.3,6 ApoFag,1
57,990.00,5.437297118,86.50,3.970000029,87.809079,4.00,90,21.30246719,2.9,6 ApoFag,0.882352941
67,740.00,4.182409535,46.00,6.134994507,100,8.00,95,20.81106643,1.5,7 SesFag,0.742574257
68,1110.00,3.011516187,52.50,4.536666711,99.66902595,21.00,230,23.37248886,5.4,8 AdeAbi,0.801980198
71,870.00,2.850063105,70.00,4.049999952,97.10020189,22.00,100,20.900462,0.9,6 ApoFag,0.862068966
73,1160.00,6.119890107,70.00,3.119999886,21.44210832,4.75,115,21.14825581,2.3,3 GalFag,1
74,950.00,4.084204995,80.00,6.710000038,100,6.50,230,16.01110734,3.75,6 ApoFag,0.121212121
83,1175.00,3.66719187,81.00,4.409999847,98.77430175,3.50,65,22.61508762,2.9,8 AdeAbi,1
88,1240.00,6.009471441,57.50,5.654999971,98.92311731,24.00,235,17.36473852,4.9,8 AdeAbi,0.347826087
89,1540.00,5.226580767,35.00,6.396759033,100,3.25,225,21.04429044,5.55,9 AdePic,1
92,1145.00,6.004158759,60.00,6.819999933,99.78796581,19.50,105,18.9373475,3.2,8 AdeAbi,1
94,1180.00,7.501133539,68.00,3.980000019,64.45186953,13.25,240,21.07712276,5.075,8 AdeAbi,0.353741497
96,1570.00,7.56823609,58.00,5.130000114,96.90092463,0.45,220,21.10375647,5,9 AdePic,1
105,1130.00,2.615401396,51.00,5.684999943,99.73973514,19.00,230,20.19309473,4.7,8 AdeAbi,1
109,1280.00,6.394883293,65.00,4.492500067,99.54173018,36.25,300,23.31817512,5.3,8 AdeAbi,0.826086957
110,1220.00,7.053207545,71.50,4.260000229,92.36990591,1.25,65,20.08131589,3.625,3 GalFag,0.63592233
115,1270.00,6.692139445,64.00,4.630000114,98.81793057,6.25,165,22.79414104,3.55,8 AdeAbi,0.757575758
117,1140.00,8.35043318,90.50,3.698333263,96.80928744,47.75,195,23.24337954,5.1,8 AdeAbi,0.393203883
120,890.00,5.342121583,80.20,4.139999866,87.35175119,3.60,95,19.70492418,2.65,6 ApoFag,0.373134328
123,1440.00,7.461360553,55.00,4.179999828,90.74291313,2.75,110,19.04472215,5.4,9 AdePic,1
133,1500.00,4.560537964,60.00,5.389999866,100,3.50,245,20.35470627,5.7,9 AdePic,0.826086957
137,1030.00,4.943959645,75.00,5.239999771,98.70777337,3.00,130,19.05289825,3.675,6 ApoFag,0.347826087
139,1210.00,9.52921473,71.20,4.949999809,100,9.50,165,19.7145287,4.2,8 AdeAbi,0.886363636
144,1500.00,5.950874416,50.00,6.324416161,99.76796796,16.00,195,23.39782231,5.2,9 AdePic,1
149,1180.00,5.025943606,86.00,5.650000095,99.85014353,12.00,150,23.3524604,5,6 ApoFag,0.387755102
156,1270.00,7.931799357,85.75,4.657713872,95.9570144,1.00,250,18.81771482,4.2,3 GalFag,0.51171875
157,1230.00,8.740678807,73.00,4.059999943,80.92341545,3.50,160,16.22467772,3.85,3 GalFag,0.121212121
161,840.00,10,81.00,4.510000229,94.64060312,3.00,80,18.13492063,2,3 GalFag,0.874125874
162,690.00,8.300672838,90.00,3.119999886,9.293075845,3.50,100,18.48532077,1.3,3 GalFag,0.102564103
169,1120.00,5.916985048,90.00,4.059999943,74.19602017,1.90,130,13.04794521,1.75,3 GalFag,0.102564103
182,695.00,10,70.00,3.25,61.36825561,2.00,80,13.3099203,3.306359649,4 GalAbi,1
183,700.00,3.718621993,73.00,4.800000191,96.79866253,2.25,80,16.28571429,0.6,4 GalAbi,0.862068966
191,900.00,6.173517203,90.00,6.519999981,100,2.50,120,20.22265896,2.5,6 ApoFag,0
194,710.00,8.244278993,70.00,3.25999999,30.58657167,3.75,80,13.23394495,0.4,4 GalAbi,1
198,970.00,7.414751946,70.00,3.75,64.12534996,2.75,85,16.80762852,1.1,4 GalAbi,1
201,790.00,10,52.50,5.579999924,98.62046777,1.85,100,21.18451025,1.3,4 GalAbi,0.925925926
