name,8,13,14,23,26,34,38,39,47,49,50,51,52,54,57,67,68,71,73,74,83,88,89,92,94,96,105,109,110,115,117,120,123,133,137,139,144,149,156,157,161,162,169,182,183,191,194,198,201,215,217,219,223,231,237,244,247,254,262,266,269,270,271,281,291,298,300,305,312,314,315,317,324,325,333,340,341,343,346,350,354,355,356,359,370,372,373,377,378,389,393,395,397
Abies alba,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,3,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
Acer platanoides,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Acer pseudoplatanus,0,3,0.5,0.5,0.5,0.5,3,0.5,0.5,3,0.5,0.5,0.5,0,0.5,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,3,0,0.5,0.5,3,0.5,0.5,3,0.5,0,0.5,0.5,10,0.5,3,3,0.5,0,3,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,3,3,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,3,3,3,0.5,0.5,3,3,3,0.5,0.5,0.5,0.5,0.5,3,0.5,3,0,0.5,0,0.5,0.5,0.5
Aconitum napellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aconitum vulparia,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actaea spicata,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
Adenostyles alliariae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.5,0,0,10,0,0,3,0.5,0,0,10,0,0,0.5,0,0,10,10,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,10,10,0,0,0,0,0,10,0,0,0,3,0,0,0.5,0.5,0,0,0.5,37.5,3,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenosyles glabra,0,0,0,0,3,0,0,0,0,0,37.5,10,0,10,3,0,3,0.5,0,3,3,3,3,10,3,0,3,3,0,0.5,0.5,0.5,0,0.5,0.5,3,3,10,0,0,0,0,0.5,0,0,3,0,0,0,0,0.5,3,0,0,0,0,0,0.5,0,0,0,0,3,0,0,3,3,0,0,10,3,0.5,0,10,0,0.5,3,10,0,0,3,3,3,10,3,3,0.5,3,0.5,10,10,3,3
Adoxa moschata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
