abbreviation,name
AcecamKS,Acer campestre
AceplaKS,Acer platanoides
AegpodKS,Aegopodium podagraria
AjurepKS,Ajuga reptans
AllcarKS,Allium carinatum
Allscoro,Allium scorodoprasum
AnenemKS,Anemone nemorosa
ApofoeKS,Aposeris foetida
ArumacKS,Arum maculatum
AsaeurKS,Asarum europaeum
BrasylKS,Brachypodium sylvaticum
CamtraKS,Campanula trachelium
CaralbKS,Carex alba
CarbetKS,Carpinus betulus
CardigKS,Carex digitata
CarmonKS,Carex montana
CarsylKS,Carex sylvatica
ChaaurKS,Chaerophyllum aureum
ColautKS,Colchicum autumnale
ConmajKS,Convallaria majalis
CoraveKS,Corylus avellana
CorcavKS,Corydalis cava
CorsanKS,Cornus sanguinea
CraspeKS,Crataegus spec.
DapmezKS,Daphne mezereum
ElycanKS,Elymus caninus
EuoeurKS,Euonymus europaea
EurstrMS,Eurhynchium striatum
EurswaMS,Eurhynchium swartzii
FistaxMS,Fissidens taxifolius
FraexcKS,Fraxinus excelsior
FravesKS,Fragaria vesca
FravirKS,Fragaria viridis
GaglutKS,Gagea lutea
GalmolKS,Galium mollugo
GeuurbKS,Geum urbanum
HersphKS,Heracleum sphondylium
HylsplMS,Hylocomium splendens
HypcupMS,Hypnum cupressiforme
LammacKS,Lamium maculatum
LammonKS,Lamium montanum
LigvulKS,Ligustrum vulgare
LilmarKS,Lilium martagon
LonxylKS,Lonicera xylosteum
MaibifKS,Maianthemum bifolium
MalsylKS,Malus sylvestris
MelnutKS,Melica nutans
MerperKS,Mercurialis perennis
MileffKS,Milium effusum
ParquaKS,Paris quadrifolia
PlaundMS,Plagiomnium undulatum
PoanemKS,Poa nemoralis
PolmulKS,Polygonatum multiflorum
PriverKS,Primula veris
PrupadKS,Prunus padus
PyrcomKS,Pyrus communis
QuerobKS,Quercus robur
RanficKS,Ranunculus ficaria
RanlanKS,Ranunculus lanuginosus
RhytriMS,Rhytidiadelphus triquetrus
RubcaeKS,Rubus caesius
StasylKS,Stachys sylvatica
TilplaKS,Tilia platyphyllos
UlmglaKS,Ulmus glabra
ViblanKS,Viburnum lantana
VinhirKS,Vincetoxicum hirundinaria
Vio rroK,Viola reichenbachiana
ViohirKS,Viola hirta
ViomirKS,Viola mirabilis
AcerpseKS,Acer pseudoplatanus
