plot_id,Gruppe,maechtigkeit,PH_H2O,PH_KCl,C,N,CN,NH4,NO3,NO3_plus_NH4,Cl,PO4,SO4,Al,Ca,Fe,K,Mg,Mn,Na
Plot_2,3,11.33,7.15,6.62,10.88,1.06,10.24,9.37,66.43,75.80,7.18,2.15,0.31,0.00,535.95,0.01,8.62,105.99,0.82,1.21
Plot_3,3,13.33,7.24,6.73,10.52,0.98,10.79,17.96,6.63,24.59,10.47,0.32,2.65,0.00,498.90,0.01,8.62,104.61,0.80,1.48
Plot_5,3,9.00,7.20,6.59,10.49,0.98,10.75,9.28,29.18,38.46,6.00,0.85,6.08,0.00,608.60,0.00,9.80,168.71,0.88,2.36
Plot_6,3,9.00,7.16,6.57,10.06,0.85,11.82,10.43,11.31,21.74,7.97,2.46,0.74,0.00,459.42,0.00,7.68,101.18,1.11,0.93
Plot_7,3,11.67,7.30,6.80,9.13,0.83,11.06,7.74,48.80,56.53,7.19,0.54,4.64,0.00,505.05,0.01,6.50,92.57,1.12,1.89
Plot_10,1,5.00,6.83,6.18,7.54,0.65,11.66,6.08,25.71,31.79,3.58,0.19,0.90,0.00,370.42,0.00,6.34,92.67,1.42,0.83
Plot_11,1,7.33,7.15,6.54,8.00,0.70,11.47,6.04,12.69,18.73,5.47,3.35,0.20,0.00,386.19,0.00,6.05,95.31,1.07,1.05
Plot_12,1,8.33,7.37,6.84,9.66,0.94,10.28,8.41,29.91,38.31,7.97,1.04,0.19,0.00,521.56,0.01,5.84,95.93,0.84,0.93
Plot_13,1,6.00,7.30,6.81,7.25,0.71,10.18,10.17,31.28,41.45,4.83,0.68,4.98,0.00,431.25,0.01,7.10,85.33,1.06,0.61
Plot_15,2,6.00,7.19,6.62,8.39,0.72,11.65,7.20,15.32,22.52,8.32,5.44,0.62,0.00,432.29,0.00,5.79,87.39,1.39,1.74
Plot_16,2,7.67,7.12,6.49,7.40,0.69,10.67,7.67,26.29,33.96,4.19,1.04,2.43,0.00,391.94,0.00,7.34,80.63,1.38,0.73
Plot_17,2,8.67,7.28,6.72,10.21,0.85,12.03,8.61,20.70,29.31,5.47,4.70,0.78,0.00,499.00,0.01,7.06,73.60,1.31,1.55
Plot_18,1,7.67,7.29,6.72,9.77,0.84,11.57,8.00,25.25,33.25,7.98,6.14,3.12,0.00,481.94,0.01,6.70,97.73,1.36,1.81
Plot_19,2,7.67,7.16,6.55,8.15,0.72,11.39,7.93,24.92,32.86,6.48,0.31,0.17,0.00,432.81,0.00,7.22,99.15,1.55,0.96
Plot_20,3,11.67,7.29,6.81,9.91,0.94,10.54,8.05,45.12,53.17,5.30,1.53,2.04,0.00,522.24,0.00,7.55,104.67,0.66,0.79
Plot_21,3,12.33,7.19,6.71,9.88,1.00,9.93,8.32,34.70,43.02,6.15,1.78,0.53,0.00,529.73,0.01,7.69,94.02,0.94,1.81
Plot_34,1,4.67,7.36,6.76,8.76,0.79,11.11,9.44,15.53,24.97,4.15,2.06,5.38,0.00,439.63,0.01,5.20,60.78,1.01,0.62
Plot_41,2,7.33,7.05,6.70,7.59,0.63,12.08,5.86,9.86,15.72,6.18,5.03,1.79,0.00,412.05,0.00,6.49,74.05,0.91,0.99
Plot_42,1,7.67,7.16,6.56,7.17,0.67,10.71,6.30,37.73,44.03,4.80,0.17,3.23,0.00,385.55,0.00,7.58,81.62,1.16,0.84
Plot_44,3,14.33,7.28,6.72,10.35,0.91,11.41,9.70,39.35,49.05,6.86,0.75,1.26,0.00,509.12,0.00,8.91,104.47,1.05,2.15
