name,Plot_2,Plot_3,Plot_5,Plot_6,Plot_7,Plot_10,Plot_11,Plot_12,Plot_13,Plot_15,Plot_16,Plot_17,Plot_18,Plot_19,Plot_20,Plot_21,Plot_34,Plot_41,Plot_42,Plot_44
Acer campestre,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5
Acer platanoides,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0
Aegopodium podagraria,20,37.5,10,0,0,0,2,0,0,0,0,0,0,0,2,37.5,0,0,0,0
Ajuga reptans,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,2,0.5,0,0,0.5,0
Allium carinatum,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,2
Allium scorodoprasum,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Anemone nemorosa,20,10,10,20,20,10,4,20,10,2,20,10,10,10,20,10,0,0.5,0.5,0
Aposeris foetida,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Arum maculatum,10,10,20,10,10,0,0.5,0,0,0,0.5,0.5,0,0,0.5,4,0,0.5,0,0.5
Asarum europaeum,0.5,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5
Brachypodium sylvaticum,2,0.5,0.5,0,0.5,0.5,2,0.5,2,0.5,0.5,2,2,0.5,0.5,0.5,0.5,0.5,2,0.5
Campanula trachelium,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Carex alba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Carpinus betulus,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0
Carex digitata,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0
Carex montana,0,0,0,0,0,20,10,0.5,2,2,0,0,10,0.5,0,0,4,0,10,0
Carex sylvatica,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0.5
Chaerophyllum aureum,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Colchicum autumnale,20,20,20,4,20,37.5,37.5,37.5,10,37.5,0,0,10,62.5,10,10,20,4,2,20
Convallaria majalis,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0,0,0,2,0,0.5,0,10,0,0.5,0
