plot_id,Neigung,AspFav,St_dir_percent,St_diff_percent,St_tot_percent,Vorrat,GF,Stammz,SS_percent,KS_percent,MS_percent,B1_percent,B2_percent,B1plus2_percent,m_Sond,Fels_percent,Rueckeg_percent,Aufl_med,Aufl_min,Aufl_max,A_med,A_min,A_max,Min_med,Min_min,Min_max,Sond_med,Sond_min,Sond_max,Sond_var,Kollektiv,Gesells,S_Baum,S_Farn,S_Gras,S_Kraut,S_Moos,S_Strauch,S_Zwergstrauch,S_Vasc,S_Tot
1,10,3,"17,35","22,22","19,79","98,385,221","82,218,085","86,734,694",2,80,1,25,5,"28,75","40,342,105",0,0,"24,5",12,38,"2,5",0,8,5,0,52,"40,5",7,68,"16,343,072",0,2,5,1,4,7,2,0,1,18,20
2,4,1,"18,4","15,74","17,07","60,791,549","58,770,382","10,714,286",1,60,0,50,5,"52,5","28,945,946",0,0,"47,25",15,64,2,0,9,10,0,29,28,8,52,"10,156,282",0,2,5,0,2,10,8,1,1,19,27
3,3,1,"17,68","20,61","19,14","54,969,143","48,113,769","66,326,531",1,1,2,40,0,40,"35,315,789",0,20,"21,5","9,5",75,"7,5",0,"13,5",18,0,"52,5",33,8,78,"17,301,938",0,1,3,0,1,4,4,0,1,9,13
4,0,2,"18,35","19,63","18,99","47,208,771","46,816,984","12,755,102",1,1,2,75,3,"75,75","43,973,684",0,0,"57,5",22,85,8,0,10,8,0,15,45,10,84,"18,384,022",0,3,3,1,0,1,4,0,1,6,10
5,14,1,"22,72","16,91","19,82","39,038,842","41,861,803","13,265,306",1,1,3,55,35,"70,75","36,236,842",0,0,"37,5",25,40,"7,5",0,19,"19,5",0,38,"32,5",10,81,"173,399",0,3,3,0,0,0,5,0,0,3,8
6,9,1,"18,28","19,07","18,68","34,075,764","37,000,228","1,122,449",2,1,3,30,35,"54,5","27,710,526",0,20,"17,5",17,30,"2,5",0,5,"6,5",0,27,"27,5",4,51,"1,162,455",0,1,3,0,1,3,8,1,1,9,17
7,11,1,"26,62","19,23","22,93","27,923,167","25,162,795","51,020,408",1,35,15,45,10,"50,5","18,842,105",0,30,"18,5",9,28,"0,5",0,10,12,0,35,19,3,39,"91,016,076",0,1,5,3,4,13,8,2,1,28,36
8,14,3,"14,4","19,1","16,75","27,356,568","23,224,265","30,612,245",1,20,10,20,20,36,"29,641,026",0,0,"23,5",12,39,"5,5",0,14,"5,5",0,14,28,6,62,"12,015,548",0,2,5,1,3,12,7,3,1,25,32
9,0,2,"20,83","16,36","18,6","63,375,888","58,103,434","10,204,082",0,25,3,50,1,"50,5","45,526,316",0,30,"14,5",7,20,9,4,13,35,7,61,"48,5",10,81,"16,449,327",0,1,3,3,6,10,7,1,1,24,31
10,8,2,"26,18","18,96","22,57","55,092,922","46,281,387","56,122,449",3,25,5,55,0,55,"22,815,789",0,5,"12,5",10,19,5,0,25,"15,5",0,56,"21,5",7,48,"10,115,162",0,1,2,2,3,9,5,1,1,18,23
11,9,2,"22,85","24,12","23,49","62,659,645","54,104,273","81,632,653",1,1,1,35,7,"39,55","25,552,632","0,5",0,"21,5",6,42,7,0,12,7,0,29,25,10,46,"10,339,369",0,3,4,0,0,1,7,0,1,6,13
12,9,2,"24,07","18,16","21,12","37,604,513","38,510,557","10,204,082",2,10,5,60,5,62,"18,657,895",0,30,"7,5",2,16,2,0,37,"10,5",0,37,"19,5",1,46,"95,811,648",0,1,3,0,2,5,9,0,1,11,20
13,1,1,"32,16","21,16","26,66","5,126,124","5,221,896","15,306,122",1,0,10,70,15,"74,5","21,657,895",10,0,15,12,19,0,0,0,0,0,0,"21,5",3,50,"1,199,837",0,3,3,0,0,0,7,0,0,3,10
14,11,1,"14,65","16,83","15,74","4,160,566","40,025,253","96,938,776",1,25,15,85,1,"85,15","15,763,158","0,5",0,"10,5",6,14,4,0,9,"19,5",0,39,14,3,37,"8,894,074",0,1,5,2,4,10,8,1,1,23,31
15,15,4,"19,42","17,18","18,3","28,982,432","24,285,147","35,714,286",1,15,2,55,15,"61,75","20,891,892",0,0,"9,5","1,5",12,5,0,8,5,0,8,20,8,46,"86,435,068",0,2,3,4,3,7,4,1,1,19,23
16,0,2,"27,46","21,56","24,51","19,041,326","19,058,528","40,816,327",1,65,35,5,8,"12,6","154,5",0,0,"42,5",18,50,23,15,48,54,50,76,169,19,202,"58,379,351",0,0,3,3,4,26,15,5,1,42,57
17,7,3,"16,87","19,88","18,37","30,728,098","26,333,277","35,714,286",10,35,20,40,15,49,"12,210,526",0,50,5,1,8,11,0,40,46,16,85,11,3,35,"73,343,247",0,0,6,5,7,19,8,2,1,40,48
18,7,4,"23,29","17,86","20,57","38,277,901","36,981,996","86,734,694",10,10,15,50,4,52,"12,135,135",2,0,"15,5",8,44,"6,5",0,20,"11,5",0,40,11,2,30,"64,985,561",0,1,3,1,2,5,8,0,1,12,20
19,6,4,"17,57","19,41","18,49","4,171,234","37,960,295","6,122,449",1,3,5,45,2,"46,1","89,473,684",5,40,3,1,4,"5,5",5,10,"17,5",5,26,7,1,26,"64,888,568",0,1,3,1,4,14,8,1,1,24,32
20,4,4,"16,35","20,67","18,51","31,535,192","30,401,118","6,122,449",1,3,15,35,0,35,"13,815,789",0,60,"2,5",2,5,6,6,6,66,66,66,12,3,34,"7,486,403",0,1,2,2,3,10,7,2,1,20,27
21,4,4,"11,41","19,02","15,21","12,527,509","12,641,506","25,510,204",4,40,65,40,4,"42,4","17,631,579",0,5,3,3,4,6,0,8,"63,5",50,88,17,5,30,"7,148,695",0,0,6,5,12,29,11,5,1,58,69
22,8,0,"12,05","15,8","13,93","71,269,303","65,998,252","11,734,694",5,10,3,80,30,86,"36,684,211",0,0,"31,5",6,49,0,0,0,0,0,0,36,13,62,"12,353,149",1,5,5,0,0,0,5,0,2,7,12
23,8,0,"10,62",14,"12,31","78,039,281","73,418,462","17,346,939",10,5,5,80,8,"81,6","31,526,316",0,0,"61,5",36,75,"2,5",0,5,"2,5",0,15,31,2,72,"17,246,601",1,7,5,0,0,2,6,2,3,12,18
24,12,1,"8,88","12,9","10,89","56,461,807","53,668,017","1,122,449",8,4,1,60,40,76,"36,263,158",0,0,"50,5",40,57,0,0,10,0,0,22,37,11,60,"13,409,727",1,5,5,0,0,0,3,0,1,6,9
25,7,2,"26,02","17,32","21,67","55,708,944","51,976,047","10,204,082",10,3,1,65,20,72,"31,157,895",0,0,"39,5",32,65,0,0,0,0,0,0,34,1,61,"13,330,571",1,5,5,0,0,0,7,0,1,6,13
26,7,3,"16,18","14,02","15,1","6,688,965","62,428,137","1,377,551",5,1,1,80,5,81,"34,5",0,0,24,23,67,0,0,0,0,0,0,34,14,66,"11,696,038",1,5,5,0,0,0,3,0,1,6,9
