attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
plot_id,NA,NA,NA,NA,NA,character,NA,NA
Neigung,NA,NA,NA,NA,real,numeric,NA,NA
AspFav,NA,NA,NA,NA,real,numeric,NA,NA
St_dir_percent,NA,NA,NA,NA,real,numeric,NA,NA
St_diff_percent,NA,NA,NA,NA,real,numeric,NA,NA
St_tot_percent,NA,NA,NA,NA,real,numeric,NA,NA
Vorrat,NA,NA,NA,NA,real,numeric,NA,NA
GF,NA,NA,NA,NA,real,numeric,NA,NA
Stammz,NA,NA,NA,NA,real,numeric,NA,NA
SS_percent,NA,NA,NA,percent,integer,numeric,NA,NA
KS_percent,NA,NA,NA,percent,integer,numeric,NA,NA
MS_percent,NA,NA,NA,percent,integer,numeric,NA,NA
B1_percent,NA,NA,NA,percent,integer,numeric,NA,NA
B2_percent,NA,NA,NA,percent,integer,numeric,NA,NA
B1plus2_percent,NA,NA,NA,percent,integer,numeric,NA,NA
m_Sond,NA,NA,NA,NA,real,numeric,NA,NA
Fels_percent,NA,NA,NA,percent,integer,numeric,NA,NA
Rueckeg_percent,NA,NA,NA,percent,integer,numeric,NA,NA
Aufl_med,NA,NA,NA,NA,real,numeric,NA,NA
Aufl_min,NA,NA,NA,NA,real,numeric,NA,NA
Aufl_max,NA,NA,NA,NA,integer,numeric,NA,NA
A_med,NA,NA,NA,NA,real,numeric,NA,NA
A_min,NA,NA,NA,NA,integer,numeric,NA,NA
A_max,NA,NA,NA,NA,real,numeric,NA,NA
Min_med,NA,NA,NA,NA,real,numeric,NA,NA
Min_min,NA,NA,NA,NA,real,numeric,NA,NA
Min_max,NA,NA,NA,NA,real,numeric,NA,NA
Sond_med,NA,NA,NA,NA,real,numeric,NA,NA
Sond_min,NA,NA,NA,NA,integer,numeric,NA,NA
Sond_max,NA,NA,NA,NA,integer,numeric,NA,NA
Sond_var,NA,NA,NA,NA,real,numeric,NA,NA
Kollektiv,NA,NA,NA,NA,NA,factor,NA,NA
Gesells,NA,NA,NA,NA,NA,factor,NA,NA
S_Baum,NA,NA,NA,NA,integer,numeric,NA,NA
S_Farn,NA,NA,NA,NA,integer,numeric,NA,NA
S_Gras,NA,NA,NA,NA,integer,numeric,NA,NA
S_Kraut,NA,NA,NA,NA,integer,numeric,NA,NA
S_Moos,NA,NA,NA,NA,integer,numeric,NA,NA
S_Strauch,NA,NA,NA,NA,integer,numeric,NA,NA
S_Zwergstrauch,NA,NA,NA,NA,integer,numeric,NA,NA
S_Vasc,NA,NA,NA,NA,integer,numeric,NA,NA
S_Tot,NA,NA,NA,NA,integer,numeric,NA,NA
