plot_id,Waldges,WG_Nr,Stadium,Boxplot,Hoehe,Hydro,B123,Vegtyp1,Vegtyp2,Stoerung,Konifer_prozent,Laubb_prozent,Exposit,Neig,Wachstum,Reife,Verjuengung,Plenter,Mortal
800FcJS,Calamagrostio-Fagetum,3,0,8,1147,0,"52,5",8,6,0,1,51,"0,38268343",9,0,0,0,0,0
801FcJS,Calamagrostio-Fagetum,3,0,4,1083,0,91,5,3,0,0,"90,4","0,92387953",20,0,0,0,0,0
802FcPS,Calamagrostio-Fagetum,3,4,8,1183,0,62,8,6,0,"63,904","60,8","-0,38268343",11,0,0,0,1,0
803FcJS,Calamagrostio-Fagetum,3,0,9,1122,0,"60,8",8,6,0,0,"48,8","0,92387953",10,0,0,0,0,0
804FcJS,Calamagrostio-Fagetum,3,0,4,1117,0,"18,775",5,3,1,0,"15,328","0,92387953",15,0,0,0,0,0
805FcJS,Calamagrostio-Fagetum,3,0,9,1066,0,43,8,6,1,"13,6","42,4","0,92387953",14,0,0,0,0,0
806FcPS,Calamagrostio-Fagetum,3,4,9,1051,0,82,9,7,0,30,"4,653,865","-0,38268343",29,0,0,0,1,0
807FcPS,Calamagrostio-Fagetum,3,4,8,951,0,73,8,6,0,"32,8","41,68","0,38268343",26,0,0,0,1,0
808FcPS,Calamagrostio-Fagetum,3,4,8,1094,0,58,8,6,0,28,"21,6","0,92387953",3,0,0,0,1,0
809FcPS,Calamagrostio-Fagetum,3,4,5,1062,0,73,5,3,0,"60,8",4,"-0,92387953",6,0,0,0,1,0
810FcPS,Calamagrostio-Fagetum,3,4,7,1145,0,"60,1",7,5,0,"31,4",20,"0,92387953",3,0,0,0,1,0
811FcRS,Calamagrostio-Fagetum,3,2,10,1127,0,"78,4",8,6,0,40,"49,6","-0,92387953",16,0,1,0,0,0
812FcRS,Calamagrostio-Fagetum,3,2,4,1069,0,"46,8",5,3,0,28,"13,6","0,92387953",12,0,1,0,0,0
813FcRS,Calamagrostio-Fagetum,3,2,10,1197,0,55,9,7,0,0,55,"0,92387953",13,0,1,0,0,0
814FcRS,Calamagrostio-Fagetum,3,2,8,1094,0,"91,45",9,7,0,0,"91,36","0,38268343",14,0,1,0,0,0
815FcRS,Calamagrostio-Fagetum,3,2,9,1131,0,50,8,6,1,0,50,"-0,92387953",12,0,1,0,0,0
816FcVS,Calamagrostio-Fagetum,3,3,11,1060,0,100,9,7,0,10,"97,84","0,92387953",14,0,0,1,0,0
817FcVS,Calamagrostio-Fagetum,3,3,8,1055,0,"80,8",8,6,0,37,"66,4","-0,92387953",10,0,0,1,0,0
818FcVS,Calamagrostio-Fagetum,3,3,5,978,0,"61,6",5,3,0,20,"35,2","-0,92387953",11,0,0,1,0,0
819FcVS,Calamagrostio-Fagetum,3,3,9,1037,0,64,8,6,0,40,28,"0,92387953",9,0,0,1,0,0
820FcVS,Calamagrostio-Fagetum,3,3,9,1094,0,"74,35",8,6,0,30,"38,26","0,92387953",12,0,0,1,0,0
821FcWS,Calamagrostio-Fagetum,3,1,10,1146,2,"91,09",8,6,0,"20,4",64,"0,92387953",17,1,0,0,0,0
822FcWS,Calamagrostio-Fagetum,3,1,8,1157,0,62,8,6,0,40,"13,6","-0,38268343",10,1,0,0,0,0
823FcWS,Calamagrostio-Fagetum,3,1,5,1078,0,"20,8",5,3,0,10,10,"-0,38268343",4,1,0,0,0,0
824FcWS,Calamagrostio-Fagetum,3,1,8,1140,0,"54,4",8,6,0,40,"24,736","0,38268343",9,1,0,0,0,0
825FcWS,Calamagrostio-Fagetum,3,1,10,1142,0,92,9,7,0,2,91,"0,92387953",11,1,0,0,0,0
826FcWS,Calamagrostio-Fagetum,3,1,8,1196,0,"83,2",8,6,0,64,"43,3","0,38268343",20,1,0,0,0,0
827FcMS,Calamagrostio-Fagetum,3,5,8,1115,0,60,8,6,0,0,50,"0,92387953",15,0,0,0,0,1
828FcMS,Calamagrostio-Fagetum,3,5,10,1152,0,80,8,6,0,0,80,"-0,38268343",15,0,0,0,0,1
829FcMS,Calamagrostio-Fagetum,3,5,9,1145,0,"20,8",8,6,1,0,"10,45","0,92387953",6,0,0,0,0,1
830FcMS,Calamagrostio-Fagetum,3,5,8,1109,0,20,8,6,1,0,19,"-0,92387953",21,0,0,0,0,1
831FcMS,Calamagrostio-Fagetum,3,5,4,1054,0,"62,2",5,3,0,0,"49,6","0,92387953",6,0,0,0,0,1
832PhJS,Calamagrostio-Piceetum,6,0,5,1140,0,30,5,3,0,20,2,"-0,92387953",9,0,0,0,0,0
833PhJS,Calamagrostio-Piceetum,6,0,9,1127,0,1,8,6,1,0,0,"0,92387953",11,0,0,0,0,0
834PhJS,Calamagrostio-Piceetum,6,0,5,1201,0,0,5,3,1,0,0,"-0,92387953",12,0,0,0,0,0
835PhJS,Calamagrostio-Piceetum,6,0,7,1391,0,30,7,5,0,20,0,"0,38268343",11,0,0,0,0,0
836PhJS,Calamagrostio-Piceetum,6,0,7,1360,0,0,7,5,1,0,0,"0,92387953",4,0,0,0,0,0
837PhPS,Calamagrostio-Piceetum,6,4,6,1145,0,"31,6",6,5,0,"20,62",2,"-0,92387953",6,0,0,0,1,0
838PhPS,Calamagrostio-Piceetum,6,4,7,1285,0,58,7,5,0,52,0,"-0,92387953",2,0,0,0,1,0
839PhPS,Calamagrostio-Piceetum,6,4,5,1040,0,"33,5",5,3,0,20,2,"0,38268343",3,0,0,0,1,0
840PhPS,Calamagrostio-Piceetum,6,4,2,1132,2,"33,5",3,3,1,"23,2",0,"-0,92387953",11,0,0,0,1,0
841PhPS,Calamagrostio-Piceetum,6,4,6,1150,2,43,6,5,0,"42,4",0,"-0,38268343",4,0,0,0,1,0
842PhRS,Calamagrostio-Piceetum,6,2,6,1293,0,"40,6",6,5,0,"30,35",0,"0,92387953",6,0,1,0,0,0
843PhRS,Calamagrostio-Piceetum,6,2,2,1186,2,62,3,3,0,52,0,"-0,92387953",10,0,1,0,0,0
844PhRS,Calamagrostio-Piceetum,6,2,7,1237,0,60,7,5,0,60,0,"0,38268343",6,0,1,0,0,0
845PhRS,Calamagrostio-Piceetum,6,2,5,1142,0,70,5,3,0,70,0,"-0,38268343",9,0,1,0,0,0
846PhRS,Calamagrostio-Piceetum,6,2,6,1137,0,"57,25",6,5,0,"55,225",4,"-0,92387953",8,0,1,0,0,0
847PhVS,Calamagrostio-Piceetum,6,3,8,1150,0,62,8,6,0,40,"22,24","0,92387953",11,0,0,1,0,0
848PhVS,Calamagrostio-Piceetum,6,3,5,1102,0,43,5,3,0,"42,4",0,"-0,92387953",15,0,0,1,0,0
849PhVS,Calamagrostio-Piceetum,6,3,4,1031,0,43,5,3,0,"11,8",0,"0,38268343",4,0,0,1,0,0
850PhVS,Calamagrostio-Piceetum,6,3,6,1128,0,"71,5",6,5,0,"61,6",0,"-0,92387953",8,0,0,1,0,0
851PhVS,Calamagrostio-Piceetum,6,3,5,1236,0,"40,6",5,3,0,"40,3",0,"-0,92387953",7,0,0,1,0,0
852PhVS,Calamagrostio-Piceetum,6,3,6,1125,2,"63,9",6,5,0,"61,6","0,5","-0,38268343",6,0,0,1,0,0
853PhWS,Calamagrostio-Piceetum,6,1,7,1295,0,51,7,5,0,44,0,"0,38268343",5,1,0,0,0,0
854PhWS,Calamagrostio-Piceetum,6,1,5,984,0,55,5,3,0,46,0,"-0,38268343",1,1,0,0,0,0
855PhWS,Calamagrostio-Piceetum,6,1,5,1046,0,"71,5",5,3,0,"60,996",4,"-0,92387953",26,1,0,0,0,0
856PhWS,Calamagrostio-Piceetum,6,1,7,1214,0,24,7,5,1,"21,6",0,"-0,92387953",10,1,0,0,0,0
857PhWS,Calamagrostio-Piceetum,6,1,1,1167,2,44,1,1,0,36,0,"0,38268343",15,1,0,0,0,0
858PhMS,Calamagrostio-Piceetum,6,5,5,1155,0,0,5,3,1,0,0,"-0,38268343",9,0,0,0,0,1
859PhMS,Calamagrostio-Piceetum,6,5,9,1259,0,0,8,6,1,0,0,"-0,38268343",38,0,0,0,0,1
