name,Lettercode
Abies alba,ABIEALB   
Acer pseudoplatanus,ACERPSE   
Arnica montana,ARNIMON   
Atrichum undulatum,ATRIUND
Barbilophozia barbata,BARIBAR   
Bazzania trilobata,BAZZTRL   
Betula pendula,BETUPEN   
Brachythecium rutabulum,BRAERUT   
Calamagrostis epigejos,CALAEPI   
Calamagrostis villosa,CALAVIL   
Calluna vulgaris,CALQVUL   
Campylopus flexuosus,CAMLFLE   
Campylopus introflexus,CAMLINT   
Carex pilulifera,CAREPIU   
Carpinus betulus,CARIBET   
Cetraria islandica,CETRISL   
Cladonia arbuscula,CLAOARB
Cladonia ciliata,CLAOCIL   
Cladonia coniocraea,CLAOCON   
Cladonia furcata,CLAOFUR
Cladonia gracilis,CLAOGRA   
Cladonia macilenta,CLAOMAC   
Cladonia pyxidata,CLAOPYX
Cladonia pyxidata s. chlorophaea,CLAOCHL
Cladonia rangiferina,CLAORAN   
Cladonia squamosa,CLAOSQU   
Cladonia sulphurina,CLAOSUL   
Cladonia uncialis,CLAOUNC   
Deschampsia flexuosa,DESCFLE   
Dicranella heteromalla,DICNHET   
Dicranum polysetum,DICUPOL   
Dicranum scoparium,DICUSCO   
Dicranum spurium,DICUSPU   
Dryopteris carthusiana,DRYPCAR   
Dryopteris dilatata,DRYPDIL   
Epilobium angustifolium,EPIOANG   
Erica carnea,ERICCAR   
Eurhynchium striatum,EURHSTI   
Fagus sylvatica,FAGUSYL   
Frangula alnus,FRANALN   
Galeopsis tetrahit,GALOTET   
Genista tinctoria,GENITIN   
Hylocomium splendens,HYLCSPL   
Hypnum cupressiforme,HYPNCUP
Juniperus communis,JUNICOM
Larix decidua,LARIDEC   
Lepidozia reptans,LEPDREP   
Leucobryum glaucum,LEUBGLA   
Lophocolea bidentata,LOPHBID   
Luzula campestris,LUZUCAM   
Luzula luzuloides,LUZULUU   
Luzula pilosa,LUZUPIL   
Maianthemum bifolium,MAIABIF   
Melampyrum pratense,MELAPRA   
Milium effusum,MILIEFF   
Mnium hornum,MNIUHOR   
Moehringia trinervia,MOEHTRI   
Molinia caerulea,MOLICAE   
Mylia taylorii,MYLITAY   
Oxalis acetosella,OXAIACE   
Picea abies,PICEABI   
Pinus strobus,PINUSTR
Pinus sylvestris,PINUSYL   
Plagiomnium affine,PLAUAFF   
Plagiothecium laetum,PLAGLAE
Plagiothecium laetum v. curvifolium,PLABL;C   
Pleurozium schreberi,PLEZSCH   
Pohlia nutans,POHLNUT   
Polygala chamaebuxus,POLGCHA   
Polytrichum commune,POLYFOR
Polytrichum formosum,POLZFOR   
Populus tremula,POPUTRE   
Potentilla erecta,POTEERE   
Pseudotsuga menziesii,PSEUMEN
Ptilidium ciliare,PTIICIL   
Ptilium crista-castrensis,PTIUCRI   
Pyrola chlorantha,PYRBCHL   
Quercus petraea,QUERPET   
Quercus robur,QUERROB   
Rhytidiadelphus squarrosus,RHYISQU   
Rubus fruticosus ag.,RUBUFRU
Rubus idaeus,RUBUIDA   
Salix aurita,SALXAUR   
Sambucus racemosa,SAMBRAC   
Scleropodium purum,SCLDPUR   
Sorbus aucuparia,SORUAUC   
Sphagnum capillifolium,SPHUCAP
Sphagnum girgensohnii,SPHUGIR   
Sphagnum palustre,SPHUPAL   
Thuidium tamariscinum,THUDTAM   
Trientalis europaea,TRINEUR   
Vaccinium myrtillus,VACIMYR   
Vaccinium vitis-idaea,VACIVIT   
Viscum album s. austriacum,VISUA-U   
