plot_id,plot_number,Altitude,Slope,Cover.tree.layer,Hoehe_bs,R_koord,H_koord,Zeit,Vegtyp
1984_453,453,420,1,20,20,12106750,49447367,historisch,Leucobryo_Pinetum.molinietosum
1984_452,452,420,1,25,20,12107467,49447367,historisch,Leucobryo_Pinetum.molinietosum
1984_510,510,530,5,15,15,12342200,49973450,historisch,Leucobryo_Pinetum.molinietosum
1984_68,68,410,2,40,15,12106917,49447550,historisch,Leucobryo_Pinetum.molinietosum
1984_506,506,510,0,30,15,12310520,49978900,historisch,Leucobryo_Pinetum.molinietosum
1984_507,507,510,0,20,18,12310350,49978960,historisch,Leucobryo_Pinetum.molinietosum
1984_505,505,540,2,30,22,12303448,49971263,historisch,Leucobryo_Pinetum.molinietosum
1984_514,514,500,2,20,1,12270981,49394101,historisch,Leucobryo_Pinetum.cladonietosum
1984_509,509,540,15,30,2,12342410,49974040,historisch,Leucobryo_Pinetum.cladonietosum
1984_508,508,540,10,30,18,12342775,49974076,historisch,Leucobryo_Pinetum.cladonietosum
1984_25,25,520,5,40,15,12297180,49437850,historisch,Leucobryo_Pinetum.cladonietosum
1984_290,290,560,10,30,15,12302117,49374150,historisch,Leucobryo_Pinetum.cladonietosum
1984_11,11,440,10,30,18,12156350,49474750,historisch,Leucobryo_Pinetum.cladonietosum
1984_39,39,430,10,40,15,12206080,49425600,historisch,Leucobryo_Pinetum.cladonietosum
1984_177,177,600,3,40,15,12295380,49484940,historisch,Leucobryo_Pinetum.cladonietosum
1984_363,363,390,5,30,12,12148050,49414210,historisch,Leucobryo_Pinetum.cladonietosum
1984_183,183,390,2,20,13,12362970,49359950,historisch,Leucobryo_Pinetum.typicum
1984_489,489,630,5,30,20,12360791,49776176,historisch,Leucobryo_Pinetum.typicum
1984_495,495,510,3,20,18,12235720,49826060,historisch,Leucobryo_Pinetum.typicum
1984_435,435,500,0,30,18,12212583,49840267,historisch,Leucobryo_Pinetum.typicum
1984_427,427,560,3,30,17,12384583,49924733,historisch,Leucobryo_Pinetum.typicum
1984_67,67,520,0,30,20,12151360,49461590,historisch,Leucobryo_Pinetum.typicum
1984_365,365,410,0,30,15,12152511,49414046,historisch,Leucobryo_Pinetum.typicum
