name,1984_453,1984_452,1984_510,1984_68,1984_506,1984_507,1984_505,1984_514,1984_509,1984_508,1984_25,1984_290,1984_11,1984_39,1984_177,1984_363,1984_183,1984_489,1984_495,1984_435,1984_427,1984_67,1984_365,1984_362,1984_504,1984_481,1984_480,1984_162,1984_318,1984_498,1984_284,1984_285,1984_280,2016_453,2016_452,2016_510,2016_68,2016_506,2016_507,2016_505,2016_514,2016_509,2016_508,2016_25,2016_290,2016_11,2016_39,2016_177,2016_363,2016_183,2016_489,2016_495,2016_435,2016_427,2016_67,2016_365,2016_362,2016_504,2016_481,2016_480,2016_162,2016_318,2016_498,2016_284,2016_285,2016_280
Abies alba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
Acer pseudoplatanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0
Arnica montana,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atrichum undulatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbilophozia barbata,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bazzania trilobata,0,0,3,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,15,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0.5,0,0,0
Betula pendula,3,3,0,0.5,0,0.5,0.5,0,0,0,3,0.5,3,3,3,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,3,0,3,3,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,3,3,15,0.5,0,0,0,0,0.5,0,0
Brachythecium rutabulum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.5,0.1,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5
Calamagrostis epigejos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamagrostis villosa,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
