id,block,location,latitude,longitude,river_km,orientation,exposition,construction_year,survey_date.2017,botanist.2017,opensoil_cover.2017,moss_cover.2017,litter_cover.2017,vegetation_cover.2017,vegetation_height.2017,calciumcarbonat,c_organic,n_total_ratio,cn_ratio,ph,sand,silt,clay,phosphorus,potassium,magnesium,topsoil_depth,sceleton_ratio_volume
01_m,1,Parkstetten-Reibersdorf,5418661,4543914,2318,water,south,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,5,2,35,80,50,35.8,2.108,0.235,9,7.38,38.4,44.2,17.4,4,7,16,22,7
02_m,1,Parkstetten-Reibersdorf,5418670,4543912,2318,land,north,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,1,70,20,80,30,27.4,1.804,0.193,9.3,7.37,48.5,36.5,15,3,6,14,14,40
03_m,2,Parkstetten-Reibersdorf,5418627,4544901,2317,water,south,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,15,10,65,70,40,36.2,1.474,0.174,8.5,7.46,45.5,39.3,15.2,1,6,15,11,11
04_m,2,Parkstetten-Reibersdorf,5418639,4544901,2317,land,north,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,20,40,35,40,10,20,1.48,0.142,10.4,7.43,65.3,24.6,10.1,3,6,11,13,47
05_m,3,Oebling,5418126,4545832,2316,water,south,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,20,50,25,60,35,41.4,2.053,0.272,7.5,7.47,25.5,54.8,19.7,5,5,15,17,4
06_m,3,Oebling,5418139,4545833,2316,land,north,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,40,10,40,50,30,45.7,1.579,0.213,7.4,7.44,24.4,56.9,18.7,11,5,14,18,0
07_m,4,Oebling,5418383,4546097,2316,water,east,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,50,20,20,40,20,44.2,1.805,0.242,7.5,7.45,16.2,62.2,21.6,6,6,16,16,0
08_m,4,Oebling,5418387,4546085,2316,land,west,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,70,1,20,40,30,40.3,1.75,0.225,7.8,7.42,30.1,50.8,19.1,10,6,14,17,18
09_m,5,Oebling,5417317,4546913,2314,water,south,2010,NA,Jakob_Huber_Leonardo_Teixeira,5,5,80,45,50,7.8,2.599,0.285,9.1,7.28,24.8,41.2,34,10,7,21,18,8
10_m,5,Oebling,5417329,4546909,2314,land,north,2010,NA,Jakob_Huber_Leonardo_Teixeira,20,0,70,30,50,10.7,2.655,0.293,9.1,7.33,25.3,41.6,33.1,13,11,23,17,8
11_m,6,Oebling,5417431,4546311,2315,water,north,2010,NA,Jakob_Huber_Leonardo_Teixeira,20,40,30,65,NA,1.9,1.887,0.186,10.1,7.18,54.3,32.3,13.4,6,8,14,15,11
12_m,6,Oebling,5417420,4546311,2315,land,south,2010,NA,Jakob_Huber_Leonardo_Teixeira,70,1,25,25,60,2.1,2.37,0.245,9.7,7.26,47.4,29.9,22.7,20,13,21,15,18
13_m,7,Oebling,5418241,4547375,2314,water,north,2006,NA,Jakob_Huber_Leonardo_Teixeira,5,35,50,75,40,0.2,1.034,0.109,9.5,6.16,42.4,36.4,21.2,23,18,17,26,3
14_m,7,Oebling,5418234,4547375,2314,land,south,2006,NA,Jakob_Huber_Leonardo_Teixeira,30,30,30,40,50,1,1.309,0.132,9.9,7.18,42.3,36.1,21.6,32,17,18,15,4
