name,X01_m_2017,X02_m_2017,X03_m_2017,X04_m_2017,X05_m_2017,X06_m_2017,X07_m_2017,X08_m_2017,X10_m_2017,X09_m_2017,X11_m_2017,X12_m_2017,X13_m_2017,X14_m_2017,X15_m_2017,X16_m_2017,X17_o_2017,X18_m_2017,X19_o_2017,X20_m_2017,X21_m_2017,X22_m_2017,X23_m_2017,X24_m_2017,X25_m_2017,X26_m_2017,X27_m_2017,X28_m_2017,X29_m_2017,X30_m_2017,X31_m_2017,X32_m_2017,X33_m_2017,X34_o_2017,X35_m_2017,X36_m_2017,X37_m_2017,X38_m_2017,X39_m_2017,X40_m_2017,X41_m_2017,X42_m_2017,X43_m_2017,X44_m_2017,X45_m_2017,X46_m_2017,X47_m_2017,X48_m_2017,X49_m_2017,X50_m_2017,X51_m_2017,X52_m_2017,X53_m_2017,X54_m_2017,X55_m_2017,X56_m_2017,X57_o_2017,X58_m_2017,X59_m_2017,X60_m_2017,X61_o_2017,X62_m_2017,X63_m_2017,X64_m_2017,X65_m_2017,X66_m_2017,X67_o_2017,X68_m_2017,X69_m_2017,X70_m_2017
Acer platanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achillea millefolium,0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,0.5,2,2,18.8,2,8.8,2,0.5,0.5,2,0,0,0.5,0,0.5,2,0.5,0.5,2,2,0.5,8.8,0.5,NA,2,0.5,0.5,0.5,2,8.8,0.5,37.5,0.5,0.5,0.5,0,8.8,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,4,0.5,4,8.8,0,0,0.5,0,0.5,0.5,0.5,0.5,2,0.5,2,0.5
Acinos arvensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Aegopodium podagraria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Agrimonia eupatoria,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,NA,0.5,0,0.5,0,0,0,0,0,0,0.1,0,0.1,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0.1,0,0,0.5,0,0.5,0
Agrostis capillaris,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,NA,NA,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0
Agrostis gigantea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis stolonifera,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Ajuga reptans,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,NA,NA,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Allium oleraceum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium sativum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium scorodoprasum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Allium vineale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
