name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology
Acer platanoides,http://www.worldfloraonline.org/taxon/wfo-0000514884,NA,Sapindaceae,tree,NA,NA,NA,no,0
Achillea millefolium,http://www.worldfloraonline.org/taxon/wfo-0000042097,na,Asteraceae,herb,NA,NA,NA,no,5420
Acinos arvensis,http://www.worldfloraonline.org/taxon/wfo-0000320080,na,Lamiaceae,herb,NA,V,NA,no,5200
Aegopodium podagraria,http://www.worldfloraonline.org/taxon/wfo-0000521573,na,Apiaceae,herb,NA,NA,NA,no,3531
Agrimonia eupatoria,http://www.worldfloraonline.org/taxon/wfo-0001006654,na,Rosaceae,herb,NA,NA,NA,no,6111
Agrostis capillaris,http://www.worldfloraonline.org/taxon/wfo-0000841743,na,Poaceae,sub-grass,NA,NA,NA,no,5000
Agrostis gigantea,http://www.worldfloraonline.org/taxon/wfo-0000843693,na,Poaceae,top-grass,NA,NA,NA,no,5400
Agrostis stolonifera,http://www.worldfloraonline.org/taxon/wfo-0000844489,na,Poaceae,sub-grass,NA,NA,NA,no,3810
Ajuga reptans,http://www.worldfloraonline.org/taxon/wfo-0000935107,na,Lamiaceae,herb,NA,NA,NA,no,NA
Allium oleraceum,http://www.worldfloraonline.org/taxon/wfo-0000756866,na,Amaryllidaceae,herb,NA,NA,NA,no,5300
Allium sativum,http://www.worldfloraonline.org/taxon/wfo-0000757248,na,Amaryllidaceae,herb,NA,NA,NA,yes,NA
Allium scorodoprasum,http://www.worldfloraonline.org/taxon/wfo-0000757306,na,Amaryllidaceae,herb,NA,NA,3,no,8433
Allium vineale,http://www.worldfloraonline.org/taxon/wfo-0000757711,na,Amaryllidaceae,herb,NA,NA,NA,no,3311
Alopecurus pratensis,http://www.worldfloraonline.org/taxon/wfo-0000845656,na,Poaceae,top-grass,NA,NA,NA,no,5400
Angelica sylvestris,http://www.worldfloraonline.org/taxon/wfo-0000536413,na,Apiaceae,herb,NA,NA,NA,no,5410
Anthericum ramosum,http://www.worldfloraonline.org/taxon/wfo-0000760635,na,Asparagaceae,herb,BG,V,NA,no,6112
Anthoxanthum odoratum,http://www.worldfloraonline.org/taxon/wfo-0000848178,na,Poaceae,sub-grass,NA,NA,NA,no,NA
Anthriscus sylvestris,http://www.worldfloraonline.org/taxon/wfo-0000538692,na,Apiaceae,herb,NA,NA,NA,no,5420
