Rain,Gemarkung,x,y,Datum_DG3,Block_Veg,Exposition,Beschattung,Breite,Laenge,Mahdtermine,Deckung_Kraut,Deckung_Offenboden,Bio_kon,Ackerzahl,Puffer_Bluehstreifen,Kulturart,Nutzung_oberhalb,Nutzung_unterhalb,Wegtyp,LS_Analyse_Uproz,LS_Analyse_U,LS_Analyse_V,Nitrat_N,pH,Streu_6m,Streu_12m,Streu_18m,A_W_B,Lesestein,Ameise,Haufen,Abriss,A_M,Befahren,Herbizid,Tritt,Pflug,blau_DG1,pink_DG1,weiss_DG1,gelb_DG1,gesamt_DG1,blau_DG2,pink_DG2,weiss_DG2,gelb_DG2,gesamt_DG2,blau_DG3,pink_DG3,weiss_DG3,gelb_DG3,gesamt_DG3
Asch_1,Aschheim,700796.68,5339614531,15.06.2022,1,K,zT,1.1,158,1,30,2,NA,50,nein,Mais,A11,B112,G,25.0,2,3,24.5,7.57,0.1,0.6,0.8,0,0,0,0,0,0,0,0,1,0,.1,,1-,1-,2,,,1-,.1,1-,,,.1,,.1
Asch_2,Aschheim,701958.84,5337665257,05.07.2022,2,K,gn,1,146,1,30,0.5,NA,39,nein,Mais,A11,A11,mgM,19.0,2,2,35.2,7.78,0.7,0.5,0.5,0,0,0,0,0,0,0,0,0,0,.1,.1,.2,.2,1-,.1,.2,1-,.1,1+,,.1,.1,,.1
Asch_3,Aschheim,702799.40,5339585462,18.07.2022,3,K,gn,1,32,1,30,2,NA,48,nein,Roggen,A11,A11 & G4,mgM,21.3,2,2,46.6,7.79,0.7,0.5,0.5,0,0,0,0,0,0,0,0,0,0,,,.2,.1,.4,.1,.2,.2,,1-,,.2,.1,,.4
Berg_1,Bergkirchen,674364.85,5346313223,08.06.2022,1,K,gn,1.2,218,1,12.5,20,NA,36,nein,Weizen,A11,A11,mgM,9.1,1,1,46.5,7.8,1.9,0.6,1.1,0,0,0,0,0,0,0,0,0,0,.1,,,.1,.2,.1,,.1,,1,,,,,0
Berg_2,Bergkirchen,673898.88,5345214075,08.06.2022,1,K,gn,1,22,1,7.5,2,NA,38,nein,Gerste,A11,A11,G,6.5,1,1,45.3,7.53,1.9,0.6,1.1,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,.1,,.1
Ech_1,Eching,692870.20,5351384205,06.08.2022,4,K,gn,3,458,2,2,0.5,NA,33,nein,Gerste,A11,K121-RF00BK,S,10.2,2,2,10.8,7.85,2.1,0.9,1.9,0,0,0,0,0,0,0,0,0,0,,,.1,.2,.2,,,,,0,,,,,0
Ech_3,Eching,694314.92,5354130224,07.07.2022,2,K,gn,1,67,3,20,7.5,NA,45,nein,Erbse,A12,A11,S,15.2,2,2,30.8,7.77,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,,,,.1,.1,.1,,.2,.1,.2,,,.1,.1,.1
Ech_4,Eching,695737.18,5355127068,11.06.2022,1,K,zT,1.4,53,0,30,0.5,NA,44,nein,Elefantengras,A11,A11,mgM,6.4,1,1,10.9,7.66,0.5,1,1.9,0,0,0,0,0,0,0,0,0,0,,,.1,.1,.1,,.1,.1,.1,.2,,,.1,,.1
Ech_5,Eching,695395.15,5352827548,07.07.2022,2,K,gn,1,100,1,20,0.5,NA,36,nein,Gerste,A11,A11,G,12.0,2,2,33.7,7.58,0.6,0.1,0.2,0,0,0,0,0,0,0,0,0,0,.1,.1,.1,.4,1-,.1,.1,.4,,1-,,.1,.2,,.2
Ech_6,Eching,697982.52,5351806.94,12.06.2022,1,K,gn,1,59,1,12.5,0.5,NA,57,nein,Mais,A11,G214,G,7.9,1,2,43.3,7.72,1.2,1,1.9,0,0,0,0,0,0,1,0,0,0,,,,.2,.2,.1,,.2,.1,.2,,,,.1,.1
Ech_7,Eching,697935.32,5350358427,12.06.2022,1,K,gn,1.1,321,1,20,0.5,NA,38,ja,Gerste,A11,A11,S,5.4,1,1,52.8,7.81,0.3,1.5,1.3,0,0,0,0,0,0,0,0,0,0,,,2,.1,2,.1,.1,.1,.1,.2,,,.1,,.1
Ech_8,Eching,695751.10,5350972107,11.06.2022,1,K,gn,1,58,1,20,2,NA,26,nein,Erbse,A12,A11,gmG,16.0,2,2,42.1,7.72,1.5,1.6,2.2,0,0,0,0,0,0,0,0,0,0,,.1,.2,.4,1-,.1,.1,.2,,.2,,,.1,,.1
Feldm_1,Feldmoching,688438.67,5344600822,10.06.2022,1,K,gn,1,210,1,20,7.5,NA,34,nein,Gerste,A11,G211,mgM,13.0,2,2,29.7,7.81,1,2.5,1.5,0,0,1,0,0,0,0,0,0,0,.1,.1,.1,.2,.4,,,.2,1-,1-,,,.2,.2,.4
Feldm_2,Feldmoching,686833.63,5343864437,08.07.2022,2,K,zT,1.2,57,2,20,7.5,NA,42,nein,Hafer,A11,B112,mgM,11.3,2,2,15.5,7.74,0.2,0.4,0.5,0,0,0,0,0,0,0,0,0,0,.1,,.1,1+,1+,.1,,.1,.2,.4,,,.1,,.1
Feldm_3,Feldmoching,685526.91,5343725495,08.07.2022,2,K,gn,1.1,26,1,7.5,2,NA,35,nein,Mais,A11,A11,mgM,4.5,1,2,48.8,7.77,2.8,1.5,1,0,0,0,0,0,0,0,0,0,0,,,,,n.g.,,,,,0,,,.1,,.1
Feldm_4,Feldmoching,687690.89,5342050018,08.07.2022,2,K,zT,1,60,1,30,2,NA,35,nein,Kartoffel,A11,K122,mgM,15.5,2,2,27.6,7.72,0.9,0.3,0.8,0,0,0,0,0,0,0,0,0,0,.1,.1,.4,.1,1-,,.1,.4,.1,1-,,.1,.1,,.1
Gar_1,Garching,694040.44,5348531681,16.06.2022,1,K,gn,4,736,0,70,2,NA,30,ja,Gerste,A11,G312,S,66.3,3,3,13.2,7.86,4.1,3.8,2.6,0,0,0,0,0,0,0,0,0,0,,.1,.4,1-,1+,,1-,.2,1-,2,,1-,.1,.2,1-
Gar_2,Garching,696476.28,5349575604,11.06.2022,1,K,gn,1,67,1,20,2,NA,28,ja,Kartoffel,A11,A11,mgM,21.7,2,1,37.8,7.59,0.4,0.3,1.2,0,0,0,0,0,0,1,0,0,0,.1,,1-,.1,1-,,,1-,,1-,,.1,.1,.1,.2
Gar_3,Garching,695666.54,5346258058,16.06.2022,1,K,gn,1.1,36,1,7.5,2,NA,31,nein,Gerste,A11,A11,S,20.6,2,2,42.9,7.77,0.4,1.5,0.6,0,0,0,0,0,0,0,0,0,0,,,,,0,,.1,,.1,.1,,,,,0
Gig_1,Giggenhausen,698105.30,5357391207,11.06.2022,1,K,gn,1,62,1,12.5,2,NA,37,nein,Gerste,A11,A11,mgM,10.1,2,1,52.1,7.69,0.8,0.6,0.5,0,0,0,0,0,0,0,0,0,0,.1,,,.1,.2,.1,,.2,.1,.2,,,.1,,.1
Gig_2,Giggenhausen,698483.10,5359017022,04.07.2022,2,K,zT,1.2,137,1,40,0.5,NA,38,nein,Weide,G211,K11,G,7.1,1,2,27.3,7.79,2.1,2,2.4,0,0,0,0,0,0,0,0,0,0,.1,,.2,.4,1-,.1,,1-,.1,1-,,.1,.1,,.1
Ism_1,Ismaning,699279.26,5342911591,19.07.2022,3,K,gn,1,214,1,30,0.5,NA,39,nein,Kartoffel,A11,G212-LR6510,A,11.3,2,2,43.8,7.76,1.5,2,2,0,0,0,0,0,1,0,0,0,0,,,1+,.1,1+,.1,,,,.1,.1,,.2,.1,.2
Ism_2,Ismaning,700216.30,5345499.31,19.07.2022,3,K,zT,1.2,52,3,30,0.5,NA,49,nein,Mais,A11,A11,mgM,3.7,1,1,56.7,7.68,2.4,2.6,1.9,0,0,0,0,0,0,0,0,0,0,,,.1,.1,.1,.1,.1,,,.1,,,,,0
Ism_3,Ismaning,700184.51,5347088401,19.07.2022,3,K,gn,1,166,2,12.5,4,NA,44,nein,Mais,A11,B112,mgM,8.0,1,2,25.8,7.71,1.4,0.8,0.4,0,0,0,0,0,0,1,0,0,0,.1,,.2,.1,.2,.1,,.1,,.2,,,.1,,.1
