Art;Asch_1;Asch_2;Asch_3;Berg_1;Berg_2;Ech_1;Ech_3;Ech_4;Ech_5;Ech_6;Ech_7;Ech_8;Feldm_1;Feldm_2;Feldm_3;Feldm_4;Gar_1;Gar_2;Gar_3;Gig_1;Gig_2;Ism_1;Ism_2;Ism_3;Ism_4;Ism_5;Karl_1;Karl_2;Kirch_1;Kirch_2;Kirch_3;Mai_1;Mai_2;Mai_3;Mai_4;Moos_1;Moos_2;Neuf_1;Neuf_2;Neuf_3 ;Oneu_1;Oneu_2;Oneu_3;Pli_1;Pli_2;Pli_3;Pli_4;Umen_1;Umen_2
Acer campestre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achillea millefolium;0;0;0;0;0;0;0;0;4;0;0.1;0;10;0;0;0.1;4;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.5;0;10;0;20;0;0;0;0;0.1;0;4;0;4;0;0;0
Acinos arvensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aegopodium podagraria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrimonia eupatoria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrostis gigantea;0;0;0;0;0;0;0;10;0;0;0;0;0;2;10;0;4;0;0;0;10;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;10;0
Agrostis stolonifera;10;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0.5;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Alnus glutinosa;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alopecurus myosuroides;0;0;0;0;0.5;0;0;0;0.5;20;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;37.5;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0
Alopecurus pratensis;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amaranthus retroflexus;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0.1;0;0;0;0.5;0;0;0;0;0;0;0
Ambrosia artemisiifolia;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anthriscus sylvestris;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arctium lappa;0;0;0;0;0;0;0;0;0.1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0
Arctium minus;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
Arctium tomentosum;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;2;0;0;0;0.1;0.1;0;0;0;0;10;10;0;0.1;0;2;0;10;0;0;0;0
Arenaria serpyllifolia;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arrhenatherum elatius;0;0.5;0;2;0;4;0;0.5;0.5;4;4;4;0.5;0.5;0;10;10;0;0;0;10;37.5;0;10;0;37.5;0;0;0;0;0;0.5;0;0;0;10;2;0;0;10;0;0.5;0;10;0;0;0;0.5;0
Artemisia vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.1;0;0;0;0;0;0;0;0.5;0;0;0.1;0;0;0;0.5;0.5;0;0.5;0.1;0;0;4;2;0;0;0;0;0;0;0.1;0;0
Atriplex patula;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0
Avena fatua;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bellis perennis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0
Brassica napus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0
Bromus hordeaceus;0;0.5;2;2;0;0;0;0.1;10;0;0;0;37.5;10;0;2;2;10;0;0;0;0;0;0;0.5;0;0;0;0.5;0;0;0;0;0;0.5;0;2;0;0;0;0;0;0;0;0;0;0;4;0
Bromus inermis;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Bromus sterilis;0;10;0;0;0;0;0.5;0.1;0.5;0;0;0.5;2;0;0;0;0;0;0.5;0;0;0;0.5;4;0;0.5;0;0;0;0;0;0.1;0.5;0;0;0.5;0;4;0;0;0;0;0;0;0;0;0;0.5;0
Bunias orientalis;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
