name,nomenclature,family,lifeform,growthform,sociology,rlg,rlb,neo
Acer campestre,http://www.worldfloraonline.org/taxon/wfo-0000514040,Aceraceae,P,wood,8400,*,na,0
Acer pseudoplatanus,http://www.worldfloraonline.org/taxon/wfo-0000514908,Aceraceae,P,wood,8430,*,na,0
Achillea millefolium,http://www.worldfloraonline.org/taxon/wfo-0000042097,Asteraceae,N,perennial,5420,*,na,0
Aegopodium podagraria,http://www.worldfloraonline.org/taxon/wfo-0000521573,Apiaceae,N,perennial,3531,*,na,0
Agrostis gigantea,http://www.worldfloraonline.org/taxon/wfo-0000843693,Poaceae,N,perennial,5400,*,na,0
Agrostis stolonifera,http://www.worldfloraonline.org/taxon/wfo-0000844489,Poaceae,na,na,8430,*,na,0
Alnus glutinosa,http://www.worldfloraonline.org/taxon/wfo-0000945215,Betulaceae,P,wood,8433,*,na,0
Alnus incana,http://www.worldfloraonline.org/taxon/wfo-0000945749,Betulaceae,P,wood,8211,*,na,0
Alopecurus aequalis,http://www.worldfloraonline.org/taxon/wfo-0000845386,Poaceae,H_T,annual_biennial,3210,*,na,0
Arabidopsis arenosa,http://www.worldfloraonline.org/taxon/wfo-0000541763,Brassicaceae,N,biennial,na,*,na,0
Arenaria serpyllifolia,http://www.worldfloraonline.org/taxon/wfo-0000546651,Caryophyllaceae,T,annual,na,*,na,0
Barbarea stricta,http://www.worldfloraonline.org/taxon/wfo-0000560052,Brassicaceae,N,biennial,3531,*,2,0
Berula erecta,http://www.worldfloraonline.org/taxon/wfo-0000564539,Apiaceae,N,perennial,1513,*,na,0
Betula pendula,http://www.worldfloraonline.org/taxon/wfo-0000335449,Betulaceae,P,wood,na,*,na,0
Brachypodium pinnatum,http://www.worldfloraonline.org/taxon/wfo-0000854513,Poaceae,N,perennial,5300,*,na,0
Brachypodium sylvaticum,http://www.worldfloraonline.org/taxon/wfo-0000854603,Poaceae,N,perennial,8400,*,na,0
Bromus erectus,http://www.worldfloraonline.org/taxon/wfo-0000855493,Poaceae,N,perennial,5320,*,na,0
Calamagrostis epigejos,http://www.worldfloraonline.org/taxon/wfo-0000857259,Poaceae,N,perennial,na,*,na,0
Calamagrostis pseudophragmites,http://www.worldfloraonline.org/taxon/wfo-0000857872,Poaceae,N,perennial,4441,2,2,0
Calystegia sepium,http://www.worldfloraonline.org/taxon/wfo-0001296723,Convolvulaceae,N,perennial,3520,*,na,0
Cardamine impatiens,http://www.worldfloraonline.org/taxon/wfo-0000586999,Brassicaceae,H_T,annual,3532,*,na,0
