year_site_plot,year,plot,treatment_original,treatment,treatment_weightedMonth,Agro_stol,Ajug_rept,Alch_vulg,Alop_geni,Alop_prat,Anth_odor,Arrh_elat,Bell_pere,Calt_palu,Card_prat,Care_acut,Care_flav,Care_hirt,Care_lepo,Care_nigr,Care_pani,Caru_carv,Cent_jace,Cera_holo,Cirs_palu,Crep_bien,Cyno_cris,Dact_glom,Dact_maja,Desc_cesp,Equi_palu,Fest_arun,Fest_prat,Fest_rubr,Fica_vern,Fili_ulma,Gali_palu,Glec_hede,Glyc_decl,Holc_lana,Junc_alpi,Junc_effu,Junc_fili,Junc_infl,Loli_pere,Lotu_pedu,Luzu_camp,Lysi_numm,Myos_scor,Pers_macu,Phle_prat,Plan_lanc,Plan_majo,Poa_annu,Poa_prat,Poa_triv,Pote_anse,Pote_erec,Prun_vulg,Ranu_acri,Ranu_flam,Ranu_repe,Rume_acet,Rume_obtu,Sang_offi,Scor_autu,Sile_flos,Symp_offi,Tara_camp,Trif_prat,Trif_repe,Tris_flav,Vero_cham,Vero_fili,Vero_serp
2017_BL_Blue,2017,BL_1,Blue,M-ref,high,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.5,0,0,0,0,0,0,20,0,0,0.1,0,0,0,0,0,2,0,1,0,0,0.1,0,0,4,0,1,0,0,0,0.2,2,10,40,0.2,0.1,0.1,0
2017_BL_White,2017,BL_5,White,M-2,medium,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,0,0,0,8,0,0,15,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0.5,0,0,0,0,1,2,25,0,0,0.5,0
2017_BL_Brown,2017,BL_6,Brown,M-1,low,0,0,0,0,20,7,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0,5,0,0,0,0.2,0,0,0,15,0,0,15,0,0,0.5,0,0,0,0.2,0,0,0,1,0,0,0,1.5,0,1,0,1,0,0,0,0.5,1,2,20,5,0,0.1,0
2017_AR_Blue,2017,AR_1,Blue,M-ref,high,0,0,0,0,10,3,0,0,0,0,0,0,3,0,0,0,0,0,0.1,0,0,10,0,0,0,1,0,0,3,0.5,0,0,0,0,4,0,1,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,15,0,3,0,0,0,0,10,0,1,12,10,0,0,0,0
2017_AR_White,2017,AR_5,White,M-2,medium,0,0,0,0,15,5,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,10,0,0,0,0.5,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,1,20,0,5,0,0.5,0,0,3,0,5,15,5,0,0,0,0
2017_AR_Brown,2017,AR_6,Brown,M-1,low,0,0,0,0,10,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,10,0,0,0,0.1,0,0,10,7,0,0,0.1,0,5,0,0,0,0.1,5,0.1,0,0.1,0,0,0,2,0,0,0,0,0,0,1,30,0,5,1.5,1,0,0,0.5,0,0.5,10,5,0,0,0,0
2017_WM_Blue,2017,WM_1,Blue,M-ref,high,15,5,1,0,3,5,0,0.5,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0.1,0,0,0.5,15,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0.5,0,0,0,0.1,0,0,0,0,4,12,5,0,0,0,0
2017_WM_White,2017,WM_5,White,M-2,medium,0.5,0,2,0,5,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,2,35,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,7,3,0.1,0,0,0,0
2017_WM_Brown,2017,WM_6,Brown,M-1,low,2,0,1,0,5,15,0,0.2,0,0,0,0,4,0,0,0,0,0,0.1,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,5,0,2,0,1,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,10,5,0,0,0.1,0.5
2017_SB_Blue,2017,SB_1,Blue,M-ref,high,0,0,0.5,0,10,8,0,0.2,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,5,0,0,0,0,0,5,5,1,0,0,0,0,10,0,2,0,0.5,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,10,0,5,0,0,0,0,0,0,5,10,15,0,0,0,0
