year_site_plot,year,region,site,plot,treatment_original,treatment_weightedMonth,mean_temp_3month,mean_precip_3month,mean_temp_year_DWD,mean_precip_year_DWD,temp_longterm_cdc,precip_longterm_cdc,altitude,grassland_number,soil_type,soil_type_agrolab,pH,phosphorus,potassium,organic_substance,N_total_percent,CN_relation
2018_HE_A1_P1,2018,ST,HE_A1,HE_A1_P1,A_1a,wm_15,14.14,59.3,9.42,771.7,7.4,1008,730,16,Hochmoor,MhSOM,5.9,8,9,22.1,0.84,15
2018_HE_A1_P2,2018,ST,HE_A1,HE_A1_P2,A_1c,wm_5,14.14,59.3,9.42,771.7,7.4,1008,730,16,Hochmoor,MhSOM,5.9,8,9,22.1,0.84,15
2018_HE_A1_P3,2018,ST,HE_A1,HE_A1_P3,A_2,wm_16,14.14,59.3,9.42,771.7,7.4,1008,730,16,Hochmoor,MhSOM,5.9,8,9,22.1,0.84,15
2018_HE_A1_P4,2018,ST,HE_A1,HE_A1_P4,A_1b,wm_6,14.14,59.3,9.42,771.7,7.4,1008,730,16,Hochmoor,MhSOM,5.9,8,9,22.1,0.84,15
2018_HE_A1_P5,2018,ST,HE_A1,HE_A1_P5,A_ref,wm_28,14.14,59.3,9.42,771.7,7.4,1008,730,16,Hochmoor,MhSOM,5.9,8,9,22.1,0.84,15
2018_HO_A1_P1,2018,HO,HO_A1,HO_A1_P1,A_1a,wm_15,13.32,100.8,8.62,1277.9,6.5,1032,843,32,Gley,MhSOM,5.1,9,11,24.9,1.05,14
2018_HO_A1_P2,2018,HO,HO_A1,HO_A1_P2,A_1c,wm_5,13.32,100.8,8.62,1277.9,6.5,1032,843,32,Gley,MhSOM,5.1,9,11,24.9,1.05,14
2018_HO_A1_P3,2018,HO,HO_A1,HO_A1_P3,A_2,wm_16,13.32,100.8,8.62,1277.9,6.5,1032,843,32,Gley,MhSOM,5.1,9,11,24.9,1.05,14
2018_HO_A1_P4,2018,HO,HO_A1,HO_A1_P4,A_1b,wm_6,13.32,100.8,8.62,1277.9,6.5,1032,843,32,Gley,MhSOM,5.1,9,11,24.9,1.05,14
2018_HO_A1_P5,2018,HO,HO_A1,HO_A1_P5,A_ref,wm_28,13.32,100.8,8.62,1277.9,6.5,1032,843,32,Gley,MhSOM,5.1,9,11,24.9,1.05,14
