name,01a_08gps,01b_08gps,01c_08gps,01d_08gps,01e_08gps,02a_08gps,02b_08gps,02c_08gps,02d_08gps,02e_08gps,03a_08gps,03b_08gps,03c_08gps,03d_08gps,03e_08gps,04a_08gps,04b_08gps,04c_08gps,04d_08gps,04e_08gps,05a_08gps,05b_08gps,05c_08gps,05d_08gps,05e_08gps,06a_08gps,06b_08gps,06c_08gps,06d_08gps,06e_08gps,07a_08gps,07b_08gps,07c_08gps,07d_08gps,07e_08gps,08a_08gps,08b_08gps,08c_08gps,08d_08gps,08e_08gps,09a_08gps,09b_08gps,09c_08gps,09d_08gps,09e_08gps,10a_08gps,10b_08gps,10c_08gps,10d_08gps,10e_08gps,11a_08gps,11b_08gps,11c_08gps,11d_08gps,11e_08gps,12a_08gps,12b_08gps,12c_08gps,12d_08gps,12e_08gps,13a_08gps,13b_08gps,13c_08gps,13d_08gps,13e_08gps,14a_08gps,14b_08gps,14c_08gps,14d_08gps,14e_08gps,15a_08gps,15b_08gps,15c_08gps,15d_08gps,15e_08gps,16a_08gps,16b_08gps,16c_08gps,16d_08gps,16e_08gps,17a_08gps,17b_08gps,17c_08gps,17d_08gps,17e_08gps,18a_08gps,18b_08gps,18c_08gps,18d_08gps,18e_08gps,19a_08gps,19b_08gps,19c_08gps,19d_08gps,19e_08gps,20a_08gps,20b_08gps,20c_08gps,20d_08gps,20e_08gps,21a_08gps,21b_08gps,21c_08gps,21d_08gps,21e_08gps,22a_08gps,22b_08gps,22c_08gps,22d_08gps,22e_08gps,23a_08gps,23b_08gps,23c_08gps,23d_08gps,23e_08gps,24a_08gps,24b_08gps,24c_08gps,24d_08gps,24e_08gps,25a_08gps,25b_08gps,25c_08gps,25d_08gps,25e_08gps,01a_19gps,01b_19gps,01c_19gps,01d_19gps,01e_19gps,02a_19gps,02b_19gps,02d_19gps,02e_19gps,03a_19gps,03c_19gps,03d_19gps,03e_19gps,04a_19gps,04b_19gps,04c_19gps,04d_19gps,04e_19gps,05a_19gps,05b_19gps,06a_19gps,06c_19gps,06d_19gps,06e_19gps,07a_19gps,07b_19gps,07c_19gps,07d_19gps,07e_19gps,08a_19gps,08b_19gps,08c_19gps,08d_19gps,08e_19gps,09a_19gps,09c_19gps,09d_19gps,09e_19gps,10a_19gps,10b_19gps,10d_19gps,10e_19gps,11b_19gps,11c_19gps,11d_19gps,11e_19gps,12b_19gps,12c_19gps,12d_19gps,12e_19gps,13a_19gps,13b_19gps,13c_19gps,13d_19gps,13e_19gps,14a_19gps,14b_19gps,14c_19gps,14d_19gps,14e_19gps,15a_19gps,15b_19gps,15c_19gps,15d_19gps,15e_19gps,16a_19gps,16b_19gps,16c_19gps,16d_19gps,16e_19gps,17a_19gps,17b_19gps,17c_19gps,17d_19gps,17e_19gps,18b_19gps,18c_19gps,18d_19gps,18e_19gps,19a_19gps,19b_19gps,19c_19gps,19d_19gps,19e_19gps,20a_19gps,20b_19gps,20c_19gps,20d_19gps,20e_19gps,21a_19gps,21b_19gps,21c_19gps,21d_19gps,21e_19gps,22a_19gps,22b_19gps,22c_19gps,22d_19gps,22e_19gps,23a_19gps,23b_19gps,23c_19gps,23d_19gps,24a_19gps,24b_19gps,24c_19gps,24d_19gps,24e_19gps,25a_19gps,25b_19gps,25c_19gps,25d_19gps,25e_19gps
Acer campestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
Acer pseudoplatanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
Achillea millefolium,2,0,1,0,0,3,3,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,7,7,3,3,3,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,0,0,1,1,0,1,0,2,1,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,7,0,3,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,2,2,2,0,0,0,0,0,3,0
Acinos arvensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adoxa moschatellina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Agrostis capillaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Agrostis stolonifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrimonia eupatoria,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,3,7,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,3,3,2,3,0,2,0,2,3,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,0,18,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,7,1,1,0,0,1,0,0,0,0,0,0,2,7,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,7,7,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,2,0,7,0,1,0,7,18,0,0,3,0,0,0,0,3,0,1,1,0,0,0,0,0,7,1,2,0,1,0,0,0,0,0,0,1,7,0,0,2,1,0,0
Ajuga genevensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium oleraceum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
