id.plot,vegbelt,grazing,moisture.index,cwm.abu.sla.log,cwm.abu.gf.shrub,cwm.abu.leg.1,cwm.abu.lf.th,cwm.abu.sla
1nograz.1,1,0,0.39,2.09,0.58,0.04,0,8.05
1nograz.2,1,0,0.39,2.12,0.51,0.05,0,8.3
1nograz.3,1,0,0.39,1.98,0.46,0.12,0,7.27
1nograz.4,1,0,0.39,1.96,0.49,0.07,0,7.1
1highgraz.1,1,2,0.39,2.07,0.42,0.09,0,7.92
1highgraz.2,1,2,0.39,2.13,0.41,0.02,0,8.45
1highgraz.3,1,2,0.39,2.24,0.21,0.06,0.13,9.41
1highgraz.4,1,2,0.39,2.29,0.17,0.11,0.14,9.86
1littlegraz.1,1,1,0.39,2.01,0.54,0.02,0,7.48
1littlegraz.2,1,1,0.39,1.97,0.54,0.05,0,7.19
1littlegraz.3,1,1,0.39,1.9,0.34,0.05,0,6.69
1littlegraz.4,1,1,0.39,2.03,0.37,0.08,0.05,7.65
2nograz.1,2,0,0.5,2.33,0.42,0.09,0,10.31
2nograz.2,2,0,0.5,2.26,0.32,0.09,0.02,9.6
2nograz.3,2,0,0.5,2.08,0.34,0.13,0.03,8.01
2nograz.4,2,0,0.5,2.15,0.29,0.12,0.04,8.62
2highgraz.1,2,2,0.5,2.6,0.01,0.06,0.28,13.45
2highgraz.2,2,2,0.5,2.77,0,0.14,0.52,16
2highgraz.3,2,2,0.5,2.28,0,0.02,0.17,9.8
2highgraz.4,2,2,0.5,2.4,0.23,0.17,0.16,11.02
2littlegraz.1,2,1,0.5,2.38,0.33,0.07,0.04,10.78
2littlegraz.2,2,1,0.5,2.39,0.15,0.09,0.08,10.86
2littlegraz.3,2,1,0.5,2.31,0.16,0.09,0.14,10.08
2littlegraz.4,2,1,0.5,2.23,0.17,0.11,0.1,9.27
3nograz.1,3,0,0.72,2.35,0.26,0.03,0,10.47
3nograz.2,3,0,0.72,2.27,0.57,0.17,0.02,9.68
3nograz.3,3,0,0.72,2.3,0.5,0.08,0,10.01
3nograz.4,3,0,0.72,2.19,0.47,0.09,0,8.91
3highgraz.1,3,2,0.72,2.42,0.17,0.14,0.05,11.2
3highgraz.2,3,2,0.72,2.27,0.27,0.13,0,9.72
3highgraz.3,3,2,0.72,2.25,0.21,0.13,0.03,9.48
3highgraz.4,3,2,0.72,2.29,0.31,0.11,0.05,9.87
3littlegraz.1,3,1,0.72,2.32,0.24,0.1,0.03,10.16
3littlegraz.2,3,1,0.72,2.4,0.27,0.17,0,11.04
3littlegraz.3,3,1,0.72,2.24,0.26,0.09,0.02,9.42
3littlegraz.4,3,1,0.72,2.18,0.31,0.18,0,8.85
4nograz.1,4,0,1.34,2.56,0.23,0.02,0,12.96
4nograz.2,4,0,1.34,2.45,0.28,0.06,0,11.54
4nograz.3,4,0,1.34,2.4,0.3,0.01,0,11.02
4nograz.4,4,0,1.34,2.42,0.28,0.01,0,11.21
4highgraz.1,4,2,1.34,2.51,0.07,0.17,0.04,12.26
4highgraz.2,4,2,1.34,2.58,0.07,0.03,0.05,13.19
4highgraz.3,4,2,1.34,2.33,0.1,0.16,0,10.25
4highgraz.4,4,2,1.34,2.3,0.06,0.16,0,10.02
4littlegraz.1,4,1,1.34,2.47,0.17,0.06,0,11.81
4littlegraz.2,4,1,1.34,2.43,0.09,0.1,0,11.38
4littlegraz.3,4,1,1.34,2.35,0.15,0.15,0,10.49
4littlegraz.4,4,1,1.34,2.42,0.13,0.11,0,11.29
5nograz.1,5,0,2.05,2.63,0.06,0.03,0.02,13.91
5nograz.2,5,0,2.05,2.64,0.07,0.02,0.02,13.98
5nograz.3,5,0,2.05,2.53,0.06,0.02,0,12.53
5nograz.4,5,0,2.05,2.5,0.05,0.02,0,12.13
5highgraz.1,5,2,2.05,2.62,0.02,0.1,0.02,13.74
5highgraz.2,5,2,2.05,2.54,0.03,0.07,0,12.65
5highgraz.3,5,2,2.05,2.57,0,0.05,0,13.01
5highgraz.4,5,2,2.05,2.5,0,0.04,0,12.23
5littlegraz.1,5,1,2.05,2.56,0.05,0.03,0.01,12.97
5littlegraz.2,5,1,2.05,2.62,0.05,0.04,0,13.8
5littlegraz.3,5,1,2.05,2.52,0.04,0.05,0.01,12.37
5littlegraz.4,5,1,2.05,2.5,0.05,0.05,0,12.14
