id.plot,vegbelt,grazing,moisture.index,cwm.abu.sla
1nograz.1,1,0,0.39,8.05
1nograz.2,1,0,0.39,8.3
1nograz.3,1,0,0.39,7.27
1nograz.4,1,0,0.39,7.1
1highgraz.1,1,2,0.39,7.92
1highgraz.2,1,2,0.39,8.45
1highgraz.3,1,2,0.39,9.41
1highgraz.4,1,2,0.39,9.86
1littlegraz.1,1,1,0.39,7.48
1littlegraz.2,1,1,0.39,7.19
1littlegraz.3,1,1,0.39,6.69
1littlegraz.4,1,1,0.39,7.65
2nograz.1,2,0,0.5,10.31
2nograz.2,2,0,0.5,9.6
2nograz.3,2,0,0.5,8.01
2nograz.4,2,0,0.5,8.62
2highgraz.1,2,2,0.5,13.45
2highgraz.2,2,2,0.5,16
2highgraz.3,2,2,0.5,9.8
2highgraz.4,2,2,0.5,11.02
2littlegraz.1,2,1,0.5,10.78
2littlegraz.2,2,1,0.5,10.86
2littlegraz.3,2,1,0.5,10.08
2littlegraz.4,2,1,0.5,9.27
3nograz.1,3,0,0.72,10.47
3nograz.2,3,0,0.72,9.68
3nograz.3,3,0,0.72,10.01
3nograz.4,3,0,0.72,8.91
3highgraz.1,3,2,0.72,11.2
3highgraz.2,3,2,0.72,9.72
3highgraz.3,3,2,0.72,9.48
3highgraz.4,3,2,0.72,9.87
3littlegraz.1,3,1,0.72,10.16
3littlegraz.2,3,1,0.72,11.04
3littlegraz.3,3,1,0.72,9.42
3littlegraz.4,3,1,0.72,8.85
4nograz.1,4,0,1.34,12.96
4nograz.2,4,0,1.34,11.54
4nograz.3,4,0,1.34,11.02
4nograz.4,4,0,1.34,11.21
4highgraz.1,4,2,1.34,12.26
4highgraz.2,4,2,1.34,13.19
4highgraz.3,4,2,1.34,10.25
4highgraz.4,4,2,1.34,10.02
4littlegraz.1,4,1,1.34,11.81
4littlegraz.2,4,1,1.34,11.38
4littlegraz.3,4,1,1.34,10.49
4littlegraz.4,4,1,1.34,11.29
5nograz.1,5,0,2.05,13.91
5nograz.2,5,0,2.05,13.98
5nograz.3,5,0,2.05,12.53
5nograz.4,5,0,2.05,12.13
5highgraz.1,5,2,2.05,13.74
5highgraz.2,5,2,2.05,12.65
5highgraz.3,5,2,2.05,13.01
5highgraz.4,5,2,2.05,12.23
5littlegraz.1,5,1,2.05,12.97
5littlegraz.2,5,1,2.05,13.8
5littlegraz.3,5,1,2.05,12.37
5littlegraz.4,5,1,2.05,12.14
