accepted_name,IN1,IN2,IN3,IN4,IN5,IN6,AC1,AC2,AC3,AC4,AC5,AC6,Extra1,Extra2,Extra3,Extra4
Acer pseudoplatanus,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,0.5
Aconitum lycoctonum,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Aegopodium podagraria,8.75,2,18.75,8.75,37.5,37.5,8.75,18.75,18.75,18.75,8.75,8.75,4,18.75,18.75,4
Agrostis gigantea,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Agrostis stolonifera,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Alnus incana,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5
Angelica sylvestris,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0
Aquilegia atrata,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asarum europaeum,2,0.5,4,2,8.75,8.75,4,8.75,4,2,2,0,0.5,8.75,2,0.5
Brachypodium sylvaticum,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,0.5
Calamagrostis epigejos,0,0.5,4,0,0,0,4,2,0.5,2,0,0,4,0,0,0
Calamagrostis varia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Cardamine impatiens,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0.5
Cardamine trifolia,0,0,0,0,0,0,0,0.5,4,0,0.5,4,0,0,0,0
Carduus personata,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0
Carex,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Carex acutiformis,62.5,62.5,18.75,37.5,0.5,18.75,0,0.5,0.5,0.5,0.5,0,0,0.5,0,18.75
Carex alba,0,0.5,37.5,0,2,0,18.75,8.75,0.5,0,0,0,0,0,0,2
Carex brizoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Carex digitata,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5
Carex flacca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Carex ornithopoda,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0
Carex paniculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Carex pendula,0,0,0,0,2,0.5,2,0,0,0,0,0,0,0,0,0
Carex sylvatica,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0
Chaerophyllum hirsutum,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0
Cicuta virosa,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cirsium arvense,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5
Cirsium oleraceum,8.75,8.75,8.75,2,0,2,0,0,0,0,0,0,0.5,0,0.5,0.5
Clematis vitalba,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Convallaria majalis,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Cornus sanguinea,0,0,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5
Corydalis cava,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,2,0.5,0,0,0,0
Crataegus monogyna,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5
Dactylis glomerata,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Daphne mezereum,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Deschampsia cespitosa,0,0.5,0.5,4,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5
Dipsacus pilosus,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Dryopteris carthusiana,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Equisetum arvense,0.5,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5
Equisetum hyemale,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0
