name,taxonomic_status,accepted_name,accepted_name_url,accepted_family,lifeform,trait_value_1.6.2,trait_value_1.6.3,cv_1.6.2,cv_1.6.3,n_1.6.2,n_1.6.3
Aconitum_lycoctonum,Accepted,Aconitum lycoctonum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707564-1,Ranunculaceae,perannual,2,NA,0.074,NA,2,NA
Aegopodium_podagraria,Accepted,Aegopodium podagraria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5849-2,Apiaceae,perannual,1,0.479,0.042,0.233,6,2
Agrostis_gigantea,Accepted,Agrostis gigantea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385783-1,Poaceae,perannual,1.5,0.828333333333333,0.205,0.233,8,3
Angelica_sylvestris,Accepted,Angelica sylvestris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837777-1,Apiaceae,perannual,2,0.783,0.143,NA,7,1
Aquilegia_atrata,Accepted,Aquilegia atrata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708802-1,Ranunculaceae,perannual,0.6,0.4,NA,NA,1,1
Asarum_europaeum,Accepted,Asarum europaeum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302682-2,Aristolochiaceae,perannual,0.1,0.075,0,NA,4,1
Calamagrostis_epigejos,Accepted,Calamagrostis epigejos,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:394433-1,Poaceae,perannual,2,1,0.193,NA,5,1
Cardamine_impatiens,Accepted,Cardamine impatiens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280391-1,Brassicaceae,perannual_annual,0.85,0.379,0.17,0.078,6,2
Cardamine_trifolia,Accepted,Cardamine trifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280715-1,Brassicaceae,perannual,0.3,0.175,NA,NA,1,1
Carduus_personata,Accepted,Carduus personata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188942-1,Asteraceae,perannual,1.6,0.825,0.326,NA,2,1
Carex_acutiformis,Accepted,Carex acutiformis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298427-1,Cyperaceae,perannual,1.2,0.75,0.163,NA,4,1
Carex_alba,Accepted,Carex alba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30265209-2,Cyperaceae,perannual,0.25,0.1,0,NA,2,1
Carex_digitata,Accepted,Carex digitata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299459-1,Cyperaceae,perannual,0.3,0.1,0,NA,3,1
Carex_pendula,Accepted,Carex pendula,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301492-1,Cyperaceae,perannual,2.5,0.5,0.304,NA,5,1
Carex_sylvatica,Accepted,Carex sylvatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302516-1,Cyperaceae,perannual,1,0.425,0.269,NA,6,1
Cicuta_virosa,Accepted,Cicuta virosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:840414-1,Apiaceae,perannual,1.5,0.7625,0.168,0.162,4,2
Cirsium_arvense,Accepted,Cirsium arvense,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195034-1,Asteraceae,perannual,1.5,0.720666666666667,0.183,0.183,13,3
Cirsium_oleraceum,Accepted,Cirsium oleraceum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195767-1,Asteraceae,perannual,1.5,0.8,0,NA,3,1
Convallaria_majalis,Accepted,Convallaria majalis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:533487-1,Asparagaceae,perannual,0.3,0.21,0.182,0.247,4,3
Corydalis_cava,Accepted,Corydalis cava,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:672129-1,Papaveraceae,perannual,0.3,0.158,0.105,NA,4,1
Dactylis_glomerata,Accepted,Dactylis glomerata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1,Poaceae,perannual,1.4,0.704666666666667,0.225,0.328,15,3
Deschampsia_cespitosa,Accepted,Deschampsia cespitosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397953-1,Poaceae,perannual,1.5,0.515666666666667,0.414,0.488,26,3
Dipsacus_pilosus,Accepted,Dipsacus pilosus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319286-1,Caprifoliaceae,perannual,1.5,0.55,0.133,NA,3,1
Dryopteris_carthusiana,Accepted,Dryopteris carthusiana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17390210-1,Dryopteridaceae,perannual,0.8,0.375,0.145,NA,3,1
Equisetum_arvense,Accepted,Equisetum arvense,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300073-2,Equisetaceae,perannual,0.8,0.2975,0.445,0.131,8,2
Equisetum_hyemale,Accepted,Equisetum hyemale,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:92939-2,Equisetaceae,perannual,1,0.95,0.374,NA,3,1
Eupatorium_cannabinum,Accepted,Eupatorium cannabinum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:205581-1,Asteraceae,perannual,2,1,0.154,NA,4,1
Filipendula_ulmaria,Accepted,Filipendula ulmaria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724943-1,Rosaceae,perannual,2,0.896,0.344,0.164,9,2
Galium_aparine,Accepted,Galium aparine,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30007294-2,Rubiaceae,annual,2,0.559333333333333,0.446,0.448,7,3
