name_submitted,taxonomic_status,accepted_name,accepted_name_url,accepted_family,trait_value_1.2.2,trait_value_1.5.1,trait_value_1.6.3,trait_value_3.2.3,trait_value_3.3.1,trait_value_3.6.1,trait_value_3.7.1,trait_value_3.21.1,trait_value_4.1.3,trait_value_4.5.1,agreement_1.2.2,agreement_1.5.1,agreement_3.3.1,agreement_3.6.1,agreement_3.7.1,agreement_3.21.1,agreement_4.5.1,cv_1.6.3,cv_3.2.3,cv_4.1.3,n_1.2.2,n_1.5.1,n_1.6.3,n_3.2.3,n_3.3.1,n_3.6.1,n_3.7.1,n_3.21.1,n_4.1.3,n_4.5.1
Acer_pseudoplatanus,Accepted,Acer pseudoplatanus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781462-1,Sapindaceae,tree,independent,21.9333333333333,0.0946594776,anemochorous,biotic,NA,NA,166.8,no,1,1,1,1,NA,NA,1,0.204,0.198,NA,2,6,3,5,2,2,NA,NA,1,1
Alnus_incana,Accepted,Alnus incana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30106706-2,Betulaceae,NA,independent,8.532,7.647178e-4,anemochorous,abiotic,Mar,NA,205.15,NA,NA,1,1,1,0.667,NA,NA,0.423,0.504,NA,NA,4,5,10,3,3,3,NA,1,NA
Cornus_sanguinea,Accepted,Cornus sanguinea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:271661-1,Cornaceae,shrub,independent,2.219,0.0745273428,zoochorous,biotic,NA,NA,173.78,NA,1,1,1,1,NA,NA,NA,NA,0.238,NA,1,4,1,5,2,2,NA,NA,1,NA
Crataegus_monogyna,Accepted,Crataegus monogyna,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:723820-1,Rosaceae,tree,independent,5.66166666666667,0.0901174608333333,zoochorous,biotic,NA,white,113.36,no,0.75,1,1,1,NA,1,1,0.119,0.739,NA,2,7,3,6,4,3,NA,1,1,1
Euonymus_europaeus,Accepted,Euonymus europaeus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160876-1,Celastraceae,NA,independent,3.562,0.0441878146666667,zoochorous,biotic,May,NA,146.36,NA,NA,1,1,1,1,NA,NA,NA,0.183,NA,NA,2,1,3,3,2,2,NA,1,NA
Fraxinus_excelsior,Accepted,Fraxinus excelsior,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:609009-1,Oleaceae,tree,independent,28.6,0.064259159,anemochorous,abiotic,Apr,NA,136.51,NA,1,1,1,1,0.75,NA,NA,NA,0.113,NA,2,7,1,4,2,2,4,NA,1,NA
Lonicera_xylosteum,Accepted,Lonicera xylosteum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:149194-1,Caprifoliaceae,shrub,independent,1.873,0.0576826666666667,zoochorous,biotic,May,NA,241.09,NA,1,1,1,1,1,NA,NA,NA,1.597,NA,1,3,1,3,2,2,3,NA,1,NA
Picea_abies,Accepted,Picea abies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262609-1,Pinaceae,tree,independent,45,0.0174878858,anemochorous,abiotic,May,NA,68.46,no,1,1,0.667,1,1,NA,1,0.157,1.375,NA,1,3,2,5,3,2,3,NA,1,1
Prunus_padus,Accepted,Prunus padus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:730076-1,Rosaceae,tree,independent,8.55,0.09524928575,zoochorous,biotic,May,NA,216.82,NA,0.75,1,1,1,0.667,NA,NA,0.091,0.434,NA,2,4,2,4,3,2,3,NA,1,NA
Salix_alba,Accepted,Salix alba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:776974-1,Salicaceae,tree,independent,19.04175,1.2e-4,NA,biotic,Apr,NA,118.94,no,1,1,NA,1,0.75,NA,1,0.175,0,NA,2,8,4,2,NA,3,4,NA,1,1
Salix_alba_x_eleagnos,Accepted,Salix alba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:776974-1,Salicaceae,tree,independent,19.04175,1.2e-4,NA,biotic,Apr,NA,118.94,no,1,1,NA,1,0.75,NA,1,0.175,0,NA,2,8,4,2,NA,3,4,NA,1,1
Salix_eleagnos,Accepted,Salix eleagnos,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:777510-1,Salicaceae,tree,independent,9.69066666666667,2.5e-4,NA,biotic,NA,NA,NA,no,1,1,NA,1,NA,NA,1,0.921,0,NA,1,2,3,2,NA,2,NA,NA,NA,1
