accepted_name,accepted_name_url,accepted_family,growth_form_2,parasite_1,plant_height_mean,seed_mass_mean,dispersal_syndrome_1,pollination_syndrome_1,flowering_start,flower_colour,sla_mean,nitrogen_fix_1,source,l,t,m,r,n,s
Acer pseudoplatanus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781462-1,Sapindaceae,tree,independent,21.9333333333333,0.0946594776,anemochorous,biotic,NA,NA,166.8,no,Ellenberg,4,NA,6,NA,7,0
Aegopodium podagraria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5849-2,Apiaceae,forb,independent,0.479,0.00188225,autochorous,biotic,Jun,NA,287.97,NA,Ellenberg,5,5,6,7,8,0
Agrostis stolonifera,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:386353-1,Poaceae,NA,independent,0.605,6.16e-5,NA,abiotic,NA,NA,313.29,no,Ellenberg,8,NA,7,NA,5,0
Alnus incana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30106706-2,Betulaceae,NA,independent,8.532,7.647178e-4,anemochorous,abiotic,Mar,NA,205.15,NA,Ellenberg,6,4,7,8,NA,0
Angelica sylvestris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837777-1,Apiaceae,forb,independent,0.783,0.002702,NA,biotic,Jul,NA,269.32,NA,Ellenberg,7,NA,8,NA,4,0
Aquilegia atrata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708802-1,Ranunculaceae,herb,independent,0.4,0.0013625,autochorous,NA,NA,NA,NA,NA,Ellenberg,6,4,4,8,3,0
Asarum europaeum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302682-2,Aristolochiaceae,herb,independent,0.075,0.003301,zoochorous,NA,Mar,NA,266.25,NA,Ellenberg,3,6,5,7,6,0
Brachypodium sylvaticum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393196-1,Poaceae,NA,independent,0.7625,0.0025103055,zoochorous,abiotic,NA,NA,443.43,NA,Ellenberg,3,5,5,6,6,0
Calamagrostis epigejos,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:394433-1,Poaceae,graminoid,independent,1,7.15e-5,anemochorous,abiotic,Jun,NA,130.48,NA,Ellenberg,7,5,NA,NA,6,0
Calamagrostis varia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:394901-1,Poaceae,graminoid,independent,0.625,1.265e-4,NA,abiotic,Jul,NA,NA,NA,Ellenberg,7,3,5,8,3,0
