"Anthoxanthum_odoratum" "Bromus_erectus" "Carex_sempervirens" "Centaurea_uniflora" "Dactylis_glomerata" "Festuca_laevigata" "Festuca_paniculata" "Festuca_rubra" "Geum_montanum" "Helianthemum_grandiflorum" "Heracleum_sphondylium" "Hypochaeris_maculata" "Laserpitium_latifolium" "Lathyrus_pratensis" "Lotus_corniculata" "Onobrychis_montana" "Plantago_media" "Poa_pratensis" "Rhinanthus_alectorolephus" "Sesleria_caerulea" "Trifolium_alpinum" "Trifolium_montanum" "Trisetum_flavescens" "Vaccinium_myrtillus"
"Anonconotus_alpinus_F" 0 0 0.7 10.8 1.7 0.4 0 0 0 0 243.7 171.3 67.7 0 6.7 0 0 0 2 0 0.3 0 0 0
"Anonconotus_alpinus_M" 1 0 0 0 0 0 0 0 0 0 93.6 308.4 0 4.5 2 8.5 3.4 0 0 0 33.4 0 3.6 0.3
"Arcyptera_fusca_F" 2.6 19.9 24.5 0 0 0 111.1 3.8 0 0 39 0 0 0 0 0 0 0 0 13.8 0 13.4 30.6 0
"Arcyptera_fusca_M" 10.7 0 24.5 7.2 24 0 160 5.4 0 0 0 0 0 0 0 0 0 0 0 27.5 0 0 27 0
"Bohemanella_frigida_F" 0 0 1.2 9 0 0 0 0 0 0 0 0 0 11.2 8.9 3.7 16.9 0 17.8 0 0 0 0 0
"Bohemanella_frigida_M" 0 0 0 35.8 0 0 0.9 0 0 0 29.2 10.3 0 7.8 0 38.7 0 2.9 0 0 0 0 0 0
"Calliptamus_italicus_F" 0.1 0 0 0 0 0 40 0 0 0 39 0 0 0 4 0 59.3 0 8.9 0 0 9.3 21.6 7.6
"Calliptamus_italicus_M" 0 0 0 0 0 0 0 0 0.4 0 3.9 10.3 0 0 6.7 2.9 23.7 0.2 0 0 0 0 0 0
"Calliptamus_siciliae_F" 0 0 0 0 0 0 0 0 4.4 1.1 0 109.7 0 0 0 24 0 0 0 0 13.4 0 0 0.8
"Calliptamus_siciliae_M" 0 0 0 0 0 0 0 0 0 0 9.7 34.3 0 2.2 0 0 0 0 0 0 0 0 0 0
"Chorthippus_apricarius_F" 2.9 0 0 1.8 0 5.4 44.4 8.9 0 0 13.6 0 0 10.1 2 0 0 1.7 0 0 0 0 39.6 0
"Chorthippus_apricarius_M" 0 5 12.3 1.4 5.1 0 17.8 7.6 0 0 3.9 17.1 0 2.2 1.3 0 0 2.9 0 7.7 0 0 16.2 0
"Chorthippus_biguttulus_F" 0 9.9 0 0 0 0 57.8 0 1.3 0.2 13.6 0 0 0 4.7 0 13.6 0 0 15.9 0 0 7.2 0
"Chorthippus_biguttulus_M" 0 0 0 17.2 0 0 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.2 0
"Chorthippus_parallelus_F" 2.9 14.9 6.1 1.8 6.9 3.3 26.7 0 0 0 0 0 0 0 0 0 0 0 0 29.1 10 0 18 0
"Chorthippus_parallelus_M" 5.4 0 25.7 0 0 0 0 6.6 0 0 0 0 0 0 0 0 0 8.1 0 0 0 0 23.4 0
"Chorthippus_scalaris_F" 0 0 0 21.5 34.3 0 111.1 0 0 0 7.8 0 0 0 0 0 0 0 0 0 13.4 8.3 0 0
"Chorthippus_scalaris_M" 0 2.5 4.9 0 0 0 0 0 0 0 0 51.4 0 1.8 0 0 0 0 0 0 0 8.3 43.2 0
"Decticus_verrucivorus_F" 14.3 0 22.1 0 0 0 0 0.6 5.3 0 458.1 0 0 0 27 34.7 8.5 0 0 0 2.7 0 43.2 1.7
"Decticus_verrucivorus_M" 20 3.7 0 0 0 0 0 3.2 0 0 272.9 0 121.9 0 23.5 14.7 0 0 3 4.6 6.7 3.3 23.4 0
"Euchorthippus_declivus_F" 0 18.7 36.8 0 52.1 0 22.2 0 0 0 0 0 0 0 0 0 0 7.2 0 9.2 0 0 11.9 0
"Euchorthippus_declivus_M" 14.6 15.4 6.1 0 17.1 0 0 0 0 0 0 0 0 0 0 0 0 8.1 0 0 0 1.7 5.4 0
"Euthystira_brachyptera_F" 19.3 0 0 0 11.3 0.1 17.8 5.7 0 0 1.9 0 0 0 0 0 0 0 0.2 19.9 0 0 10.1 0
"Euthystira_brachyptera_M" 0 0 0 0 10.3 0 0 6 0 0 0 0 0 0 0 0 0 8.1 0 0 0 0 10.8 0
"Gomphocerus_sibiricus_F" 0 5 0 14.3 49.7 0 53.3 0 0 0 19.5 34.3 0 0 0.7 0 0 0 0 0 0 0 0 0
"Gomphocerus_sibiricus_M" 0 0 0 7.2 20.6 0 26.7 2.8 0 0 0 0 0 0 2 8 0 0 0 7.7 0 2.7 0 0
"Metrioptera_bicolor_F" 0 0 0 0 0 0 68.4 6.3 0 0 0 0 0 0.4 0 0 0 1.2 0 9.5 0 0 8.3 0
"Metrioptera_bicolor_M" 0.6 0 22.8 0 0 4.6 47.1 3.2 2.2 0 0 0 0 0 2.7 14.7 0 0 0 0 1 0 10.8 0
"Metrioptera_brachyptera_F" 8.9 0.2 0 17.9 0.7 0.3 0 0 0 0 76 17.1 0 0 1.8 6.7 0 0 3.9 0 0.3 0.7 0.7 0.2
"Metrioptera_brachyptera_M" 1.1 1.2 0 0 0 1.6 0 0 0 0 29.2 10.3 0 22.4 0 0 1.7 0 5.9 0.6 9.4 0.7 0 0
"Miramella_alpina_F" 0 0 0 0 0 0 0 0 0 0 136.5 0 0 0 0 48 8.5 0 22.7 0 0 0 0 0
"Miramella_alpina_M" 0 0 0 0 0 0 0 0.6 3.5 0 7.8 0 0 0 6.7 29.4 0 0 0 0 0 0 0 2.1
"Myrmeleotettix_maculatus_F" 0 1 0 0 0 4.9 0 13.3 0 0.2 0 0 0 0 0 0 0 4.1 0 1.5 1.3 0 0 0
"Myrmeleotettix_maculatus_M" 0.1 0 0 0 0 0.5 0 1.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4 0
"Omocestus_haemorrhoidalis_F" 1 0 4.9 0 5.1 6.5 4.4 9.2 0 0 0 0 0 0 0 0 0 5.8 0 4 18.4 0 18 0.8
"Omocestus_haemorrhoidalis_M" 0.3 0 11 0 3.4 0 0 4.4 0 0 5.8 0 0 0 0 0 0 2.9 0 0.3 2.3 2 5.4 0
"Omocestus_viridulus_F" 26.4 0 12.3 0 0 0 80 15.5 0 0 0 0 0 0 0.5 28 0 29.1 0 21.4 5 0 108 0
"Omocestus_viridulus_M" 4.3 0 0 0 8.9 0 0 0 0 0 9.7 0 0 0 0 0 0 2.3 0 0 10 0 16.2 0
"Platycleis_albopunctata_F" 0 0 0 0 0 6.5 0 3.8 0 0 0 0 0 0 0 0 5.1 0 0 0 0 0 10.8 0
"Platycleis_albopunctata_M" 0 0 0 0 6.9 8.7 1.8 0.6 0 0 29.2 0 0 0 0 0 0 0 0 0 0.7 0 36 0
"Podisma_pedestris_F" 2.9 0 0 0 0 0 0 0 0 10.5 9.7 0 0 0 0 38.7 16.9 0 0 0 0 0 0 0
"Podisma_pedestris_M" 0 0 1.2 0 0 0 0 0 7.5 0 9.7 0 0 0 0 0 8.5 0 0 0 0 10 1.8 0
"Stenobothrus_lineatus_F" 0 5 33.1 0 0 16.3 40.9 11.7 0 0 0 0 0 0 0 0 0 10.5 0 4.6 33.4 0 0 0
"Stenobothrus_lineatus_M" 0 22.4 4.9 0 0 15.2 0 1.9 0 0 7.8 0 0 0 0 0 0 4.1 0 12.2 0.7 0 0 0
"Stenobothrus_nigromaculatus_F" 0 0 0 0 0 5.4 133.3 0 0 0 0 0 0 0 0 0 0 18.6 0 0 0 0 0 0
"Stenobothrus_nigromaculatus_M" 0 5 0 0 0 0 13.3 6.3 0 0 0 0 0 0 0 0 0 2.1 0 6.1 0 0 3.6 0
"Stethophyma_grossum_F" 0 2.5 0 0 13.7 0 0.9 0 0.9 0 39 0 0 0 0 0 8.5 1.2 5.9 5.5 0 0 13.7 0
"Stethophyma_grossum_M" 0 9.9 3.7 0 0 0 2.7 0 0.9 0 3.9 0 0 0 0 0 1.7 0 0.2 0 0 0 7.9 0
