	WS	WP	Thickness	LDMC	CN	LNC	SLA
Anthoxanthum_odoratum	0.12	601.91	0.17	240	25.09	17.4	26.65
Bromus_erectus	0.35	1031.21	0.27	366.29	26.46	16.86	14.42
Carex_sempervirens	0.27	1317.2	0.32	361.61	29.18	15.6	13.18
Centaurea_uniflora	0.2	394.27	0.43	212.85	18.21	24.5	16.17
Dactylis_glomerata	0.21	767.52	0.22	298.55	19.66	22.42	20.05
Festuca_laevigata	0.34	825.48	0.45	376.27	32.57	13.44	11.24
Festuca_paniculata	0.45	2051.59	0.47	394.11	38.84	11.7	8.56
Festuca_rubra	0.19	447.13	0.29	385.64	31.07	14.3	16.29
Geum_montanum	0.14	381.85	0.47	289.2	24.07	19.03	14.76
Helianthemum_grandiflorum	0.09	186.94	0.34	317.26	21.19	21.25	12.49
Heracleum_sphondylium	0.08	246.18	0.49	191.9	11.32	37.6	19.71
Hypochaeris_maculata	0.07	170.38	0.51	130	20.97	21.22	14.24
Laserpitium_latifolium	0.08	283.76	0.34	256.78	15.9	26.13	11.99
Lathyrus_pratensis	0.12	338.85	0.22	305.91	13.77	33.83	19.24
Lotus_corniculata	0.1	173.57	0.35	215.52	14.28	32.88	13.53
Onobrychis_montana	0.3	331.53	0.29	299.33	17.04	26.77	10.93
Plantago_media	0.15	401.27	0.42	173.5	26.61	16.3	11.3
Poa_pratensis	0.21	1077.07	0.25	373.64	35.59	12.77	16.82
Rhinanthus_alectorolephus	0.11	266.56	0.59	198.86	15.31	27.48	19.36
Sesleria_caerulea	0.22	830.57	0.25	380.4	27.6	16.7	14
Trifolium_alpinum	0.24	758.6	0.14	293.32	11.88	38.39	18.91
Trifolium_montanum	0.17	555.41	0.23	252.99	17.07	25.27	14.24
Trisetum_flavescens	0.13	471.97	0.23	318.88	23.64	18.99	25.11
Vaccinium_myrtillus	0.17	380.89	0.29	386.24	33.21	15.15	25.8
