Species	SLA	SD	LF_Th	LF_G	LF_H	LF_hCh	LF_wCh	LF_NP	LF_P	belt1	belt2	belt3	belt4	belt5
Acercamp	15.7	2.4	0	0	0	0	0	0	1	0	0	1	0	0
Achimill	14.6	1.6	0	0	0.5	0.5	0	0	0	0	0	0	1	1
Aegigeni	15.2	2.6	1	0	0	0	0	0	0	0	1	1	0	0
Alchhybr	19	1.7	0	0	1	0	0	0	0	0	0	0	0	1
Anemhepa	12.9	0.5	0	0	1	0	0	0	0	0	0	1	1	1
Anthmont	13.5	2	0	0	1	0	0	0	0	0	0	0	1	0
Aphymons	7.7	1	0	0	1	0	0	0	0	0	1	1	1	0
Arengran	14.3	4.3	0	0	0	1	0	0	0	0	0	0	0	1
Argyzano	13.5	1.4	0	0	0	0	1	0	0	1	1	1	0	0
Atracanc	13.5	1.9	1	0	0	0	0	0	0	1	1	1	0	0
Atrahumi	8.8	1.9	0	0	0	0	1	0	0	1	1	1	0	0
Avenbrom	14.4	1.7	0	0	1	0	0	0	0	0	1	1	0	0
Bisclaev	13.1	1	0	0	0	0.5	0.5	0	0	0	0	0	1	1
Bracdist	34.9	4.9	1	0	0	0	0	0	0	1	1	1	0	0
Bracphoe	8.2	2.7	0	0	1	0	0	0	0	0	0	1	1	0
Bracretu	8.1	2.4	0	0	1	0	0	0	0	1	1	1	0	0
Brizmedi	12.6	2.6	0	0	1	0	0	0	0	0	0	1	1	0
Bromerec	7.1	1.7	0	0	1	0	0	0	0	0	0	0	1	1
Buplfrut	8.9	2.5	0	0	0	0	0	1	0	0	1	1	0	0
Buplranu	20.9	3.1	0	0	1	0	0	0	0	0	0	0	1	1
Buxusemp	5.4	1	0	0	0	0	0	0	1	0	0	1	1	0
Carddefl	8.4	1.4	0	0	1	0	0	0	0	0	0	0	1	1
Carexsp	14.3	1.7	0	0	1	0	0	0	0	1	1	1	1	1
Carlacau	6.9	1.2	0	0	1	0	0	0	0	0	0	0	1	1
Carlvulg	12.9	4.2	0	0	1	0	0	0	0	0	0	0	1	0
Centlini	14.1	2	0	0	0	1	0	0	0	1	1	0	0	0
Cerapumi	20.8	8	1	0	0	0	0	0	0	0	0	0	1	1
Cistclus	6.7	0.5	0	0	0	0	0	1	0	1	1	0	0	0
Coromini	11.8	1.2	0	0	0	0	1	0	0	1	1	1	1	1
Cratmono	12.7	1.8	0	0	0	0	0	0	1	0	0	1	1	0
Dactglom	14.2	1.7	0	0	1	0	0	0	0	1	1	1	1	0
Dianhyss	16.3	2.9	0	0	0	0	1	0	0	0	0	0	1	1
Dorypent	18.2	4	0	0	0	0	0.5	0.5	0	1	1	1	0	0
Echiritr	9.3	1.5	0	0	1	0	0	0	0	0	1	1	0	0
Ephefrag	5.2	2	0	0	0	0	0	1	0	0	1	0	0	0
Erucnast	9.3	1.3	0	0	0	1	0	0	0	1	1	1	0	0
Erynbour	5.5	0.7	0	0	1	0	0	0	0	0	0	0	0	1
Eryncamp	8.9	0.7	0	0	1	0	0	0	0	0	1	1	1	0
Euphcypa	18.9	1.8	0	0.5	0.5	0	0	0	0	0	0	0	1	1
Euphpara	18.2	2.8	0	0	0	0	1	0	0	0	0	1	0	0
Euphserr	21.5	2.7	0	0	0	0	1	0	0	0	1	1	1	0
Festgaut	12.3	2.4	0	0	1	0	0	0	0	0	0	0	1	1
Festnigr	11.3	3	0	0	1	0	0	0	0	0	0	0	1	1
Festovin	9.4	1.6	0	0	1	0	0	0	0	0	0	0	1	1
Filapyra	48.1	9.3	1	0	0	0	0	0	0	1	1	1	0	0
Fumaeric	7.3	1.2	0	0	0	0	1	0	0	1	1	1	1	0
Fumathym	7.8	1	0	0	0	0	1	0	0	1	1	1	0	0
Galiluci	11.7	1.4	0	0	1	0	0	0	0	1	1	1	1	1
Galirotu	24.4	3.9	0	0	0	1	0	0	0	0	0	0	1	1
Galiveru	18	1.3	0	0	1	0	0	0	0	0	0	0	1	1
Genibifl	15	1.9	0	0	0	0	0	1	0	1	1	0	0	0
Genihisp	9.9	1.4	0	0	0	0	1	0	0	0	0	1	0	0
Geniscor	7.6	1.6	0	0	0	0	0	1	0	1	1	1	1	0
Globalyp	3.2	0.2	0	0	0	0	0	1	0	1	1	0	0	0
Globcord	11.5	3.4	0	0	0	0	1	0	0	0	0	0	1	1
Globvulg	8.6	0.9	0	0	1	0	0	0	0	0	0	1	1	1
Heliapen	7	1.1	0	0	0	0	1	0	0	1	1	1	1	0
Helicanu	7.4	2.2	0	0	0	0	1	0	0	0	0	1	1	0
Helioela	10.9	1.5	0	0	0	0	1	0	0	0	0	0	1	1
Heliorig	7.3	0.9	0	0	0	0	1	0	0	1	0	0	0	0
Helisede	7.7	1.4	0	0	1	0	0	0	0	0	0	0	1	1
Helistoe	7.8	1.3	0	0	0	0	1	0	0	1	1	1	0	0
Helisyri	7.5	1.4	0	0	0	0	1	0	0	1	1	0	0	0
Hierlact	26.7	3.7	0	0	1	0	0	0	0	0	0	0	0	1
Hiermuro	27.3	2.9	0	0	1	0	0	0	0	0	0	0	1	1
Hierpilo	9.6	2	0	0	1	0	0	0	0	0	0	1	1	0
Hippcomo	7.6	1.3	0	0	0.25	0	0.75	0	0	1	1	1	1	1
Hordmuri	21.7	4.9	1	0	0	0	0	0	0	0	1	0	0	0
Junicomm	6.3	0.5	0	0	0	0	0	0	1	0	0	0	1	1
Junioxic	6.7	1	0	0	0	0	0	0	1	1	1	1	0	0
Juniphoe	3.8	0.6	0	0	0	0	0	0	1	1	0	1	0	0
Knauarve	8.6	1.1	0	0	1	0	0	0	0	0	0	1	1	0
Knaudips	14.3	4.3	0	0	1	0	0	0	0	0	0	0	1	0
Koelmacr	9.3	1.5	0	0	1	0	0	0	0	0	0	0	1	1
Koelvall	8.4	1	0	0	1	0	0	0	0	0	1	1	1	1
Lavaangu	11	1.6	0	0	0	0	0.5	0.5	0	0	0	1	1	0
Leuzconi	11	2.3	0	0	1	0	0	0	0	1	1	1	1	0
Linunarb	12.6	2.2	0	0	0	0	0	0	1	0	1	1	1	1
Linustri	20.7	3.8	1	0	0	0	0	0	0	1	1	0	0	0
Linutenu	10.3	1.2	0	0	0	0	1	0	0	0	1	1	1	1
