dist.int	SOIL.P	SOIL.WHC
GE-MNP_1	47.2	0.077	6.00
GE-MNP_10	49.7	0.054	6.10
GE-MNP_11	44.1	0.018	23.20
GE-MNP_12	43.9	0.019	33.10
GE-MNP_13	44.9	0.013	26.80
GE-MNP_14	48.5	0.015	19.50
GE-MNP_15	43.0	0.012	23.40
GE-MNP_17	19.9	0.02	21.80
GE-MNP_18	29.7	0.012	17.10
GE-MNP_19	27.9	0.035	13.00
GE-MNP_2	49.0	0.036	14.30
GE-MNP_20	19.5	0.011	27.70
GE-MNP_21	25.7	0.043	14.70
GE-MNP_22	22.2	0.037	11.40
GE-MNP_23	28.4	0.002	3.30
GE-MNP_24	28.0	0.002	3.20
GE-MNP_25	42.3	0.014	35.30
GE-MNP_27	29.7	0.008	7.40
GE-MNP_28	24.2	0.009	15.40
GE-MNP_29	16.2	0.005	4.50
GE-MNP_3	46.8	0.095	22.00
GE-MNP_31	28.3	0.007	14.90
GE-MNP_33	0.0	0.073	2.30
GE-MNP_34	0.0	0.072	7.60
GE-MNP_35	0.0	0.07	25.00
GE-MNP_36	0.0	0.074	1.80
GE-MNP_37	0.0	0.096	3.20
GE-MNP_38	0.0	0.092	7.60
GE-MNP_39	0.0	0.072	20.50
GE-MNP_4	48.6	0.073	20.50
GE-MNP_40	0.0	0.073	3.30
GE-MNP_41	0.0	0.008	12.50
GE-MNP_42	0.0	0.006	11.10
GE-MNP_43	0.0	0.016	7.00
GE-MNP_44	0.0	0.01	5.30
GE-MNP_45	0.0	0.009	2.70
GE-MNP_47	0.0	0.053	6.50
GE-MNP_48	0.0	0.009	3.90
GE-MNP_5	46.8	0.133	20.10
GE-MNP_6	49.7	0.039	18.80
GE-MNP_7	47.0	0.067	27.50
GE-MNP_8	48.1	0.005	5.90
GE-MNP_9	47.7	0.063	24.70
