"ACHIMILL"	"AGROCAPI"	"ANTHODOR"	"BRIZMEDI"	"BROMHORD"	"CAPSBURS"	"CAREFLAC"	"CAREHIRT"	"CARENIGR"	"CENTJACE"	"CERAARVE"	"CERAGLOM"	"CIRSARVE"	"CYNOCRIS"	"DAUCCARO"	"DESCCESP.CES"	"EQUIPALU"	"FESTOVIN"	"FESTPRAT"	"FESTRUBR"	"GALIMOLL"	"GALIULIG"	"HIERACIU"	"HOLCLANA"	"HYDRVULG"	"LEONAUTU"	"LOLIPERE"	"LOTUULIG"	"LUZUCAMP"	"MATRMARI.INO"	"MOLICAER"	"PHRAAUST"	"PLANLANC"	"POA_ANNU"	"POTEANSE"	"POTEEREC"	"POTEREPT"	"RANUACRI"	"RANUREPE"	"RUBUIDAE"	"RUMEACETOSEL"	"SENEJACO"	"STELGRAM"	"TRIFARVE"	"TRIFPRAT"	"TRIFREPE"	"VEROARVE"	"VEROCHAM"	"VICICRAC"	"VIOLTRIC"
"GE.MNP_1"	10	11	0	0	0.9	1.2	0	0	0	0	21	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0.9	0	0	5.8	0	0	0	0	0	4	0	2.4	0
"GE.MNP_10"	0	0.6	0	0	45	2.4	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7.8	0	0	0	0	0	0	0	0	0
"GE.MNP_11"	24	0.3	0.3	0	0	0	0	1	0	2.4	0	4.8	0.3	0.3	0	0	0	0	0	6.8	0	0	0	0	0	0	0	0	8.2	0	0	0	5.5	0.7	0	0	11	0	0	0	3.4	0	1.7	0	5.1	1.7	1.7	0	0	0
"GE.MNP_12"	0.7	1.3	0.7	0	0	0	0	2.6	0	1.3	0	0.7	1.3	1.3	0.7	0	0	12	0.7	2.6	0	0	0	12	0	11	11	0	0	0	0	0	8.6	0	0	0	30	0	0.7	0	0	0	0	0	0	0	0	0	0.7	0
"GE.MNP_13"	0	0	0	0	0	0	0	2.3	0	0	0	5.7	11	0	0	4	0.6	17	2.3	18	0	0	0	0	0	2.3	0	4	0	0	0	0	0	0	0	0	1.1	6.3	13	0	0	0	0	0	1.1	2.9	0	0	5.7	0
"GE.MNP_14"	14	8.5	0	0	2.1	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	5.3	0	0	15	0	8	0	0	0	0	0	16	0	1.1	0	5.9	0
"GE.MNP_15"	9.3	0	0	0	0	0	0	1.4	0	0	0	0	2.8	0	0	0	0	13	7.9	1.4	7	0	0	6	0	0	13	0	0	0	0	0	6.5	0	3.7	0	7	0	0	0	0	0	0	0	0	1.4	7.9	0	0.5	0
"GE.MNP_17"	20	1.2	3.5	0	0	0	0	2.9	0	0	0	1.2	0.6	0	0	0	0	26	0.6	0	0	0	0	0	0	9.3	0	0	9.9	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	9.9	0	0
"GE.MNP_18"	0	0	0.6	0	0	0	3	4.8	0	0	0	0	1.2	0	0	0	0	7.8	0	0	0	11	0	1.8	0	0	0	0	0	0	0	0	0	0	0	1.8	3	0.6	0	0	0	0	1.2	0	41	0	0	0	4.2	0
"GE.MNP_19"	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	3.9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	1	0	0	0	0	0	0	0
