"Polycarpic"	"Cnratio"	"seed.mass.log"	"SLA"	"height"	"Onset.flower"
"ACHIMILL"	"1"	12.94	-0.876	19.63	21.15	178
"AGROCAPI"	"1"	17.421	-1.444	29.54	21.017	167
"ANTHODOR"	"1"	13.778	-0.678	29.97	14.967	170
"BRIZMEDI"	"1"	33.69	-0.578	25.93	20.167	163
"BROMHORD"	"0"	16.183	0.305	26.19	12.367	160
"CAPSBURS"	"0"	11.624	-0.996	24.94	15.267	198
"CAREFLAC"	"1"	39.176	-0.135	14.43	28.65	177
"CAREHIRT"	"1"	18.193	0.348	20.56	19.8	164
"CARENIGR"	"1"	32.917	-0.167	21.4	15.667	177
"CENTJACE"	"1"	18.683	0.255	16.62	23.1	192
"CERAARVE"	"1"	16.114	-0.81	24.26	3.4	100
"CERAGLOM"	"0"	21.355	-1.066	20.18	8.3	178
"CIRSARVE"	"1"	26.133	-0.073	10.12	56.225	177
"CYNOCRIS"	"1"	19.902	-0.384	21.65	14.25	164
"DAUCCARO"	"1"	14.024	-0.085	22.73	18.6	160
"DESCCESP.CES"	"1"	20.791	-0.616	14.37	39.35	190
"EQUIPALU"	"1"	13.8	-3	8	36.867	178
"FESTOVIN"	"1"	27.175	-0.149	13.84	16.417	183
"FESTPRAT"	"1"	12.809	0.159	22.57	38.3	172
"FESTRUBR"	"1"	23.679	-0.235	18.6	8	178
"GALIMOLL"	"1"	17.856	-0.372	21.11	46.05	130
"GALIULIG"	"1"	27.043	-0.772	29.63	16.7	165
"HIERACIU"	"1"	24.123	-0.377	32.35	16.8	160
"HOLCLANA"	"1"	16.803	-0.333	29.43	23.375	167
"HYDRVULG"	"1"	16.045	-0.62	33.77	7.3	178
"LEONAUTU"	"1"	18.093	-0.554	25.18	7.667	197
"LOLIPERE"	"1"	14.972	0.132	25.93	13.9	156
"LOTUULIG"	"1"	14.871	-0.311	25.13	11.4	164
"LUZUCAMP"	"1"	15.258	-0.298	27.75	3.825	100
"MATRMARI.INO"	"0"	18.446	-0.896	22.2	18.7	175
"MOLICAER"	"1"	30.106	-0.572	18.72	48.7	190
"PHRAAUST"	"1"	16.219	-0.921	12.31	37.9	193
"PLANLANC"	"1"	27.024	-0.021	25.48	11.767	170
"POA_ANNU"	"0"	6.944	-0.585	44.75	5.267	100
"POTEANSE"	"1"	17.454	-0.156	22.36	6.55	170
"POTEEREC"	"1"	29.058	-0.545	23.15	13.4	177
"POTEREPT"	"1"	16.799	-0.495	26.34	4.85	167
"RANUACRI"	"1"	10.516	-0.199	21.75	18.25	161
"RANUREPE"	"1"	18.188	0.258	23.07	5.033	164
"RUBUIDAE"	"1"	33.269	0.061	24.86	62.1	176
"RUMEACETOSEL"	"1"	14.223	-0.562	27.52	13.35	162
"SENEJACO"	"1"	25.818	-0.523	21.07	30	190
"STELGRAM"	"1"	15.652	-0.724	30.81	17.9	177
"TRIFARVE"	"0"	21.075	0.492	19.81	10.65	170
"TRIFPRAT"	"1"	15.536	0.036	19.68	18.9	166
"TRIFREPE"	"1"	11.964	-0.463	28.18	5.967	165
"VEROARVE"	"0"	17.495	-1.119	37.44	8.833	110
"VEROCHAM"	"1"	22.275	-0.777	30.84	9.55	178
"VICICRAC"	"1"	9.444	1.089	28.49	27.4	175
"VIOLTRIC"	"0"	21.164	-0.338	30.97	7.4	110
