species	veget	PH	TLA	SM	SLA	SLS	LH	P	LS	CGO	BB.D	BB.S
Achillea_millefolium_agg.	3	0.39775	411	0.07	18.93520758	2	pc	4	0.142569444	4.75	5.741935484	22.14285714
Achillea_nobilis	4	0.4	NA	0.068	NA	2	pc	3.5	0.09875	3.375	8.920353982	37.66666667
Achillea_ptarmica	4	0.7775	119	0.15325	16.29580749	1	pc	4	0.13	6	4.75	20
Aconitum_plicatum	1	0.8125	5535.625	4.425	21.11	1	pc	1	0.005	1	3.5	10
Agrimonia_eupatoria	3	0.331666667	8461	4.23	18.45	1	pc	4	0.03	1	4.75	20
Agrostis_stolonifera	4	0.45	365.6666667	0.039533333	31.41948575	2	pc	1.75	0.13	5	2	6.25
Allium_flavum	1	0.4	NA	NA	NA	1	pc	1	0.005	1	6	5
Allium_schoenoprasum	3	0.32	556	0.8868	8.85	2	pc	4	0.005	2.5	6	5
Anthemis_tinctoria	1	0.3775	618.0833333	NA	17.04639481	1	pnc	NA	NA	NA	4.75	20
Aphanes_arvensis	1	0.0875	38	0.161666667	17.7	1	a	NA	NA	NA	1	5
Asparagus_officinalis	3	0.9	27.335	18.980175	10.955	1	pc	4	0.13	2.666666665	4.214285715	23.33333333
Asplenium_trichomanes	2	0.135	NA	NA	NA	NA	pc	2	0.005	0.5	3.5	10
Aster_alpinus	4	0.0675	NA	NA	NA	2	pc	4	0.0675	3.5	4.75	20
Astragalus_glycyphyllos	1	0.5775	2720.5	5.29716	25.708	1	pnc	NA	NA	NA	4	25
Avenula_planiculmis	3	0.95	NA	NA	NA	NA	pnc	NA	NA	NA	NA	NA
Barbarea_stricta	1	0.601875	712	0.425	43.97	2	pnc	NA	NA	NA	9.142857143	35
Bistorta_major	4	0.381666667	18021	NA	24.69333333	1	pc	4	0.051875	0.5	4.75	20
Blysmus_compressus	5	0.25	221.75	0.590333333	14.1	2	pc	4	0.0675	1	4.75	20
Bromus_erectus	4	0.5	753.8	4.173333334	17.06287231	2	pc	4	0.005	1	4.75	20
Bromus_inermis	4	0.4775	2796	1.96	21.9325	2	pc	3.6	0.08	3	4.5	16.66666667
Calamagrostis_epigejos	5	1	4994.5	0.064	13.0475349	2	pc	4	0.0675	1.750000001	6.8	25
Campanula_bononiensis	1	0.6	NA	NA	NA	2	pc	4	0.005	1	4.75	20
Carex_bohemica	2	0.19	NA	0.2325	NA	2	NA	2.5	0.005	6	4	12.5
Carex_flava	3	0.5	331	1.001625	21.98	2	pc	4	0.005	6	4.75	20
Carex_otrubae	3	0.5	2344	1.08	18.3	2	pc	4	0.005	6	4.75	20
Carex_pendula	2	0.5	12540	0.68734	13.3	2	pc	4	0.005	6	4.75	20
Carex_umbrosa	3	0.3275	505	0.483	21.31	2	pc	4	0.005	3.5	4.75	20
Carex_vulpina	3	0.6	1607.375	0.8245	20.0244613	2	pc	4	0.005	3.5	4.75	20
Centaurea_phrygia_s.lat.	1	0.6	4830.065	NA	30.74	1	pc	3	0.005	1	4.75	20
Chamaecytisus_albus	1	0.4	NA	NA	NA	NA	pnc	NA	NA	NA	NA	NA
Cirsium_pannonicum	3	0.7	NA	2.13	NA	2	pc	4	0.13	3.5	4.75	20
Clematis_recta	1	0.6775	NA	9.38	NA	1	pc	4	0.005	2.666666665	4.75	20
Cnidium_dubium	1	0.4775	2194.625	1.264	23.2	2	pnc	NA	NA	NA	9.203883495	34.33333333
Colchicum_autumnale	3	0.2275	5411.05	5.75	21.91	2	pc	1.5	0.005	2.357142858	12	5
Coronilla_vaginalis	1	0.0675	451.75	0.104	17.62	1	pnc	NA	NA	NA	4.125	13.33333333
