Plots	vegbelt	grazing	moisture.index
1nograz.1	1	0	0.39
1nograz.2	1	0	0.39
1nograz.3	1	0	0.39
1nograz.4	1	0	0.39
1highgraz.1	1	2	0.39
1highgraz.2	1	2	0.39
1highgraz.3	1	2	0.39
1highgraz.4	1	2	0.39
1littlegraz.1	1	1	0.39
1littlegraz.2	1	1	0.39
1littlegraz.3	1	1	0.39
1littlegraz.4	1	1	0.39
2nograz.1	2	0	0.5
2nograz.2	2	0	0.5
2nograz.3	2	0	0.5
2nograz.4	2	0	0.5
2highgraz.1	2	2	0.5
2highgraz.2	2	2	0.5
2highgraz.3	2	2	0.5
2highgraz.4	2	2	0.5
2littlegraz.1	2	1	0.5
2littlegraz.2	2	1	0.5
2littlegraz.3	2	1	0.5
2littlegraz.4	2	1	0.5
3nograz.1	3	0	0.72
3nograz.2	3	0	0.72
3nograz.3	3	0	0.72
3nograz.4	3	0	0.72
3highgraz.1	3	2	0.72
3highgraz.2	3	2	0.72
3highgraz.3	3	2	0.72
3highgraz.4	3	2	0.72
3littlegraz.1	3	1	0.72
3littlegraz.2	3	1	0.72
3littlegraz.3	3	1	0.72
3littlegraz.4	3	1	0.72
4nograz.1	4	0	1.34
4nograz.2	4	0	1.34
4nograz.3	4	0	1.34
4nograz.4	4	0	1.34
4highgraz.1	4	2	1.34
4highgraz.2	4	2	1.34
4highgraz.3	4	2	1.34
4highgraz.4	4	2	1.34
4littlegraz.1	4	1	1.34
4littlegraz.2	4	1	1.34
4littlegraz.3	4	1	1.34
4littlegraz.4	4	1	1.34
5nograz.1	5	0	2.05
5nograz.2	5	0	2.05
5nograz.3	5	0	2.05
5nograz.4	5	0	2.05
5highgraz.1	5	2	2.05
5highgraz.2	5	2	2.05
5highgraz.3	5	2	2.05
5highgraz.4	5	2	2.05
5littlegraz.1	5	1	2.05
5littlegraz.2	5	1	2.05
5littlegraz.3	5	1	2.05
5littlegraz.4	5	1	2.05
