species	1nograz.1	1nograz.2	1nograz.3	1nograz.4	1highgraz.1	1highgraz.2	1highgraz.3	1highgraz.4	1littlegraz.1	1littlegraz.2	1littlegraz.3	1littlegraz.4	2nograz.1	2nograz.2	2nograz.3	2nograz.4	2highgraz.1	2highgraz.2	2highgraz.3	2highgraz.4	2littlegraz.1	2littlegraz.2	2littlegraz.3	2littlegraz.4	3nograz.1	3nograz.2	3nograz.3	3nograz.4	3highgraz.1	3highgraz.2	3highgraz.3	3highgraz.4	3littlegraz.1	3littlegraz.2	3littlegraz.3	3littlegraz.4	4nograz.1	4nograz.2	4nograz.3	4nograz.4	4highgraz.1	4highgraz.2	4highgraz.3	4highgraz.4	4littlegraz.1	4littlegraz.2	4littlegraz.3	4littlegraz.4	5nograz.1	5nograz.2	5nograz.3	5nograz.4	5highgraz.1	5highgraz.2	5highgraz.3	5highgraz.4	5littlegraz.1	5littlegraz.2	5littlegraz.3	5littlegraz.4
Acercamp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achimill	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	46	56	47	2	3	2	2	0
Aegigeni	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	21	90	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alchhybr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	10	0	0	0	0	0
Anemhepa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	91	89	0	5	0	0	0	0	90	73	0	0	62	0	28	0	1	0	0	0	73	38	0	8
Anthmont	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphymons	0	0	0	0	0	0	0	0	0	0	0	0	43	88	0	0	0	0	0	0	0	39	0	0	0	3	2	0	0	49	41	12	7	88	61	70	0	0	1	1	0	0	10	67	0	0	91	69	0	0	0	0	0	0	0	0	0	0	0	0
Arengran	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	33	5	11	0	0	0	0	57	0	0	4
Argyzano	0	0	12	0	0	0	4	13	0	0	0	0	0	0	5	32	0	0	0	0	0	13	2	0	0	0	0	0	0	0	61	0	1	1	4	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atracanc	0	0	0	0	0	0	14	0	0	0	0	0	0	0	5	10	0	0	49	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atrahumi	0	0	0	0	1	0	18	13	0	0	0	0	0	0	11	16	35	43	8	0	1	75	29	5	0	0	0	0	0	0	20	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avenbrom	0	0	0	0	0	0	0	0	0	0	0	0	36	79	8	13	0	0	0	0	28	54	0	0	0	0	0	0	32	15	45	7	21	55	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bisclaev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	15	1	0	0	0	0	2	32	31	92	29	3	0	0	0	0	0	0	0	0
Bracdist	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	98	0	0	0	0	6	0	0	0	0	0	0	7	0	14	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bracphoe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	65	0	0	58	19	0	0	0	96	0	69	0	0	45	51	3	28	50	89	0	0	76	50	0	0	0	0	0	0	0	0	0	0	0	0
Bracretu	26	57	74	11	35	31	51	1	55	0	16	9	87	100	87	86	57	0	1	41	100	100	83	38	88	0	95	81	0	0	34	97	99	26	96	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brizmedi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	39	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bromerec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	36	32	0	0	41	76	0	85	22	68	0	0	4	26	73	97	54	71	100	50	33	66
Buplfrut	0	0	0	0	0	0	0	0	0	0	0	0	27	97	0	0	0	0	0	0	33	0	0	0	0	0	89	20	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buplranu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	56	87	80	80	54	71	59	97
Buxusemp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	97	41	70	15	97	2	30	67	88	0	0	81	98	95	94	0	0	0	0	61	11	87	81	0	0	0	0	0	0	0	0	0	0	0	0
Carddefl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	47	0	0	7	20	0	0	1	1	21	9	27	75	0	21	12	5	22	36
Carexsp	71	85	8	9	35	52	0	0	48	12	0	0	77	91	0	0	0	0	0	0	41	0	0	0	86	65	17	33	98	59	100	80	74	87	76	95	45	70	87	84	0	0	88	100	73	95	94	97	71	55	85	93	96	94	92	99	44	75	56	96
Carlacau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	78	63	81	50	3	0	0	11
Carlvulg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	78	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centlini	4	10	0	5	17	15	0	0	12	8	0	0	0	31	0	0	0	0	0	0	17	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
