species	GrowhtForm	LEG	SLA	LF_Th	LF_G	LF_H	LF_hCh	LF_wCh	LF_NP	LF_P
Acercamp	shrub	0	15.7	0	0	0	0	0	0	1
Achimill	forb	0	14.6	0	0	0.5	0.5	0	0	0
Aegigeni	grass	0	15.2	1	0	0	0	0	0	0
Alchhybr	forb	0	19	0	0	1	0	0	0	0
Anemhepa	forb	0	12.9	0	0	1	0	0	0	0
Anthmont	forb	1	13.5	0	0	1	0	0	0	0
Aphymons	forb	0	7.7	0	0	1	0	0	0	0
Arengran	subshrub	0	14.3	0	0	0	1	0	0	0
Argyzano	subshrub	1	13.5	0	0	0	0	1	0	0
Atracanc	forb	0	13.5	1	0	0	0	0	0	0
Atrahumi	subshrub	0	8.8	0	0	0	0	1	0	0
Avenbrom	grass	0	14.4	0	0	1	0	0	0	0
Bisclaev	forb	0	13.1	0	0	0	0.5	0.5	0	0
Bracdist	grass	0	34.9	1	0	0	0	0	0	0
Bracphoe	grass	0	8.2	0	0	1	0	0	0	0
Bracretu	grass	0	8.1	0	0	1	0	0	0	0
Brizmedi	grass	0	12.6	0	0	1	0	0	0	0
Bromerec	grass	0	7.1	0	0	1	0	0	0	0
Buplfrut	shrub	0	8.9	0	0	0	0	0	1	0
Buplranu	forb	0	20.9	0	0	1	0	0	0	0
Buxusemp	shrub	0	5.4	0	0	0	0	0	0	1
Carddefl	forb	0	8.4	0	0	1	0	0	0	0
Carexsp	forb	0	14.3	0	0	1	0	0	0	0
Carlacau	forb	0	6.9	0	0	1	0	0	0	0
Carlvulg	forb	0	12.9	0	0	1	0	0	0	0
Centlini	forb	0	14.1	0	0	0	1	0	0	0
Cerapumi	forb	0	20.8	1	0	0	0	0	0	0
Cistclus	shrub	0	6.7	0	0	0	0	0	1	0
Coromini	subshrub	1	11.8	0	0	0	0	1	0	0
Cratmono	shrub	0	12.7	0	0	0	0	0	0	1
Dactglom	grass	0	14.2	0	0	1	0	0	0	0
Dianhyss	subshrub	0	16.3	0	0	0	0	1	0	0
Dorypent	subshrub	1	18.2	0	0	0	0	0.5	0.5	0
Echiritr	forb	0	9.3	0	0	1	0	0	0	0
Ephefrag	shrub	0	5.2	0	0	0	0	0	1	0
Erucnast	forb	0	9.3	0	0	0	1	0	0	0
