"Ana_cla" "Ant_arv" "Ant_cor" "Bel_tri" "Bis_pel" "Bro_hor" "Bro_rub" "Cha_mix" "Cre_tar" "Dac_glo" "Ech_pla" "Ery_cam" "Hor_mur" "Leo_tar" "Med_sat" "Nea_apu" "Orn_com" "Pet_nan" "Pla_cor" "Pla_lag" "Psi_inc" "Sis_cav" "Spe_pur" "Tol_bar" "Tri_che" "Tri_glo" "Tri_pan" "Tri_str" "Tri_tom" "Vul_cil"
"1" 0 0 0 0 0 0 0 0 0 0.253424658 0 0 0 0 0 0 0 0 0 0.116438356 0 0 0 0.116438356 0.51369863 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0 0 0 0.0545454548909091 0 0 0.0545454548909091 0 0 0 0 0 0.681818180636364 0 0 0 0.0545454548909091 0.154545454690909 0 0 0 0 0
"10" 0 0 0 0 0.280303030560606 0 0 0.0454545450909091 0 0 0 0 0 0 0 0 0 0.0454545450909091 0.128787879257576 0.280303030560606 0 0 0.0454545450909091 0.0454545450909091 0 0 0 0 0.128787879257576 0
"14" 0.17 0 0.06 0 0.17 0 0 0 0 0 0.17 0 0 0 0 0 0 0 0 0.37 0 0 0 0 0.06 0 0 0 0 0
"18" 0 0.0999999998 0 0 0 0 0 0 0 0.217647058564706 0.0999999998 0 0 0 0 0 0 0 0 0.0352941179294118 0.0352941179294118 0 0 0 0.441176470117647 0 0.0352941179294118 0 0 0.0352941179294118
"23" 0 0 0 0 0.245033113 0 0 0 0.112582781 0 0 0.245033113 0 0 0 0 0 0 0 0.112582781 0 0 0 0 0.245033113 0.039735099 0 0 0 0
"27" 0 0 0 0 0 0.175257732 0.175257732 0 0 0 0.175257732 0 0.175257732 0 0 0 0 0 0 0.175257732 0 0.06185567 0 0 0 0 0 0.06185567 0 0
"31" 0 0.051724138 0 0 0.051724138 0 0.146551724 0 0 0 0 0 0 0 0.646551724 0 0 0 0 0.051724138 0 0 0 0 0.051724138 0 0 0 0 0
"36" 0 0.304878049 0 0 0.069105691 0 0 0 0 0 0 0 0 0 0 0.024390244 0.024390244 0 0 0.069105691 0 0 0 0 0.508130081 0 0 0 0 0
"40" 0 0.10119047610119 0 0.10119047610119 0.0357142860357143 0 0 0 0 0 0.220238095220238 0 0.10119047610119 0 0 0 0 0 0 0.220238095220238 0 0 0 0 0.220238095220238 0 0 0 0 0
