"Plot" "Species" "Height" "SLA"
"1" 1 "Dac_glo" 14 13.09672387
"2" 1 "Dac_glo" 16 20.214326
"3" 1 "Dac_glo" 12 28.2424812
"4" 1 "Dac_glo" 12 22.28855721
"5" 1 "Dac_glo" 10 24.14670659
"6" 1 "Dac_glo" 14 26.23737374
"7" 1 "Dac_glo" 9 25.2853598
"8" 1 "Dac_glo" 12 22.41847826
"9" 1 "Dac_glo" 16 24.64330413
"10" 1 "Dac_glo" 8 18.25628548
"11" 1 "Pla_lag" 4 14.65208748
"12" 1 "Pla_lag" 4.2 15.64516129
"13" 1 "Pla_lag" 2 16.93238043
"14" 1 "Pla_lag" 4.4 17.1409396
"15" 1 "Pla_lag" 4.6 15.46829971
"16" 1 "Pla_lag" 3.2 14.09682081
"17" 1 "Pla_lag" 3.6 14.90196078
"18" 1 "Pla_lag" 4 20.4432133
"19" 1 "Pla_lag" 3.8 16.79699248
"20" 1 "Pla_lag" 4.4 15.57640751
"21" 1 "Tol_bar" 6.5 27.00808625
"22" 1 "Tol_bar" 8 26.70771757
"23" 1 "Tol_bar" 6.1 17.48637602
"24" 1 "Tol_bar" 4.3 32.72727273
"25" 1 "Tol_bar" 4.8 20.68965517
"26" 1 "Tol_bar" 3.5 21.87615527
"27" 1 "Tol_bar" 3.5 20.97014925
"28" 1 "Tol_bar" 4.5 18.26315789
"29" 1 "Tol_bar" 5.2 25.5362776
"30" 1 "Tol_bar" 6.5 25
"31" 1 "Tri_che" 4 19.82550336
"32" 1 "Tri_che" 5.5 21.59090909
"33" 1 "Tri_che" 2.9 21.05417277
"34" 1 "Tri_che" 3.1 16.65594855
"35" 1 "Tri_che" 3 22.51655629
"36" 1 "Tri_che" 5 23.47457627
"37" 1 "Tri_che" 2.7 20.27314112
"38" 1 "Tri_che" 2.1 21.43776824
"39" 1 "Tri_che" 3.5 21.13259669
"40" 1 "Tri_che" 3.4 20.42253521
"170" 5 "Ech_pla" 6.2 16.52980132
"171" 5 "Ech_pla" 13 15.15970516
"172" 5 "Ech_pla" 7 18.73115578
"173" 5 "Ech_pla" 16 12.20122574
"174" 5 "Ech_pla" 8 14.32640493
"175" 5 "Ech_pla" 12 17.4291939
"176" 5 "Ech_pla" 18 12.69170579
"177" 5 "Ech_pla" 10 13.29575597
"178" 5 "Ech_pla" 15 11.7001229
"179" 5 "Ech_pla" 9 16.13877551
"180" 5 "Leo_tar" 2.4 23.77291543
"181" 5 "Leo_tar" 3.1 26.89029918
