"Grazing" "Productivity"
"NS001" 4 "Low"
"NS002" 4 "Low"
"NS003" 4 "Low"
"NS004" 4 "Low"
"NS005" 4 "Low"
"NS006" 4 "Low"
"NS007" 4 "Low"
"NS008" 4 "Low"
"PES001" 1 "Low"
"PES002" 1 "Low"
"PES003" 1 "Low"
"PES004" 1 "Low"
"PES005" 1 "Low"
"PES006" 1 "Low"
"PES007" 1 "Low"
"PES008" 1 "Low"
"PES009" 1 "Low"
"CS001" 2 "Low"
"CS002" 2 "Low"
"CS003" 2 "Low"
"CS004" 2 "Low"
"CS005" 2 "Low"
"CS006" 2 "Low"
"CS007" 2 "Low"
"CS008" 2 "Low"
"PEH001" 1 "High"
"PEH002" 1 "High"
"PEH003" 1 "High"
"PEH004" 1 "High"
"PEH005" 1 "High"
"PEH006" 1 "High"
"PEH007" 1 "High"
"PEH008" 1 "High"
"PEH009" 1 "High"
"CH001" 2 "High"
"CH002" 2 "High"
"CH003" 2 "High"
"CH004" 2 "High"
"CH005" 2 "High"
"CH006" 2 "High"
"CH007" 2 "High"
"CH008" 2 "High"
"MOH001" 3 "High"
"MOH002" 3 "High"
"MOH003" 3 "High"
"MOH004" 3 "High"
"MOH005" 3 "High"
"MOH006" 3 "High"
"MOH007" 3 "High"
"MOH008" 3 "High"
"NH001" 4 "High"
"NH002" 4 "High"
"NH003" 4 "High"
"NH004" 4 "High"
"NH005" 4 "High"
"NH006" 4 "High"
"NH007" 4 "High"
"NH008" 4 "High"
"MOS001" 3 "Low"
"MOS002" 3 "Low"
"MOS003" 3 "Low"
"MOS004" 3 "Low"
"MOS005" 3 "Low"
"MOS006" 3 "Low"
"MOS007" 3 "Low"
"MOS008" 3 "Low"
"MOS009" 3 "Low"
