"Agrostis_castellana" "Agrostis_pourretii" "Aira_cupaniana" "Alopecurus_arundinaceus" "Alopecurus_geniculatus" "Alyssum_granatense" "Andryala_integrifolia" "Anthemis_arvensis" "Anthoxanthum_aristatum" "Anthoxanthum_ovatum" "Aphanes_microcarpa" "Arrhenatherum_album" "Asterolinon_linum.stellatum" "Astragalus_pelecinus" "Avena_barbata" "Bellis_perennis" "Brassica_barrelieri" "Briza_minor" "Bromus_hordeaceus" "Bromus_tectorum" "Capsella_bursa.pastoris" "Carex_divisa" "Carum_verticillatum" "Centaurea_collina" "Centranthus_calcitrapae" "Cerastium_glomeratum" "Cerastium_pentandrum" "Cerastium_semidecandrum" "Chamaemelum_nobile" "Convolvulus_arvensis" "Coronilla_repanda" "Crassula_tillaea" "Crepis_capillaris" "Crepis_vesicaria" "Cynodon_dactylon" "Cynosurus_cristatus" "Cytisus_scoparius" "Dactylis_glomerata" "Daucus_carota" "Dipcadi_serotinum" "Echium_plantagineum" "Erodium_botrys" "Erodium_ciconium" "Erodium_cicutarium" "Eryngium_campestre" "Euphorbia_exigua" "Festuca_ampla" "Festuca_rothmalierii" "Filago_pyramidata" "Galium_parissiense" "Gaudinia_fragilis" "Geranium_molle" "Halimium_umbellatum" "Helianthemum_aegyptiacum" "Herniaria_glabra" "Herniaria_hirsuta" "Hieracium_pilosella" "Holcus_lanatus" "Holcus_setiglumis" "Hordeum_marinum" "Hymenocarpos_lotoides" "Hypericum_perforatum" "Hypochaeris_glabra" "Hypochaeris_radicata" "Isolepis_setacea" "Jasione_montana" "Juncus_bufonius" "Juncus_capitatus" "Juncus_squarrosus" "Lathyrus_angulatus" "Lavandula_stoechas" "Leontodon_taraxacoides" "Leontodon_tuberosus" "Linaria_spartea" "Linum_bienne" "Logfia_gallica" "Logfia_minima" "Lotus_corniculatus" "Lupinus_hispanicus" "Mentha_pulegium" "Merendera_bulbocodium" "Merendera_filifolia" "Merendera_pyrenaica" "Mibora_minima" "Micropyrum_tenellum" "Moenchia_erecta" "Montia_fontana" "Muscari_comosum" "Nardus_stricta" "Ornithopus_compressus" "Ornithopus_perpusillus" "Parentucellia_latifolia" "Petrorhagia_prolifera" "Plantago_bellardii" "Plantago_coronopus" "Plantago_lagopus" "Plantago_lanceolata" "Plantago_loeflingii" "Poa_annua" "Poa_bulbosa" "Poa_infirma" "Ranunculus_bulbosus" "Ranunculus_paludosus" "Ranunculus_trilobus" "Ranunculus_tuberosus" "Romulea_bulbocodium" "Rumex_acetosella" "Rumex_acetosella_ssp_angiocarpus" "Rumex_bucephalophorus" "Sanguisorba_officinalis" "Scleranthus_annuus" "Scleranthus_delorti" "Senecio_jacobaea" "Serapias_lingua" "Sherardia_arvensis" "Silene_gallica" "Silene_scabriflora" "Sisymbrium_officinale" "Spergula_arvensis" "Spergula_pentandra" "Spergularia_purpurea" "Spergularia_rubra" "Stellaria_media" "Stipa_lagascae" "Teesdalia_coronopifolia" "Thapsia_villosa" "Tolpis_barbata" "Trifolium_arvense" "Trifolium_campestre" "Trifolium_cernuum" "Trifolium_cherleri" "Trifolium_dubium" "Trifolium_gemellum" "Trifolium_glomeratum" "Trifolium_micranthum" "Trifolium_ornithopodioides" "Trifolium_repens" "Trifolium_resupinatum" "Trifolium_striatum" "Trifolium_strictum" "Trifolium_subterraneum" "Trifolium_suffocatum" "Veronica_arvensis" "Vicia_lathyroides" "Vulpia_ciliata" "Vulpia_m" "Xolantha_guttata"
"NS001" 0 0 0 0 0 0 0 0.160714285714286 0 0 0.00510204081632653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00510204081632653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0331632653061225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0663265306122449 0.0331632653061225 0 0 0 0.477040816326531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0433673469387755 0 0 0 0 0 0 0 0 0 0 0.038265306122449 0 0 0 0.0102040816326531 0 0 0 0 0 0 0 0 0 0 0 0.127551020408163 0
"NS002" 0 0 0 0 0 0 0 0 0 0 0.0260336906584992 0 0 0.0199081163859112 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00612557427258806 0 0 0 0.00306278713629403 0 0 0 0 0 0 0 0.00306278713629403 0 0 0.0229709035222052 0 0 0 0 0 0 0 0 0 0 0.0199081163859112 0 0.00306278713629403 0 0 0 0 0 0 0.0398162327718224 0 0 0 0 0 0 0 0 0.0229709035222052 0 0 0 0 0.00612557427258806 0 0 0 0 0 0 0 0 0 0 0 0 0.00612557427258806 0 0 0 0 0.0428790199081164 0 0 0 0 0.57427258805513 0 0 0 0.00306278713629403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00918836140888208 0 0.00306278713629403 0.00306278713629403 0 0 0.00306278713629403 0 0 0 0 0 0 0 0 0.00918836140888208 0 0 0 0 0 0 0 0 0 0 0.0199081163859112 0.0765696784073507 0.0765696784073507
"NS003" 0 0 0 0 0 0 0 0.00557103064066852 0 0 0 0 0 0.00278551532033426 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00278551532033426 0 0 0 0.00278551532033426 0 0.0181058495821727 0.0515320334261838 0 0 0 0 0.00278551532033426 0 0 0 0.020891364902507 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0236768802228412 0 0 0 0 0 0 0 0 0.0181058495821727 0 0 0 0 0.00278551532033426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0877437325905292 0.0181058495821727 0 0 0 0.626740947075209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00557103064066852 0 0.020891364902507 0 0 0 0 0 0 0 0 0 0 0 0 0.00278551532033426 0 0 0 0 0 0 0.0181058495821727 0 0.00557103064066852 0 0 0.00835654596100279 0.0543175487465181
"NS004" 0 0 0 0 0 0 0 0.0106194690265487 0 0 0 0 0 0 0 0 0 0 0.0265486725663717 0 0.0654867256637168 0 0 0 0 0 0 0 0 0 0 0.00353982300884956 0.00353982300884956 0 0 0 0 0 0 0 0 0 0 0.0654867256637168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0265486725663717 0 0 0 0 0 0 0 0 0.0265486725663717 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00353982300884956 0 0 0 0 0 0 0.00353982300884956 0 0.0300884955752212 0.0725663716814159 0 0.00707964601769911 0 0.59646017699115 0 0 0 0 0 0 0 0 0 0 0.00353982300884956 0 0 0 0 0 0 0 0.00707964601769911 0 0.0230088495575221 0 0 0 0 0 0 0 0 0 0 0 0 0.00353982300884956 0 0 0 0 0 0 0.0106194690265487 0.00353982300884956 0 0 0 0.00707964601769911 0
"NS005" 0 0 0 0 0 0 0 0.0572687224669604 0 0 0.00293685756240822 0 0 0.0190895741556534 0 0 0 0 0.0190895741556534 0 0 0 0 0 0 0 0 0.00293685756240822 0 0 0 0 0 0 0 0 0 0 0 0.00293685756240822 0 0 0 0.0190895741556534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00293685756240822 0 0 0 0 0 0 0 0 0.0249632892804699 0 0 0 0 0 0 0 0 0.00293685756240822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.127753303964758 0 0.00881057268722467 0 0.66079295154185 0 0 0 0 0 0 0 0.00293685756240822 0 0 0 0 0 0 0 0 0 0 0.00293685756240822 0 0.00587371512481645 0 0 0 0 0 0 0 0 0 0 0 0 0.00293685756240822 0 0 0 0 0 0 0.00293685756240822 0 0 0 0.00293685756240822 0.0249632892804699 0.00293685756240822
"NS006" 0 0 0 0 0 0 0 0.0260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0 0 0 0.0225694444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0260416666666667 0 0 0 0 0 0 0 0 0.0486111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0.00347222222222222 0.0260416666666667 0 0.00347222222222222 0 0.651041666666667 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0 0 0 0.00347222222222222 0.00347222222222222 0.0260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.00347222222222222 0 0 0 0 0.0260416666666667 0 0.00694444444444444 0 0 0 0 0.0902777777777778 0.0225694444444444
"NS007" 0 0 0 0 0 0 0 0.00475059382422803 0 0 0.00950118764845606 0 0 0 0 0 0 0 0 0 0.00475059382422803 0 0 0 0 0 0 0 0 0 0 0.00475059382422803 0.0308788598574822 0.0878859857482185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00950118764845606 0 0 0 0 0 0 0 0 0.0617577197149644 0 0 0 0 0 0 0 0 0.00475059382422803 0 0 0 0 0 0 0 0 0.00475059382422803 0 0 0 0 0.00475059382422803 0.0356294536817102 0 0.00475059382422803 0 0.206650831353919 0 0 0 0 0 0 0 0.0878859857482185 0 0 0 0 0 0 0 0 0 0 0.0665083135391924 0 0 0 0 0 0 0 0 0 0 0 0.0308788598574822 0 0 0.0308788598574822 0 0 0 0 0 0 0.123515439429929 0.00475059382422803 0 0 0 0.149643705463183 0.0308788598574822
"NS008" 0 0 0 0 0 0 0 0.0065359477124183 0 0 0 0 0 0 0 0 0 0 0.00326797385620915 0 0 0 0 0 0 0 0 0 0 0 0 0.00326797385620915 0 0 0 0 0 0 0 0.00980392156862745 0 0 0 0.00326797385620915 0 0 0 0 0 0 0 0.00326797385620915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00326797385620915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0245098039215686 0 0 0.00326797385620915 0 0.735294117647059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00326797385620915 0 0.142156862745098 0 0 0 0 0 0 0 0 0 0 0 0 0.0065359477124183 0 0 0 0 0 0 0 0.0065359477124183 0 0 0 0.0457516339869281 0
"PES001" 0 0 0 0 0 0 0.0044543429844098 0 0 0 0 0.0044543429844098 0 0 0.253897550111359 0 0.0044543429844098 0 0.0044543429844098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0044543429844098 0 0 0 0 0 0 0 0 0.0089086859688196 0 0 0 0 0 0 0 0 0.0044543429844098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.697104677060134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0044543429844098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0044543429844098 0 0.0044543429844098 0
"PES002" 0 0 0 0 0 0.016597510373444 0 0 0 0 0 0 0.00829875518672199 0 0.215767634854772 0 0 0.00829875518672199 0 0 0 0 0 0 0 0 0 0 0 0 0.00829875518672199 0 0.00829875518672199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0539419087136929 0 0 0 0 0 0 0 0 0.0622406639004149 0 0 0 0 0 0 0 0 0.0539419087136929 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00829875518672199 0 0 0 0.0622406639004149 0.00829875518672199 0 0 0 0 0 0 0 0 0.116182572614108 0 0 0 0 0 0 0 0 0.0622406639004149 0 0 0 0 0 0 0 0.0622406639004149 0 0 0.016597510373444 0 0 0 0 0.024896265560166 0 0.016597510373444 0.00829875518672199 0 0 0.00829875518672199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.116182572614108 0.0539419087136929
