"Height" "SLA" "SeedMass"
"Agrostis_castellana" 60.46 8.69 0.264
"Agrostis_pourretii" 11.3 26.2 0.19
"Aira_cupaniana" 5 21.1 0.043
"Alopecurus_arundinaceus" 40 25.87 0.6
"Alopecurus_geniculatus" 30 23.23 0.29
"Alyssum_granatense" 6.05 17.76 0.628
"Andryala_integrifolia" 28.84 24.12 0.185
"Anthemis_arvensis" 9.06 22.63 0.722
"Anthoxanthum_aristatum" 27 31.22 0.4
"Anthoxanthum_ovatum" 30 30.08 0.4
"Aphanes_microcarpa" 2.85 44.23 0.131
"Arrhenatherum_album" 52.94 12.22 1.339
"Asterolinon_linum.stellatum" 4.56 47.27 0.29
"Astragalus_pelecinus" 4.85 18.74 1.09
"Avena_barbata" 27.48 10.43 3.585
"Bellis_perennis" 2.45 31.7 0.285
"Brassica_barrelieri" 2.37 28.75 0.736
"Briza_minor" 25 25.12 0.32
"Bromus_hordeaceus" 17.24 12.77 1.452
"Bromus_tectorum" 22.96 27.75 2.344
"Capsella_bursa.pastoris" 20.23 40.25 0.071
"Carex_divisa" 16.53 8.4 0.355
"Carum_verticillatum" 60 10 0.89
"Centaurea_collina" 37.95 7.66 0.104
"Centranthus_calcitrapae" 60 15 1
"Cerastium_glomeratum" 8.08 49.22 0.062
"Cerastium_pentandrum" 5 35 0.05
"Cerastium_semidecandrum" 1.24 36.08 0.039
"Chamaemelum_nobile" 10 25 0.1
"Convolvulus_arvensis" 80 25.8 0.35
"Coronilla_repanda" 8.52 17.03 0.611
"Crassula_tillaea" 1.64 38.38 0.011
"Crepis_capillaris" 11.72 51.29 0.182
"Crepis_vesicaria" 22 20.78 0.34
"Cynodon_dactylon" 3.06 16.76 0.097
"Cynosurus_cristatus" 75 22.52 0.5
"Cytisus_scoparius" 200 14.53 9
"Dactylis_glomerata" 69.67 9.41 0.37
"Daucus_carota" 100 21.7 0.6
"Dipcadi_serotinum" 10 15 1.55
"Echium_plantagineum" 5.31 18.88 2.488
"Erodium_botrys" 12 20 5.6
"Erodium_ciconium" 3.73 15.43 2.292
"Erodium_cicutarium" 4.13 25.74 1.445
"Eryngium_campestre" 21.07 4.3 0.655
"Euphorbia_exigua" 1.5 26 0.148
"Festuca_ampla" 41.86 6.34 0.91
"Festuca_rothmalierii" 50 19.18 0.8
"Filago_pyramidata" 30 30.77 0.05
"Galium_parissiense" 16.57 34.53 0.158
"Gaudinia_fragilis" 19.16 26.96 0.106
"Geranium_molle" 7.85 24.52 0.245
"Halimium_umbellatum" 70 10 1.5
"Helianthemum_aegyptiacum" 10.57 8.84 0.325
"Herniaria_glabra" 30 30.76 0.08
"Herniaria_hirsuta" 20 26.94 0.05
"Hieracium_pilosella" 4 20.24 0.2
"Holcus_lanatus" 50 25.03 0.3
"Holcus_setiglumis" 17.56 26.65 0.064
"Hordeum_marinum" 20 48.97 3
"Hymenocarpos_lotoides" 7.26 26.15 1.232
"Hypericum_perforatum" 100 28.52 0.2
"Hypochaeris_glabra" 1.89 19.18 0.778
"Hypochaeris_radicata" 5.66 13.67 0.655
"Isolepis_setacea" 15 20.41 0.08
"Jasione_montana" 20.46 26.07 0.012
"Juncus_bufonius" 6.31 35.66 0.029
"Juncus_capitatus" 3 10 0.02
"Juncus_squarrosus" 32.45 8.12 0.031
"Lathyrus_angulatus" 13.21 26.27 6.647
"Lavandula_stoechas" 75 15 0.8
"Leontodon_taraxacoides" 4.52 21.75 0.244
"Leontodon_tuberosus" 1.5 11.29 0.509
"Linaria_spartea" 55 10 0.02
"Linum_bienne" 10.75 25.73 1.4
"Logfia_gallica" 5.3 28.49 0.023
"Logfia_minima" 10.56 41.53 0.021
"Lotus_corniculatus" 170 27.58 1
"Lupinus_hispanicus" 17.58 17.61 32.74
"Mentha_pulegium" 18.88 45.05 0.5
"Merendera_bulbocodium" 5 10 2
"Merendera_filifolia" 5 15 2
"Merendera_pyrenaica" 5.82 13.22 2.04
"Mibora_minima" 1.44 45.73 0.097
"Micropyrum_tenellum" 10.67 23.59 0.546
"Moenchia_erecta" 1.21 31.05 0.041
"Montia_fontana" 4 90.56 0.19
"Muscari_comosum" 25 20 5.8
"Nardus_stricta" 22 9.44 0.4
"Ornithopus_compressus" 10.33 25.06 2.469
"Ornithopus_perpusillus" 12 25.75 0.5
"Parentucellia_latifolia" 10.71 28.61 0.018
"Petrorhagia_prolifera" 50 17.63 0.33
"Plantago_bellardii" 3.21 11 1.125
"Plantago_coronopus" 4.46 19.95 0.16
"Plantago_lagopus" 3.84 18.83 0.394
"Plantago_lanceolata" 7.63 12.72 0.81
"Plantago_loeflingii" 3 15 0.92
"Poa_annua" 3.87 30.35 0.153
"Poa_bulbosa" 3.69 31.99 0.081
"Poa_infirma" 3 30 0.25
"Ranunculus_bulbosus" 2.06 12.44 2.566
"Ranunculus_paludosus" 2 20 0.21
"Ranunculus_trilobus" 2 22 0.3
"Ranunculus_tuberosus" 2 40 2
"Romulea_bulbocodium" 8 25 3
"Rumex_acetosella" 12.88 13.79 0.364
"Rumex_acetosella_ssp_angiocarpus" 16.63 12.84 0.364
"Rumex_bucephalophorus" 14.11 56.37 1.14
"Sanguisorba_officinalis" 20 19.38 2.1
"Scleranthus_annuus" 2.26 13.13 0.304
"Scleranthus_delorti" 1 13 0.28
"Senecio_jacobaea" 70 17.74 0.192
"Serapias_lingua" 5 30 0.01
"Sherardia_arvensis" 40 20 1.56
"Silene_gallica" 45 34.5 0.34
"Silene_scabriflora" 11.07 23.13 0.316
"Sisymbrium_officinale" 4 26.72 0.29
"Spergula_arvensis" 1.62 33.15 0.162
"Spergula_pentandra" 1.03 34.99 0.136
"Spergularia_purpurea" 5.32 19.22 0.021
"Spergularia_rubra" 25 18.3 0.07
"Stellaria_media" 5 54.79 0.4
"Stipa_lagascae" 71.3 6.64 5.875
"Teesdalia_coronopifolia" 0.73 23.93 0.221
"Thapsia_villosa" 5 25 7.38
"Tolpis_barbata" 10.29 25.91 0.095
"Trifolium_arvense" 12.71 25.2 0.293
"Trifolium_campestre" 12.92 43.16 0.246
"Trifolium_cernuum" 4.91 25.93 0.244
"Trifolium_cherleri" 8.02 21.98 1.555
"Trifolium_dubium" 6.07 40.41 0.384
"Trifolium_gemellum" 5 30 0.5
"Trifolium_glomeratum" 7.17 31.87 0.453
"Trifolium_micranthum" 2.34 36.11 0.34
"Trifolium_ornithopodioides" 2 35 0.52
"Trifolium_repens" 12.4 25.08 0.6
"Trifolium_resupinatum" 30 32.39 1.4
"Trifolium_striatum" 7.62 25.92 1.565
"Trifolium_strictum" 11.45 30.11 0.46
"Trifolium_subterraneum" 2.38 29.62 6.224
"Trifolium_suffocatum" 2 25 0.21
"Veronica_arvensis" 4.39 42.87 0.125
"Vicia_lathyroides" 11.93 26.01 2.064
"Vulpia_ciliata" 14.01 13.5 0.12
"Vulpia_m" 11.04 15.15 0.096
"Xolantha_guttata" 10.34 22.42 0.044
