Especie	familia	Altura	Leaf_area	SLA	Leaf_dry_weight	Seed_size	Life_form	Habit	Longevity	Clonality	Dispersal_strategy	Flowering	flor_biblio	enlace
Agrostis_castellana	graminae	"60,46"	"400,44"	"8,69"	"46,07"	"0,264"	h	g	p	1	1	6	mayo-julio	http://www.bioscripts.net/flora/index.php?spp=Agrostis%20castellana
Agrostis_pourretii	graminae	"11,30"	NA	"26,20"	NA	"0,190"	t	g	a	0	1	5	abril-julio	http://www.bioscripts.net/flora/index.php?spp=Agrostis%20pourretii
Aira_caryophyllea	graminae	"4,19"	"21,97"	"22,59"	"1,01"	"0,160"	t	g	a	0	1	6	mayo-julio	http://www.bioscripts.net/flora/index.php?spp=Aira%20caryophyllea
Aira_cupaniana	graminae	"5,00"	NA	"21,10"	NA	"0,043"	t	g	a	0	1	4	abril-mayo	http://www.floravascular.com/index.php?spp=Aira%20cupaniana
Alopecurus_arundinaceus	graminae	"40,00"	NA	"25,87"	NA	"0,600"	h	g	p	1	1	5	abril-junio	http://www.floravascular.com/index.php?spp=Alopecurus%20arundinaceus
Alopecurus_geniculatus	graminae	"30,00"	NA	"23,23"	NA	"0,290"	h	g	p	0	1	5	abril-junio	NA
Alyssum_granatense	brassicaceae	"6,05"	"8,18"	"17,76"	"30,09"	"0,628"	t	e	a	0	0	3	febrero-mayo	http://www.bioscripts.net/flora/index.php?spp=Alyssum%20granatense
Anagallis_tenella	primulaceae	"6,00"	NA	"35,10"	NA	"0,120"	h	p	p	1	0	7	Abril-octubre	http://herbarivirtual.uib.es/cas-med/especie/4813.html
Andryala_integrifolia	asteraceae	"28,84"	"261,05"	"24,12"	"10,82"	"0,185"	h	r	p	0	0	7	marzo-diceiembre	http://www.bioscripts.net/flora/index.php?spp=Andryala%20integrifolia
Anthemis_arvensis	asteraceae	"9,06"	"48,76"	"22,63"	"2,15"	"0,722"	t	r	a	0	0	4	abril-mayo	http://www.bioscripts.net/flora/index.php?spp=Anthemis%20arvensis
Anthoxanthum_aristatum	graminae	"27,00"	"358,50"	"31,22"	"11,64"	"0,400"	t	g	a	0	0	5	abril.junio	http://www.floravascular.com/index.php?spp=Anthoxanthum%20aristatum
Anthoxanthum_ovatum	graminae	"30,00"	NA	"30,08"	NA	"0,400"	t	g	a	0	0	5	abril-junio	http://www.floravascular.com/index.php?spp=Anthoxanthum%20ovatum
Aphanes_microcarpa	rosaceae	"2,85"	"27,51"	"44,23"	"0,62"	"0,131"	t	e	a	0	0	3	febrero-mayo	http://www.bioscripts.net/flora/index.php?spp=Aphanes%20microcarpa
Arrhenatherum_album	graminae	"52,94"	"438,61"	"12,22"	"35,90"	"1,339"	h	g	p	1	1	5	abril-junio	http://www.bioscripts.net/flora/index.php?spp=Arrhenatherum%20album
Asterolinon_linum-stellatum	primulaceae	"4,56"	"7,07"	"47,27"	"0,15"	"0,290"	t	e	a	0	0	3	marzo-abril	http://www.bioscripts.net/flora/index.php?spp=Asterolinon%20linum-stellatum
Astragalus_pelecinus	leguminosae	"4,85"	"78,14"	"18,74"	"4,17"	"1,090"	t	e	a	0	0	4	marzo-mayo	http://www.bioscripts.net/flora/index.php?spp=Astragalus%20pelecinus
Avena_barbata	graminae	"27,48"	"276,41"	"10,43"	"30,09"	"3,585"	t	g	a	0	1	4	febrero-junio	http://www.bioscripts.net/flora/index.php?spp=Avena%20barbata
Bartsia_trixago	scrophulariaceae	"19,47"	"114,17"	"19,28"	"6,03"	"0,035"	t	e	a	0	0	4	marzo-junio	http://www.bioscripts.net/flora/index.php?spp=Bellardia%20trixago
Bellis_perennis	asteraceae	"2,45"	"98,68"	"31,70"	"3,15"	"0,285"	h	e	p	1	0	3	enero-mayo	http://www.bioscripts.net/flora/index.php?spp=Bellis%20perennis
Brassica_barrelieri	brassicaceae	"2,37"	"134,09"	"28,75"	"4,66"	"0,736"	t	r	a	0	0	3	febrero-mayo	http://www.bioscripts.net/flora/index.php?spp=Brassica%20barrelieri
Briza_maxima	graminae	"30,00"	NA	"25,00"	NA	"2,800"	t	g	a	0	0	5	marzo-julio	http://www.floravascular.com/index.php?spp=Briza%20maxima
Briza_minor	graminae	"25,00"	NA	"25,12"	NA	"0,320"	t	g	a	0	0	5	marzo-julio	http://www.floravascular.com/index.php?spp=Briza%20minor
Bromus_hordeaceus	graminae	"17,24"	"150,80"	"12,77"	"12,16"	"1,452"	t	g	a	0	1	4	marzo-junio	http://www.bioscripts.net/flora/index.php?spp=Bromus%20hordeaceus
Bromus_tectorum	graminae	"22,96"	"79,88"	"27,75"	"2,88"	"2,344"	t	g	a	0	1	4	marzo-mayo	http://www.bioscripts.net/flora/index.php?spp=Bromus%20tectorum
