punto	NS001_Norte	NS001_Este	NS001_Oeste	NS002_Norte	NS002_Este	NS002_Oeste	NS003_Norte	NS003_Este	NS003_Oeste	NS004_Norte	NS004_Este	NS004_Oeste	NS005_Norte	NS005_Este	NS005_Oeste	NS006_Norte	NS006_Este	NS006_Oeste	NS007_Norte	NS007_Este	NS007_Oeste	NS008_Norte	NS008_Este	NS008_Oeste	PES001_Norte	PES001_Este	PES001_Oeste	PES002_Norte	PES002_Este	PES002_Oeste	PES003_Norte	PES003_Este	PES003_Oeste	PES004_Norte	PES004_Este	PES004_Oeste	PES005_Norte	PES005_Este	PES005_Oeste	PES006_Norte	PES006_Este	PES006_Oeste	PES007_Norte	PES007_Este	PES007_Oeste	PES008_Norte	PES008_Este	PES008_Oeste	PES009_Norte	PES009_Este	PES009_Oeste	CS001_Norte	CS001_Este	CS001_Oeste	CS002_Norte	CS002_Este	CS002_Oeste	CS003_Norte	CS003_Este	CS003_Oeste	CS004_Norte	CS004_Este	CS004_Oeste	CS005_Norte	CS005_Este	CS005_Oeste	CS006_Norte	CS006_Este	CS006_Oeste	CS007_Norte	CS007_Este	CS007_Oeste	CS008_Norte	CS008_Este	CS008_Oeste	PEH001_Norte	PEH001_Este	PEH001_Oeste	PEH002_Norte	PEH002_Este	PEH002_Oeste	PEH003_Norte	PEH003_Este	PEH003_Oeste	PEH004_Norte	PEH004_Este	PEH004_Oeste	PEH005_Norte	PEH005_Este	PEH005_Oeste	PEH006_Norte	PEH006_Este	PEH006_Oeste	PEH007_Norte	PEH007_Este	PEH007_Oeste	PEH008_Norte	PEH008_Este	PEH008_Oeste	PEH009_Norte	PEH009_Este	PEH009_Oeste	CH001_Norte	CH001_Este	CH001_Oeste	CH002_Norte	CH002_Este	CH002_Oeste	CH003_Norte	CH003_Este	CH003_Oeste	CH004_Norte	CH004_Este	CH004_Oeste	CH005_Norte	CH005_Este	CH005_Oeste	CH006_Norte	CH006_Este	CH006_Oeste	CH007_Norte	CH007_Este	CH007_Oeste	CH008_Norte	CH008_Este	CH008_Oeste	MOH001_Norte	MOH001_Este	MOH001_Oeste	MOH002_Norte	MOH002_Este	MOH002_Oeste	MOH003_Norte	MOH003_Este	MOH003_Oeste	MOH004_Norte	MOH004_Este	MOH004_Oeste	MOH005_Norte	MOH005_Este	MOH005_Oeste	MOH006_Norte	MOH006_Este	MOH006_Oeste	MOH007_Norte	MOH007_Este	MOH007_Oeste	MOH008_Norte	MOH008_Este	MOH008_Oeste	NH001_Norte	NH001_Este	NH001_Oeste	NH002_Norte	NH002_Este	NH002_Oeste	NH003_Norte	NH003_Este	NH003_Oeste	NH004_Norte	NH004_Este	NH004_Oeste	NH005_Norte	NH005_Este	NH005_Oeste	NH006_Norte	NH006_Este	NH006_Oeste	NH007_Norte	NH007_Este	NH007_Oeste	NH008_Norte	NH008_Este	NH008_Oeste	MOS001_Norte	MOS001_Este	MOS001_Oeste	MOS002_Norte	MOS002_Este	MOS002_Oeste	MOS003_Norte	MOS003_Este	MOS003_Oeste	MOS004_Norte	MOS004_Este	MOS004_Oeste	MOS005_Norte	MOS005_Este	MOS005_Oeste	MOS006_Norte	MOS006_Este	MOS006_Oeste	MOS007_Norte	MOS007_Este	MOS007_Oeste	MOS008_Norte	MOS008_Este	MOS008_Oeste	MOS009_Norte	MOS009_Este	MOS009_Oeste
Suelo_desnudo	0	6,5	6,5	37,5	1	37,5	1	1	1	6,5	6,5	18,5	18,5	6,5	6,5	18,5	1	1	6,5	6,5	37,5	18,5	6,5	18,5	1	0	0	6,5	1	1	1	6,5	1	1	1	1	6,5	6,5	6,5	1	1	1	1	1	18,5	6,5	6,5	0	0	0	0	0	0	6,5	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18,5	0	1	1	6,5	0	0	0	6,5	0	0	6,5	6,5	1	1	6,5	0	1	1	0	6,5	1	1	1	1	1	1	1	6,5	6,5	18,5	6,5	6,5	1	18,5	18,5	18,5	6,5	6,5	1	1	6,5	6,5	1	6,5	18,5	18,5	1	6,5	6,5	6,5	18,5	6,5	6,5	6,5	1	6,5	1	18,5	0	1	1	1	0	0	1	1	1	6,5	0	6,5	1	0	1	18,5	0	1	6,5	6,5	1	1	18,5	1	1	1	1
Excrementos	18,5	18,5	37,5	6,5	1	18,5	18,5	1	1	0	0	1	0	1	0	1	18,5	0	6,5	6,5	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18,5	1	0	0	0	0	0	0	0	0	0	18,5	0	0	0	0	1	1	0	0	0	18,5	0	0	0	0	6,5	0	0	0	0	0	0	0	0	0	0	0	0	6,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	6,5	0	0	0	0	0	0	0	0	0	1	1	18,5	0	18,5	6,5	1	0	6,5	6,5	0	1	6,5	18,5	1	6,5	0	0	1	6,5	6,5	6,5	6,5	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	6,5	0	6,5	0	1	0	0	1	1	0	0
Musgo	0	0	0	1	6,5	0	6,5	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	6,5	1	6,5	6,5	75	75	18,5	18,5	18,5	18,5	37,5	37,5	18,5	18,5	18,5	6,5	18,5	6,5	75	18,5	18,5	37,5	75	75	37,5	75	75	18,5	18,5	6,5	18,5	37,5	18,5	37,5	75	37,5	37,5	37,5	1	75	75	18,5	75	75	6,5	18,5	37,5	18,5	75	37,5	18,5	0	0	0	0	0	0	0	0	6,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37,5	37,5	1	0	0	0	37,5	37,5	6,5	37,5	0	37,5	0	0	0	18,5	37,5	6,5	75	18,5	18,5	0	0	0	18,5	37,5	6,5	0	0	0	6,5	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	6,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18,5	18,5	1	18,5	37,5	18,5	37,5	37,5	6,5	6,5	37,5	1	75	75	37,5	0	0	0	18,5	37,5	6,5	1	6,5	1	6,5	18,5	18,5
Liquen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6,5	18,5	1	0	6,5	6,5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6,5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hojarasca	0	0	0	6,5	6,5	18,5	6,5	1	6,5	6,5	0	6,5	6,5	0	1	0	1	1	6,5	6,5	0	0	0	1	1	0	0	0	0	1	0	1	0	6,5	0	18,5	0	1	0	1	6,5	1	1	6,5	0	1	1	1	1	0	1	0	0	1	0	1	0	6,5	1	18,5	6,5	1	1	6,5	0	0	1	18,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	18,5	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	6,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6,5	1	6,5	6,5	1	6,5	1	1	1	0	1	6,5	1	1	1	0	0	0	0	0	1	1	1
Pajitas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37,5	75	37,5	18,5	37,5	6,5	18,5	18,5	18,5	18,5	6,5	6,5	6,5	6,5	6,5	37,5	0	18,5	37,5	37,5	6,5	6,5	6,5	18,5	18,5	6,5	1	37,5	18,5	18,5	6,5	18,5	1	0	1	0	18,5	37,5	0	18,5	18,5	6,5	1	6,5	18,5	18,5	75	37,5	6,5	37,5	6,5	18,5	1	6,5	6,5	0	1	1	0	0	0	0	0	0	6,5	0	6,5	37,5	37,5	6,5	18,5	0	6,5	1	1	0	1	1	0	0	0	0	0	0	1	18,5	1	0	0	1	18,5	1	1	18,5	18,5	0	0	0	6,5	75	75	75	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18,5	75	0	0	0	0	0	0	0	0	0	1	1	0
Agrostis_castellana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,5	0	0	0	0	0	0	0	0	0	0	0	0	18,5	0	1	18,5	0	75	6,5	18,5	18,5	0	0	18,5	0	6,5	6,5	75	75	75	18,5	37,5	6,5	18,5	37,5	37,5	37,5	37,5	75	6,5	6,5	6,5	37,5	18,5	1	75	75	37,5	18,5	18,5	37,5	75	75	75	75	37,5	75	18,5	37,5	18,5	75	75	75	0	18,5	6,5	37,5	75	18,5	0	0	6,5	0	0	0	37,5	1	18,5	6,5	0	18,5	18,5	18,5	18,5	18,5	6,5	6,5	6,5	37,5	1	6,5	6,5	0	0	0	0	6,5	37,5	18,5	18,5	18,5	6,5	18,5	18,5	6,5	6,5	0	0	6,5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrostis_pourretii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	6,5	0	1	0	0	0	18,5	1	6,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aira_caryophyllea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aira_cupaniana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
