punto	humedad	zona	intensidad	year
NS001	Seco	Nava	4	2009
NS001	Seco	Nava	4	2009
NS001	Seco	Nava	4	2009
NS002	Seco	Nava	4	2009
NS002	Seco	Nava	4	2009
NS002	Seco	Nava	4	2009
NS003	Seco	Nava	4	2009
NS003	Seco	Nava	4	2009
NS003	Seco	Nava	4	2009
NS004	Seco	Nava	4	2009
NS004	Seco	Nava	4	2009
NS004	Seco	Nava	4	2009
NS005	Seco	Nava	4	2009
NS005	Seco	Nava	4	2009
NS005	Seco	Nava	4	2009
NS006	Seco	Nava	4	2009
NS006	Seco	Nava	4	2009
NS006	Seco	Nava	4	2009
NS007	Seco	Nava	4	2009
NS007	Seco	Nava	4	2009
NS007	Seco	Nava	4	2009
NS008	Seco	Nava	4	2009
NS008	Seco	Nava	4	2009
NS008	Seco	Nava	4	2009
PES001	Seco	Pedrezuela	1	2009
PES001	Seco	Pedrezuela	1	2009
PES001	Seco	Pedrezuela	1	2009
PES002	Seco	Pedrezuela	1	2009
PES002	Seco	Pedrezuela	1	2009
PES002	Seco	Pedrezuela	1	2009
PES003	Seco	Pedrezuela	1	2009
PES003	Seco	Pedrezuela	1	2009
PES003	Seco	Pedrezuela	1	2009
PES004	Seco	Pedrezuela	1	2009
PES004	Seco	Pedrezuela	1	2009
PES004	Seco	Pedrezuela	1	2009
PES005	Seco	Pedrezuela	1	2009
PES005	Seco	Pedrezuela	1	2009
PES005	Seco	Pedrezuela	1	2009
PES006	Seco	Pedrezuela	1	2009
PES006	Seco	Pedrezuela	1	2009
PES006	Seco	Pedrezuela	1	2009
PES007	Seco	Pedrezuela	1	2009
PES007	Seco	Pedrezuela	1	2009
PES007	Seco	Pedrezuela	1	2009
PES008	Seco	Pedrezuela	1	2009
PES008	Seco	Pedrezuela	1	2009
PES008	Seco	Pedrezuela	1	2009
PES009	Seco	Pedrezuela	1	2009
PES009	Seco	Pedrezuela	1	2009
PES009	Seco	Pedrezuela	1	2009
CS001	Seco	Canada	2	2009
CS001	Seco	Canada	2	2009
CS001	Seco	Canada	2	2009
CS002	Seco	Canada	2	2009
CS002	Seco	Canada	2	2009
CS002	Seco	Canada	2	2009
CS003	Seco	Canada	2	2009
CS003	Seco	Canada	2	2009
CS003	Seco	Canada	2	2009
CS004	Seco	Canada	2	2009
CS004	Seco	Canada	2	2009
CS004	Seco	Canada	2	2009
CS005	Seco	Canada	2	2009
CS005	Seco	Canada	2	2009
CS005	Seco	Canada	2	2009
CS006	Seco	Canada	2	2009
CS006	Seco	Canada	2	2009
CS006	Seco	Canada	2	2009
CS007	Seco	Canada	2	2009
CS007	Seco	Canada	2	2009
CS007	Seco	Canada	2	2009
CS008	Seco	Canada	2	2009
CS008	Seco	Canada	2	2009
CS008	Seco	Canada	2	2009
PEH001	Humedo	Pedrezuela	1	2009
PEH001	Humedo	Pedrezuela	1	2009
PEH001	Humedo	Pedrezuela	1	2009
PEH002	Humedo	Pedrezuela	1	2009
PEH002	Humedo	Pedrezuela	1	2009
PEH002	Humedo	Pedrezuela	1	2009
PEH003	Humedo	Pedrezuela	1	2009
PEH003	Humedo	Pedrezuela	1	2009
PEH003	Humedo	Pedrezuela	1	2009
PEH004	Humedo	Pedrezuela	1	2009
PEH004	Humedo	Pedrezuela	1	2009
PEH004	Humedo	Pedrezuela	1	2009
PEH005	Humedo	Pedrezuela	1	2009
PEH005	Humedo	Pedrezuela	1	2009
PEH005	Humedo	Pedrezuela	1	2009
PEH006	Humedo	Pedrezuela	1	2009
PEH006	Humedo	Pedrezuela	1	2009
PEH006	Humedo	Pedrezuela	1	2009
PEH007	Humedo	Pedrezuela	1	2009
PEH007	Humedo	Pedrezuela	1	2009
PEH007	Humedo	Pedrezuela	1	2009
PEH008	Humedo	Pedrezuela	1	2009
PEH008	Humedo	Pedrezuela	1	2009
PEH008	Humedo	Pedrezuela	1	2009
PEH009	Humedo	Pedrezuela	1	2009
PEH009	Humedo	Pedrezuela	1	2009
PEH009	Humedo	Pedrezuela	1	2009
CH001	Humedo	Canada	2	2009
CH001	Humedo	Canada	2	2009
CH001	Humedo	Canada	2	2009
CH002	Humedo	Canada	2	2009
CH002	Humedo	Canada	2	2009
CH002	Humedo	Canada	2	2009
CH003	Humedo	Canada	2	2009
CH003	Humedo	Canada	2	2009
CH003	Humedo	Canada	2	2009
CH004	Humedo	Canada	2	2009
CH004	Humedo	Canada	2	2009
CH004	Humedo	Canada	2	2009
CH005	Humedo	Canada	2	2009
CH005	Humedo	Canada	2	2009
CH005	Humedo	Canada	2	2009
CH006	Humedo	Canada	2	2009
CH006	Humedo	Canada	2	2009
CH006	Humedo	Canada	2	2009
CH007	Humedo	Canada	2	2009
CH007	Humedo	Canada	2	2009
CH007	Humedo	Canada	2	2009
CH008	Humedo	Canada	2	2009
CH008	Humedo	Canada	2	2009
CH008	Humedo	Canada	2	2009
MOH001	Humedo	Moncalvillo	3	2009
MOH001	Humedo	Moncalvillo	3	2009
MOH001	Humedo	Moncalvillo	3	2009
MOH002	Humedo	Moncalvillo	3	2009
MOH002	Humedo	Moncalvillo	3	2009
MOH002	Humedo	Moncalvillo	3	2009
MOH003	Humedo	Moncalvillo	3	2009
MOH003	Humedo	Moncalvillo	3	2009
MOH003	Humedo	Moncalvillo	3	2009
MOH004	Humedo	Moncalvillo	3	2009
MOH004	Humedo	Moncalvillo	3	2009
MOH004	Humedo	Moncalvillo	3	2009
MOH005	Humedo	Moncalvillo	3	2009
MOH005	Humedo	Moncalvillo	3	2009
MOH005	Humedo	Moncalvillo	3	2009
MOH006	Humedo	Moncalvillo	3	2009
MOH006	Humedo	Moncalvillo	3	2009
MOH006	Humedo	Moncalvillo	3	2009
MOH007	Humedo	Moncalvillo	3	2009
MOH007	Humedo	Moncalvillo	3	2009
MOH007	Humedo	Moncalvillo	3	2009
MOH008	Humedo	Moncalvillo	3	2009
MOH008	Humedo	Moncalvillo	3	2009
MOH008	Humedo	Moncalvillo	3	2009
NH001	Humedo	Nava	4	2009
NH001	Humedo	Nava	4	2009
NH001	Humedo	Nava	4	2009
NH002	Humedo	Nava	4	2009
NH002	Humedo	Nava	4	2009
NH002	Humedo	Nava	4	2009
NH003	Humedo	Nava	4	2009
