Punto	year	UTMX	UTMY	zona	intensidad	humedad
NS001	2009	445360	4507000	Nava	4	Seco
NS002	2009	445417	4507168	Nava	4	Seco
NS003	2009	445162	4507299	Nava	4	Seco
NS004	2009	444777	4507598	Nava	4	Seco
NS005	2009	444635	4507723	Nava	4	Seco
NS006	2009	444807	4507164	Nava	4	Seco
NS007	2009	444874	4506927	Nava	4	Seco
NS008	2009	445212	4506659	Nava	4	Seco
PES001	2009	444565	4508865	Pedrezuela	1	Seco
PES002	2009	444493	4508855	Pedrezuela	1	Seco
PES003	2009	444458	4508929	Pedrezuela	1	Seco
PES004	2009	444408	4508895	Pedrezuela	1	Seco
PES005	2009	444468	4508853	Pedrezuela	1	Seco
PES006	2009	444379	4508839	Pedrezuela	1	Seco
PES007	2009	444357	4508830	Pedrezuela	1	Seco
PES008	2009	444252	4508785	Pedrezuela	1	Seco
PES009	2009	444254	4508823	Pedrezuela	1	Seco
CS001	2009	443235	4506085	Canada	2	Seco
CS002	2009	444514	4505042	Canada	2	Seco
CS003	2009	444517	4505330	Canada	2	Seco
CS004	2009	444114	4505741	Canada	2	Seco
CS005	2009	44020	4505920	Canada	2	Seco
CS006	2009	443529	4506022	Canada	2	Seco
CS007	2009	443052	4506142	Canada	2	Seco
CS008	2009	443739	4505948	Canada	2	Seco
PEH001	2009	445036	4508782	Pedrezuela	1	Humedo
PEH002	2009	445089	4508740	Pedrezuela	1	Humedo
PEH003	2009	445429	4509130	Pedrezuela	1	Humedo
PEH004	2009	445449	4508963	Pedrezuela	1	Humedo
PEH005	2009	445477	4508815	Pedrezuela	1	Humedo
PEH006	2009	444839	4508641	Pedrezuela	1	Humedo
PEH007	2009	445150	4508647	Pedrezuela	1	Humedo
PEH008	2009	445214	4508618	Pedrezuela	1	Humedo
PEH009	2009	445228	4508549	Pedrezuela	1	Humedo
CH001	2009	444167	4505696	Canada	2	Humedo
CH002	2009	444139	4505690	Canada	2	Humedo
CH003	2009	444124	4505683	Canada	2	Humedo
CH004	2009	443482	4506009	Canada	2	Humedo
CH005	2009	443484	4506025	Canada	2	Humedo
CH006	2009	443483	4505978	Canada	2	Humedo
CH007	2009	443379	4506042	Canada	2	Humedo
CH008	2009	442974	4506180	Canada	2	Humedo
MOH001	2009	443474	4506354	Moncalvillo	3	Humedo
MOH002	2009	443772	4506554	Moncalvillo	3	Humedo
MOH003	2009	444107	4506630	Moncalvillo	3	Humedo
MOH004	2009	444454	4508282	Moncalvillo	3	Humedo
MOH005	2009	444417	4508182	Moncalvillo	3	Humedo
MOH006	2009	444326	4508458	Moncalvillo	3	Humedo
MOH007	2009	444275	4508377	Moncalvillo	3	Humedo
MOH008	2009	444235	4506462	Moncalvillo	3	Humedo
NH001	2009	445175	4507182	Nava	4	Humedo
NH002	2009	444843	4507492	Nava	4	Humedo
NH003	2009	445120	4507299	Nava	4	Humedo
NH004	2009	445300	4507097	Nava	4	Humedo
NH005	2009	445289	4507064	Nava	4	Humedo
NH006	2009	445279	4507008	Nava	4	Humedo
NH007	2009	445195	4507090	Nava	4	Humedo
NH008	2009	445106	4506709	Nava	4	Humedo
MOS001	2009	444258	4506924	Moncalvillo	3	Seco
MOS002	2009	443314	4507078	Moncalvillo	3	Seco
MOS003	2009	443634	4507174	Moncalvillo	3	Seco
MOS004	2009	443689	4507286	Moncalvillo	3	Seco
MOS005	2009	444592	4505077	Moncalvillo	3	Seco
MOS006	2009	444569	4505372	Moncalvillo	3	Seco
MOS007	2009	444159	4505802	Moncalvillo	3	Seco
MOS008	2009	444071	4505952	Moncalvillo	3	Seco
MOS009	2009	443214	4506124	Moncalvillo	3	Seco
NS001	2010	445360	4507000	Nava	4	Seco
NS002	2010	445417	4507168	Nava	4	Seco
NS003	2010	445162	4507299	Nava	4	Seco
NS004	2010	444777	4507598	Nava	4	Seco
NS005	2010	444635	4507723	Nava	4	Seco
NS006	2010	444807	4507164	Nava	4	Seco
NS007	2010	444874	4506927	Nava	4	Seco
NS008	2010	445212	4506659	Nava	4	Seco
PES001	2010	444565	4508865	Pedrezuela	1	Seco
PES002	2010	444493	4508855	Pedrezuela	1	Seco
PES003	2010	444458	4508929	Pedrezuela	1	Seco
PES004	2010	444408	4508895	Pedrezuela	1	Seco
PES005	2010	444468	4508853	Pedrezuela	1	Seco
PES006	2010	444379	4508839	Pedrezuela	1	Seco
PES007	2010	444357	4508830	Pedrezuela	1	Seco
PES008	2010	444252	4508785	Pedrezuela	1	Seco
PES009	2010	444254	4508823	Pedrezuela	1	Seco
CS001	2010	443235	4506085	Canada	2	Seco
CS002	2010	444514	4505042	Canada	2	Seco
CS003	2010	444517	4505330	Canada	2	Seco
CS004	2010	444114	4505741	Canada	2	Seco
CS005	2010	44020	4505920	Canada	2	Seco
CS006	2010	443529	4506022	Canada	2	Seco
CS007	2010	443052	4506142	Canada	2	Seco
CS008	2010	443739	4505948	Canada	2	Seco
PEH001	2010	445036	4508782	Pedrezuela	1	Humedo
PEH002	2010	445089	4508740	Pedrezuela	1	Humedo
PEH003	2010	445429	4509130	Pedrezuela	1	Humedo
PEH004	2010	445449	4508963	Pedrezuela	1	Humedo
PEH005	2010	445477	4508815	Pedrezuela	1	Humedo
PEH006	2010	444839	4508641	Pedrezuela	1	Humedo
PEH007	2010	445150	4508647	Pedrezuela	1	Humedo
PEH008	2010	445214	4508618	Pedrezuela	1	Humedo
PEH009	2010	445228	4508549	Pedrezuela	1	Humedo
CH001	2010	444167	4505696	Canada	2	Humedo
CH002	2010	444139	4505690	Canada	2	Humedo
CH004	2010	443482	4506009	Canada	2	Humedo
CH005	2010	443484	4506025	Canada	2	Humedo
CH006	2010	443483	4505978	Canada	2	Humedo
CH007	2010	443379	4506042	Canada	2	Humedo
CH008	2010	442974	4506180	Canada	2	Humedo
MOH001	2010	443474	4506354	Moncalvillo	3	Humedo
MOH002	2010	443772	4506554	Moncalvillo	3	Humedo
MOH003	2010	444107	4506630	Moncalvillo	3	Humedo
MOH004	2010	444454	4508282	Moncalvillo	3	Humedo
MOH005	2010	444417	4508182	Moncalvillo	3	Humedo
MOH006	2010	444326	4508458	Moncalvillo	3	Humedo
MOH007	2010	444275	4508377	Moncalvillo	3	Humedo
MOH008	2010	444235	4506462	Moncalvillo	3	Humedo
NH001	2010	445175	4507182	Nava	4	Humedo
NH002	2010	444843	4507492	Nava	4	Humedo
NH003	2010	445120	4507299	Nava	4	Humedo
NH004	2010	445300	4507097	Nava	4	Humedo
NH005	2010	445289	4507064	Nava	4	Humedo
NH006	2010	445279	4507008	Nava	4	Humedo
NH007	2010	445195	4507090	Nava	4	Humedo
NH008	2010	445106	4506709	Nava	4	Humedo
MOS001	2010	444258	4506924	Moncalvillo	3	Seco
MOS002	2010	443314	4507078	Moncalvillo	3	Seco
MOS003	2010	443634	4507174	Moncalvillo	3	Seco
MOS004	2010	443689	4507286	Moncalvillo	3	Seco
MOS005	2010	444592	4505077	Moncalvillo	3	Seco
MOS006	2010	444569	4505372	Moncalvillo	3	Seco
MOS007	2010	444159	4505802	Moncalvillo	3	Seco
MOS008	2010	444071	4505952	Moncalvillo	3	Seco
MOS009	2010	443214	4506124	Moncalvillo	3	Seco
