"sla" "height" "sm" "log_sla" "log_height" "log_sm"
"Juncus maritimus" 2.65 0.65 0.03533 0.974559639998131 -0.430782916092454 -3.34302281761108
"Equisetum hyemale" 2.88 0.95 NA 1.05779029414785 -0.0512932943875506 NA
"Salicornia europaea" 3.215 0.183333333 0.5434 1.16782735768958 -1.69644929124191 -0.60990958198989
"Festuca psammophila" 3.25 0.225 NA 1.17865499634165 -1.49165487677772 NA
"Juncus inflexus" 3.645 0.45 0.075383478 1.29335636546062 -0.798507696217772 -2.58516715264798
"Loiseleuria procumbens" 4.497687548 0.168333333 0.01759125 1.50356338647339 -1.78180914035508 -4.0403536596535
"Schoenus nigricans" 4.776666667 0.3 0.6411125 1.56374295324175 -1.20397280432594 -0.444550330440742
"Juncus conglomeratus" 4.9 0.72 0.018123077 1.58923520511658 -0.328504066972036 -4.01056918042176
"Pinus sylvestris" 5.347473754 34.5 7.572 1.67662425387449 3.54095932403731 2.02445723334708
"Schoenoplectus tabernaemontani" 5.41 1.05 1.326 1.68824909285839 0.048790164169432 0.282166891763671
"Festuca brevipila" 5.55 0.125 0.269 1.71379792775834 -2.07944154167984 -1.3130438993803
"Allium sphaerocephalon" 5.7 0.225 1.462666667 1.7404661748405 -1.49165487677772 0.380261253972768
"Festuca pallens" 5.82 0.115 1.340666667 1.76130026174335 -2.16282315061889 0.293167002930983
"Juncus squarrosus" 5.83 0.1675 0.07955 1.7630170003624 -1.78677192771702 -2.53136952419834
"Abies alba" 5.87 50 79.2 1.76985463384001 3.91202300542815 4.37197629882038
"Arctostaphylos uva-ursi" 6.208 0.17 7.4102 1.82583878288092 -1.77195684193188 2.00285742949706
"Equisetum variegatum" 6.329113924 0.2 NA 1.84516024594717 -1.6094379124341 NA
"Fraxinus ornus" 6.39 6.5 65.1 1.85473426838944 1.87180217690159 4.17592454921452
"Ammophila arenaria" 6.56 0.8 3.5708 1.880990602956 -0.22314355131421 1.27278966032307
"Typha angustifolia" 6.57692027 1.5 0.10285 1.88356659169746 0.405465108108164 -2.27448366288317
"Ilex aquifolium" 6.6 11.95 50.6104 1.88706964903238 2.48073127837752 3.92415708877112
"Juncus subnodulosus" 6.6 0.725 0.01532 1.88706964903238 -0.321583624127462 -4.17859611466969
"Schoenoplectus triqueter" 6.8 0.725 NA 1.91692261218206 -0.321583624127462 NA
"Pinus nigra" 6.838954345 40 23.9 1.9226348464101 3.68887945411394 3.17387845893747
"Picea abies" 6.846285493 50 6.663666667 1.92370624140033 3.91202300542815 1.89666988365552
"Cladium mariscus" 7.02 1.4 2.237897143 1.94876321803772 0.336472236621213 0.805536649494875
"Buxus sempervirens" 7.033333333 2 13.01698 1.95066075176652 0.693147180559945 2.56625465903081
"Pseudotsuga menziesii" 7.16615124 65 NA 1.96936872387914 4.17438726989564 NA
"Hordeum vulgare" 7.2735 1.0075 40.905 1.98423760623138 0.00747201483870106 3.71125230496566
"Polystichum lonchitis" 7.37 0.3 NA 1.99741770620125 -1.20397280432594 NA
"Leymus arenarius" 7.4 0.75 8.582266667 2.00148000021012 -0.287682072451781 2.14969805891343
"Pyrus communis" 7.407407407 20 25 2.00248050048871 2.99573227355399 3.2188758248682
"Chondrilla juncea" 7.53 0.5 0.671 2.0188950418118 -0.693147180559945 -0.398986142010455
"Stipa capillata" 7.56 0.525 7.168 2.02287119019144 -0.644357016390513 1.96962667567263
"Helianthemum canum" 7.6 0.1 0.781333333 2.02814824729229 -2.30258509299405 -0.246753417379965
"Vaccinium vitis-idaea" 7.656278142 0.134285714 23.11978333 2.03552598342804 -2.00778555490106 3.14068867222047
"Andromeda polifolia" 7.720548859 0.2625 0.17525 2.04388545723489 -1.33750419695046 -1.74154175306744
"Eleocharis multicaulis" 7.79 0.3 0.5912 2.05284085988266 -1.20397280432594 -0.525600909348145
"Taxus baccata" 7.872013901 17.5 45.3264 2.06331392562746 2.86220088092947 3.81388964419478
"Achillea pannonica" 8.075 0.45 0.138 2.08877286910872 -0.798507696217772 -1.98050159382493
"Ulex europaeus" 8.2025 0.933333333 6.12 2.10443898585312 -0.0689928718440943 1.81156209652423
"Fumana procumbens" 8.22 0.15 2.60784 2.10657020906809 -1.89711998488588 0.958522292489186
"Empetrum nigrum" 8.278840089 0.15 1.034838462 2.11370287271466 -1.89711998488588 0.0342453391739867
"Kalmia angustifolia" 8.352941176 0.875 0.007 2.12261371348871 -0.133531392624523 -4.96184512992682
"Foeniculum vulgare" 8.6 1.7875 2.704666667 2.15176220325946 0.580817995586026 0.99497867623939
"Saxifraga paniculata" 8.61 0.04 0.06 2.15292431843964 -3.2188758248682 -2.81341071676004
"Pulsatilla pratensis" 8.61 0.175 2.493666667 2.15292431843964 -1.74296930505862 0.91375418435583
"Equisetum palustre" 8.62 0.3 NA 2.1540850846756 -1.20397280432594 NA
"Schoenus ferrugineus" 8.6875 0.225 0.25125 2.16188521089091 -1.49165487677772 -1.38130681960885
"Allium schoenoprasum" 8.85 0.32 0.9109 2.18041745901984 -1.13943428318836 -0.0933221572313728
"Rosa subcanina" 8.880368969 NA NA 2.18384310670394 NA NA
"Eleocharis quinqueflora" 8.89 0.1 0.964457143 2.18492704952581 -2.30258509299405 -0.0361898820455718
"Onobrychis arenaria" 8.920606601 0.15 7.53 2.18836394887612 -1.89711998488588 2.0188950418118
"Spartina x townsendii" 8.93 0.6 10.99 2.18941639488841 -0.510825623765991 2.39698576841553
"Mahonia aquifolium" 8.975 1.166666667 9.1485 2.19444293437434 0.154150680112973 2.21358993142248
"Carex extensa" 9.09 0.135 1.245033333 2.20717490818939 -2.00248050054371 0.219162303052243
"Chimaphila umbellata" 9.13 0.06 NA 2.21156569460688 -2.81341071676004 NA
"Jurinea cyanoides" 9.13 0.35 6.8 2.21156569460688 -1.04982212449868 1.91692261218206
"Crambe maritima" 9.173333333 0.3875 69.89348571 2.2163007243607 -0.948039430188735 4.24697245047629
"Oreochloa disticha" 9.2 0.115 NA 2.21920348405499 -2.16282315061889 NA
"Eryngium campestre" 9.224 0.28125 1.371671429 2.22180878296676 -1.26851132546351 0.316030017386853
"Daphne laureola" 9.29 0.725 103.4 2.22893855282575 -0.321583624127462 4.63860496207433
"Carex pulicaris" 9.32 0.1 1.477633333 2.2321626286975 -2.30258509299405 0.390441708527709
"Spartina anglica" 9.4 NA NA 2.24070968927596 NA NA
"Equisetum fluviatile" 9.45 1 NA 2.24601474150565 0 NA
"Blysmus rufus" 9.49 0.14 1.1668 2.25023861262184 -1.96611285637283 0.154264959011429
"Salix purpurea" 9.496676163 2.166666667 0.09 2.25094185980611 0.773189888387328 -2.40794560865187
"Trichophorum alpinum" 9.51 0.145 0.203 2.2523438765573 -1.93102153656156 -1.59454929994035
"Salix reticulata" 9.606687696 0.0825 0.1525 2.26245949093626 -2.4949569856415 -1.88059068293467
"Salix fragilis" 9.610710776 10.66666667 0.117 2.26287818236993 2.36712361444412 -2.14558134418438
