Trait-Service	Biomass Production	Soil Fertility	Erosion Control	Climate Regulation	Fodder Quality	Aesthetic Appeal	Water Regulation	Pollination	Recreation Heritage	Biocontrol	Water Purification
Leaf nitrogen content (LNC)	0.5	0.42	-0.5	0.5	0.5	-0.33	0	0	-1	-0.67	-1
Plant height (VPH)	0.5	0.66	0	0.5	-0.5	-0.75	-1	0	-1	0	0
Specific leaf area (SLA)	0.57	-0.06	-0.5	-0.25	1	1	-1	0	0	0	-1
Leaf dry matter content (LDMC)	-0.5	0.17	0.33	0.8	-1	-1	0	0	0	0	0
Plant C/N	0	-1	0	1	1	0	0	1	0	0	0
Root depth	0	1	-1	-1	0	0	1	0	0	0	0
Leaf phosphat content (LPC)	0.5	0.75	0	-1	0	1	0	0	0	0	0
Flowering duration	1	0	0	-1	0	1	0	0.33	0	0	0
Leaf area	0.33	0	0.5	0	0.5	0	1	0	0	0	0
Leaf Litter Mass	1	0	0	-1	0	0	1	0	0	0	0
Plant N content (Plant N)	-1	0.75	0	1	0	0	0	0	0	0	0
Leaf tensile strength	0	-1	0	0	0	0.33	0	0	-1	0	0
Leaf carbon content (LCC)	0.33	0.33	0	1	0	0	0	0	0	0	0
Root length	-1	0.25	0	1	0	0	0	0	0	0	0
Specific root length (SRL)	-1	0	0.25	-1	0	0	0	0	0	0	0
Lignin/N	0	0	-1	0	0	-1	0	0	-1	0	0
Root diameter	0.5	0	-0.67	1	0	0	0	0	0	0	0
Leaf toughness	0	0	0	0	-1	0	0	0	0	1	0
Root tissue density	1	0	0	1	0	0	0	0	0	0	0
Root/shoot	1	0	0	1	0	0	0	0	0	0	0
Stem dry matter content (StemDMC)	1	0	1	0	0	0	0	0	0	0	0
Stem specific density	0.66	0	0	0	0	0	-1	0	0	0	0
Canopy structure	0	0	0.66	0	0	0	1	0	0	0	0
Beginning of flowering	-0.33	0	0	0	0	-1	0	0	0	0	0
Nitrogen fixing capacity	0	0.5	0	0	1	0	0	0	0	0	0
Relative growth rate (RGR)	-1	-0.5	0	0	0	0	0	0	0	0	0
Plant dry mass	0	-0.2	0	-1	0	0	0	0	0	0	0
Leaf C/N	0.33	0.75	0	0	0	0	0	0	0	0	0
Flower color	0	0	0	0	0	1	0	0.5	0	0	0
Seed number	0	1	0	1	0	0	0	0	0	0	0
Growth form	0	0.13	0.6	0	0.17	0	0	0	0	0	0
Root N content (RootN)	0	0	1	0	0	0	0	0	0	0	0
Root dry matter content (RDMC)	0	-1	0	0	0	0	0	0	0	0	0
Plant height generative	-0.5	0	0	0	0	0	0	0	0	0	0
Flower pollination syndrom	0	0	0	0	0	0	0	0.5	0	0	0
Root distribution evenness	0.86	0	0	0	0	0	0	0	0	0	0
Root density	0	0	0.5	0	0	0	0	0	0	0	0
Percentage fine roots	0	0	0.75	0	0	0	0	0	0	0	0
Root Length Density	0	0	0.33	0	0	0	0	0	0	0	0
Seed mass	0	0	0	0	0	0	0	0	0	0	0
