name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology,l,t,k,f,fchange,r,n
Acer_platanoides,http://www.worldfloraonline.org/taxon/wfo-0000514884,NA,Sapindaceae,tree,NA,NA,NA,no,0,4,6,4,NA,NA,NA,NA
Achillea_millefolium,http://www.worldfloraonline.org/taxon/wfo-0000042097,na,Asteraceae,herb,NA,NA,NA,no,5420,8,NA,NA,4,NA,NA,5
Acinos_arvensis,http://www.worldfloraonline.org/taxon/wfo-0000320080,na,Lamiaceae,herb,NA,V,NA,no,5200,9,6,3,2,NA,5,1
Aegopodium_podagraria,http://www.worldfloraonline.org/taxon/wfo-0000521573,na,Apiaceae,herb,NA,NA,NA,no,3531,5,5,3,6,NA,7,8
Agrimonia_eupatoria,http://www.worldfloraonline.org/taxon/wfo-0001006654,na,Rosaceae,herb,NA,NA,NA,no,6111,7,6,4,4,NA,8,4
Agrostis_capillaris,http://www.worldfloraonline.org/taxon/wfo-0000841743,na,Poaceae,sub-grass,NA,NA,NA,no,5000,7,NA,3,NA,NA,4,4
Agrostis_gigantea,http://www.worldfloraonline.org/taxon/wfo-0000843693,na,Poaceae,top-grass,NA,NA,NA,no,5400,7,5,3,8,NA,7,6
Agrostis_stolonifera,http://www.worldfloraonline.org/taxon/wfo-0000844489,na,Poaceae,sub-grass,NA,NA,NA,no,3810,8,NA,5,NA,2,NA,5
Ajuga_reptans,http://www.worldfloraonline.org/taxon/wfo-0000935107,na,Lamiaceae,herb,NA,NA,NA,no,NA,6,NA,2,6,NA,6,6
Allium_oleraceum,http://www.worldfloraonline.org/taxon/wfo-0000756866,na,Amaryllidaceae,herb,NA,NA,NA,no,5300,7,6,4,3,NA,7,4
Allium_sativum,http://www.worldfloraonline.org/taxon/wfo-0000757248,na,Amaryllidaceae,herb,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA
Allium_scorodoprasum,http://www.worldfloraonline.org/taxon/wfo-0000757306,na,Amaryllidaceae,herb,NA,NA,3,no,8433,6,6,5,7,NA,7,7
Allium_vineale,http://www.worldfloraonline.org/taxon/wfo-0000757711,na,Amaryllidaceae,herb,NA,NA,NA,no,3311,5,7,3,4,NA,NA,7
Alopecurus_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000845656,na,Poaceae,top-grass,NA,NA,NA,no,5400,6,NA,5,6,NA,6,7
Angelica_sylvestris,http://www.worldfloraonline.org/taxon/wfo-0000536413,na,Apiaceae,herb,NA,NA,NA,no,5410,7,NA,4,8,NA,NA,NA
Anthericum_ramosum,http://www.worldfloraonline.org/taxon/wfo-0000760635,na,Asparagaceae,herb,BG,V,NA,no,6112,7,5,4,3,NA,7,3
Anthoxanthum_odoratum,http://www.worldfloraonline.org/taxon/wfo-0000848178,na,Poaceae,sub-grass,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,5,NA
Anthriscus_sylvestris,http://www.worldfloraonline.org/taxon/wfo-0000538692,na,Apiaceae,herb,NA,NA,NA,no,5420,7,NA,5,5,NA,NA,8
Anthyllis_vulneraria,http://www.worldfloraonline.org/taxon/wfo-0000212115,na,Fabaceae,legume,NA,NA,NA,no,5320,8,6,3,3,NA,7,2
Arabis_hirsuta,http://www.worldfloraonline.org/taxon/wfo-0000542279,na,Brassicaceae,herb,NA,V,NA,no,5320,7,5,3,4,1,8,NA
Arenaria_serpyllifolia,http://www.worldfloraonline.org/taxon/wfo-0000546651,na,Caryophyllaceae,herb,NA,NA,NA,no,NA,8,NA,NA,4,NA,7,NA
Arrhenatherum_elatius,http://www.worldfloraonline.org/taxon/wfo-0000849608,na,Poaceae,top-grass,NA,NA,NA,no,5421,8,5,3,5,NA,7,7
Artemisia_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000115588,na,Asteraceae,herb,NA,NA,NA,no,3500,7,6,NA,6,NA,NA,8
Astragalus_glycyphyllos,http://www.worldfloraonline.org/taxon/wfo-0000213564,na,Fabaceae,legume,NA,NA,NA,no,6110,6,6,4,4,NA,7,3
Avena_fatua,http://www.worldfloraonline.org/taxon/wfo-0000851838,NA,Poaceae,grass,NA,NA,NA,no,0,6,6,6,5,no,7,NA
Barbarea_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000560064,na,Brassicaceae,herb,NA,NA,NA,no,3811,8,6,3,6,NA,NA,6
Bellis_perennis,http://www.worldfloraonline.org/taxon/wfo-0000072578,na,Asteraceae,herb,NA,NA,NA,no,5420,8,NA,2,5,NA,NA,6
Betula_pendula,http://www.worldfloraonline.org/taxon/wfo-0000335449,NA,Betulaceae,tree,NA,NA,NA,no,0,7,NA,NA,NA,NA,NA,NA
Brassicaceae,http://www.worldfloraonline.org/taxon/wfo-7000000082,NA,Brassicaceae,herb,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Brachypodium_pinnatum,http://www.worldfloraonline.org/taxon/wfo-0000854513,na,Poaceae,top-grass,NA,NA,NA,no,5300,6,6,5,4,NA,7,4
Brachypodium_sylvaticum,http://www.worldfloraonline.org/taxon/wfo-0000854603,na,Poaceae,top-grass,NA,NA,NA,no,0,3,5,3,5,NA,6,6
Brassica_rapa,http://www.worldfloraonline.org/taxon/wfo-0000571544,na,Brassicaceae,herb,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA
Briza_media,http://www.worldfloraonline.org/taxon/wfo-0000854755,na,Poaceae,sub-grass,NA,NA,NA,no,5000,8,NA,3,NA,NA,NA,2
Bromus_erectus,http://www.worldfloraonline.org/taxon/wfo-0000855493,na,Poaceae,top-grass,NA,NA,NA,no,5320,8,5,2,3,NA,8,3
Bromus_hordeaceus,http://www.worldfloraonline.org/taxon/wfo-0000855692,na,Poaceae,top-grass,NA,NA,NA,no,NA,7,6,4,NA,1,NA,3
Bromus_inermis,http://www.worldfloraonline.org/taxon/wfo-0000855743,na,Poaceae,top-grass,NA,NA,NA,no,NA,8,NA,7,4,1,8,5
Bromus_sterilis,http://www.worldfloraonline.org/taxon/wfo-0000856589,na,Poaceae,sub-grass,NA,NA,NA,no,3331,7,6,4,4,NA,NA,5
Calamagrostis_epigejos,http://www.worldfloraonline.org/taxon/wfo-0000857259,na,Poaceae,top-grass,NA,NA,NA,no,NA,7,5,7,NA,1,NA,6
Calystegia_sepium,http://www.worldfloraonline.org/taxon/wfo-0001296723,na,Convolvulaceae,herb,NA,NA,NA,no,3520,8,6,5,6,NA,7,9
Campanula_glomerata,http://www.worldfloraonline.org/taxon/wfo-0000827269,na,Campanulaceae,herb,NA,3,NA,no,5300,7,NA,7,4,NA,7,NA
Campanula_patula,http://www.worldfloraonline.org/taxon/wfo-0000828061,na,Campanulaceae,herb,NA,V,NA,no,5421,8,6,4,5,NA,7,5
Campanula_rapunculoides,http://www.worldfloraonline.org/taxon/wfo-0000828416,na,Campanulaceae,herb,NA,NA,NA,no,6112,6,6,4,4,NA,7,4
