name,nomenclature,nameTraits,layer,lifeform,lifeformEllenberg,legal,rlg,rlb,neophyte,continuity
Acer_pseudoplatanus,http://www.worldfloraonline.org/taxon/wfo-0000514908,Acer_pseudoplatanus,tree,wood,P,NA,NA,NA,no,6
Alnus_incana,http://www.worldfloraonline.org/taxon/wfo-0000945749,Alnus_incana,tree,wood,P,NA,NA,NA,no,15
Cornus_sanguinea,http://www.worldfloraonline.org/taxon/wfo-0000924828,Cornus_sanguinea,tree,wood,N,NA,NA,NA,no,2
Crataegus_monogyna,http://www.worldfloraonline.org/taxon/wfo-0001009785,Crataegus_monogyna,tree,wood,N.P,NA,NA,NA,no,1
Euonymus_europaeus,http://www.worldfloraonline.org/taxon/wfo-0000681728,Euonymus_europaeus,tree,wood,N,NA,NA,NA,no,1
Fraxinus_excelsior,http://www.worldfloraonline.org/taxon/wfo-0000832453,Fraxinus_excelsior,tree,wood,P,NA,NA,NA,no,13
Lonicera_xylosteum,http://www.worldfloraonline.org/taxon/wfo-0000361644,Lonicera_xylosteum,tree,wood,N,NA,NA,NA,no,1
Picea_abies,http://www.worldfloraonline.org/taxon/wfo-0000482030,Picea_abies,tree,wood,P,NA,NA,NA,no,3
Prunus_padus,http://www.worldfloraonline.org/taxon/wfo-0001008273,Prunus_padus,tree,wood,P.N,NA,NA,NA,no,1
Salix_alba,http://www.worldfloraonline.org/taxon/wfo-0000929085,Salix_alba,tree,wood,P,NA,NA,NA,no,3
Salix_alba_x_eleagnos,NA,Salix_alba_x_eleagnos,tree,wood,NA,NA,NA,NA,NA,5
Salix_eleagnos,http://www.worldfloraonline.org/taxon/wfo-0000928552,Salix_eleagnos,tree,wood,N,NA,NA,NA,no,2
Ulmus_glabra,http://www.worldfloraonline.org/taxon/wfo-0000416717,Ulmus_glabra,tree,wood,P,NA,NA,NA,no,7
Acer_pseudoplatanus,http://www.worldfloraonline.org/taxon/wfo-0000514908,Acer_pseudoplatanus,shrub,wood,P,NA,NA,NA,no,5
Alnus_incana,http://www.worldfloraonline.org/taxon/wfo-0000945749,Alnus_incana,shrub,wood,P,NA,NA,NA,no,8
Cornus_sanguinea,http://www.worldfloraonline.org/taxon/wfo-0000924828,Cornus_sanguinea,shrub,wood,N,NA,NA,NA,no,12
Corylus_avellana,http://www.worldfloraonline.org/taxon/wfo-0000925259,Corylus_avellana,shrub,wood,N,NA,NA,NA,no,1
