plot,site,latitude,longitude,elevation,plot_size,exposition,orientation,sand_ratio,substrate_depth,target_type,seed_density,survey_date.seeded,survey_date.2018,survey_date.2019,survey_date.2020,survey_date.2021,botanist.2018,botanist.2019,botanist.2020,botanist.2021,vegetation_cover.2018,vegetation_cover.2019,vegetation_cover.2020,vegetation_cover.2021,biomass.2019
L1_01,1,4883856,1287752,314,6,south,land,0,15,hay_meadow,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,80,70,70,70,NA
L1_02,1,4883856,1287752,314,6,south,land,0,15,dry_grassland,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,65,50,60,80,NA
L1_03,1,4883856,1287752,314,6,south,land,0,15,dry_grassland,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,70,60,80,50,NA
L1_04,1,4883856,1287752,314,6,south,land,0,15,hay_meadow,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,80,60,60,50,NA
L1_05,1,4883856,1287752,314,6,south,land,25,15,hay_meadow,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,30,60,70,70,NA
L1_06,1,4883856,1287752,314,6,south,land,25,15,dry_grassland,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,50,70,80,90,NA
L1_07,1,4883856,1287752,314,6,south,land,25,15,hay_meadow,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,70,80,80,NA
L1_08,1,4883856,1287752,314,6,south,land,25,15,dry_grassland,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,85,70,65,70,NA
L1_09,1,4883856,1287752,314,6,south,land,50,15,hay_meadow,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,50,60,65,90,NA
L1_10,1,4883856,1287752,314,6,south,land,50,15,hay_meadow,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,65,70,80,NA
L1_11,1,4883856,1287752,314,6,south,land,50,15,dry_grassland,4,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,85,70,75,90,NA
L1_12,1,4883856,1287752,314,6,south,land,50,15,dry_grassland,8,2018-04-27,2018-07-21,2019-06-26,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,90,80,90,NA
L1_13,1,4883856,1287752,314,6,south,land,0,30,dry_grassland,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,80,85,80,NA
L1_14,1,4883856,1287752,314,6,south,land,0,30,hay_meadow,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,60,80,80,90,NA
L1_15,1,4883856,1287752,314,6,south,land,0,30,dry_grassland,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,75,70,55,90,NA
L1_16,1,4883856,1287752,314,6,south,land,0,30,hay_meadow,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,50,80,75,90,NA
L1_17,1,4883856,1287752,314,6,south,land,25,30,hay_meadow,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,60,70,70,80,NA
L1_18,1,4883856,1287752,314,6,south,land,25,30,dry_grassland,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,50,80,70,80,NA
L1_19,1,4883856,1287752,314,6,south,land,25,30,dry_grassland,8,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,50,80,75,90,NA
