id,block,location,latitude,longitude,river_km,orientation,exposition,construction_year,survey_date.2017,survey_date.2018,survey_date.2019,survey_date.2021,botanist.2017,botanist.2018,botanist.2019,botanist.2021,opensoil_cover.2017,opensoil_cover.2018,opensoil_cover.2019,opensoil_cover.2021,moss_cover.2017,moss_cover.2018,moss_cover.2019,moss_cover.2021,litter_cover.2017,litter_cover.2018,litter_cover.2019,litter_cover.2021,vegetation_cover.2017,vegetation_cover.2018,vegetation_cover.2019,vegetation_cover.2021,vegetation_height.2017,vegetation_height.2018,vegetation_height.2019,vegetation_height.2021,calciumcarbonat,c_organic,n_total_ratio,cn_ratio,ph,sand,silt,clay,phosphorus,potassium,magnesium,topsoil_depth,sceleton_ratio_volume
01_m,1,Parkstetten-Reibersdorf,5418661,4543914,2318,water,south,2008,NA,2018-06-12,2019-06-13,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,5,80,60,10,2,1,10,10,35,15,30,40,80,60,70,80,50,NA,70,40,35.8,2.108,0.235,9,7.38,38.4,44.2,17.4,4,7,16,22,7
02_m,1,Parkstetten-Reibersdorf,5418670,4543912,2318,land,north,2008,NA,2018-06-12,2019-06-13,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,1,10,25,10,70,60,60,60,20,30,15,10,80,75,70,70,30,60,60,30,27.4,1.804,0.193,9.3,7.37,48.5,36.5,15,3,6,14,14,40
03_m,2,Parkstetten-Reibersdorf,5418627,4544901,2317,water,south,2008,NA,2018-06-12,2019-06-13,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,15,80,80,40,10,5,5,4,65,15,15,10,70,35,50,50,40,40,60,30,36.2,1.474,0.174,8.5,7.46,45.5,39.3,15.2,1,6,15,11,11
04_m,2,Parkstetten-Reibersdorf,5418639,4544901,2317,land,north,2008,NA,2018-06-12,NA,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,20,40,30,10,40,20,50,40,35,35,20,20,40,50,50,50,10,40,NA,20,20,1.48,0.142,10.4,7.43,65.3,24.6,10.1,3,6,11,13,47
05_m,3,Oebling,5418126,4545832,2316,water,south,2012,NA,2018-06-14,2019-06-13,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,20,40,70,60,50,15,10,10,25,40,20,4,60,30,65,30,35,30,40,10,41.4,2.053,0.272,7.5,7.47,25.5,54.8,19.7,5,5,15,17,4
06_m,3,Oebling,5418139,4545833,2316,land,north,2012,NA,2018-06-14,NA,2021-06-30,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,40,25,5,2,10,5,35,40,40,65,60,20,50,70,80,70,30,40,50,20,45.7,1.579,0.213,7.4,7.44,24.4,56.9,18.7,11,5,14,18,0
07_m,4,Oebling,5418383,4546097,2316,water,east,2012,NA,2018-06-14,2019-06-13,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,50,NA,75,NA,20,NA,5,NA,20,NA,20,NA,40,NA,65,NA,20,NA,60,NA,44.2,1.805,0.242,7.5,7.45,16.2,62.2,21.6,6,6,16,16,0
08_m,4,Oebling,5418387,4546085,2316,land,west,2012,NA,2018-06-14,2019-06-13,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,Jakob_Huber,Jakob_Huber_Linda_Weggler,NA,70,50,60,NA,1,20,10,NA,20,30,30,NA,40,30,70,NA,30,30,55,NA,40.3,1.75,0.225,7.8,7.42,30.1,50.8,19.1,10,6,14,17,18
09_m,5,Oebling,5417317,4546913,2314,water,south,2010,NA,2018-06-14,2019-06-13,2021-07-01,Jakob_Huber_Leonardo_Teixeira,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,5,10,5,4,5,20,50,30,80,70,45,30,45,60,50,70,50,80,80,20,7.8,2.599,0.285,9.1,7.28,24.8,41.2,34,10,7,21,18,8
10_m,5,Oebling,5417329,4546909,2314,land,north,2010,NA,2018-06-14,NA,2021-07-01,Jakob_Huber_Leonardo_Teixeira,Jakob_Huber,Jakob_Huber_Linda_Weggler,Markus Bauer,20,40,60,4,0,0,0,70,70,55,40,30,30,50,60,70,50,40,60,20,10.7,2.655,0.293,9.1,7.33,25.3,41.6,33.1,13,11,23,17,8
