Art;Pflanzenfamilie;RL_DE;RL_BY;Bluehpflanze;Farbe;Flower_class;flowertype;Bluehstart;Bluehende;Wuchshoehe_min;Wuchshoehe_max;Raupenpflanze;Voegel;N_Zeigerwerte;rel_HFG
Acer_campestre;Sapindaceae;*;*;1;gelb;nectar present;disk;5;6;;;m, g;0;6;
Achillea_millefolium;Asteraceae;*;*;1;weiß;nectar present;head;6;10;0.3;0.6;m, g;0;5;78.25
Acinos_arvensis;Lamiaceae;V;V;1;blau;nectar present;lip;6;9;0.1;0.3;NA;0;1;33.95
Aegopodium_podagraria;Apiaceae;*;*;1;weiß;nectar present;disk;6;7;0.5;0.9;x;0;8;95.51
Agrimonia_eupatoria;Rosaceae;*;*;1;gelb;pollen plenty;disk;6;9;0.3;1;NA;0;4;72.75
Agrostis_gigantea;Poaceae;*;*;0;NA;nectar none;NA;6;7;0.4;1.2;x;0;6;41.33
Agrostis_stolonifera;Poaceae;*;*;0;NA;nectar none;NA;6;7;0.1;0.7;x;0;5;74.21
Alnus_glutinosa;Betulaceae;*;*;0;NA;nectar none;NA;3;4;;;g;0;;
Alopecurus_myosuroides;Poaceae;*;V;0;NA;nectar none;NA;5;10;0.2;0.45;NA;0;6;38.56
Alopecurus_pratensis;Poaceae;*;*;0;NA;nectar none;NA;5;6;0.4;1;g;0;7;93.06
Amaranthus_retroflexus;Amaranthaceae;NA;*;0;NA;nectar none;NA;7;9;0.15;1;NA;3;7;46.81
Ambrosia_artemisiifolia;Asteraceae;NA;*;0;NA;pollen plenty;NA;8;10;0.5;1;NA;0;6;8.83
Anthriscus_sylvestris;Apiaceae;*;*;1;weiß;nectar present;disk;5;8;0.6;1.5;x;0;8;94.69
Arctium_lappa;Asteraceae;*;*;1;pink;nectar present;head;7;8;0.8;1.5;x;2;9;62.76
Arctium_minus;Asteraceae;*;*;1;pink;k.A.;head;7;9;0.5;1.3;x;2;8;70.12
Arctium_tomentosum;Asteraceae;*;*;1;pink;nectar present;head;7;9;0.6;1.2;NA;2;9;45.6
Arenaria_serpyllifolia;Caryophyllaceae;*;*;1;weiß;nectar present;disk;5;9;0.03;0.3;NA;0;;87.51
Arrhenatherum_elatius;Poaceae;*;*;0;NA;nectar none;NA;6;10;0.6;1.2;x;0;7;94.72
Artemisia_vulgaris;Asteraceae;*;*;0;gelb;nectar none;NA;7;11;0.6;1.5;g;0;8;93.21
Atriplex_patula;Chenopodiaceae;*;*;0;andere;k.A.;NA;7;10;0.3;1.2;x;0;7;84.98
Avena_fatua;Poaceae;*;*;0;NA;nectar none;NA;6;8;0.6;1.2;NA;0;;53.01
Bellis_perennis;Asteraceae;*;*;1;weiß;nectar present;head;1;11;0.03;0.15;g;0;6;94.94
Brassica_napus;Brassicaceae;NA;*;1;gelb;nectar present;disk;4;9;1;1.4;x;3;;
Bromus_hordeaceus;Poaceae;*;*;0;NA;nectar none;NA;5;8;0.05;0.8;NA;0;3;87.41
Bromus_inermis;Poaceae;*;*;0;NA;nectar none;NA;6;7;0.3;1;NA;0;5;75.03
Bromus_sterilis;Poaceae;*;*;0;NA;nectar none;NA;5;6;0.15;1;NA;0;5;69.67
Bunias_orientalis;Brassicaceae;NA;*;1;gelb;nectar present;disk;5;8;0.25;1.2;NA;0;5;21.21
