no,plotTemp,plot,block,year,site,easting,northing,date,barrier,barrierriverKm,plotriverKm,treatment,plotSize,habitatType,shrubHeight,shrubCover,herbHeight,herbCover,mossCover,soilCover,substrate,slope,ph
1,katu1,atu1,katu,Control,Rottmündung,4511837,5314123,2014-07-08,Wasserburg,158.9,na,Embankment removal,2,Reed,0,0,120,100,0,0,na,na,5
2,katu2,atu2,katu,Control,Rottmündung,4511837,5314081,2014-07-08,Wasserburg,158.9,na,Embankment removal,2,Reed,0,0,120,100,40,0,na,na,5
3,katu3,atu3,katu,Control,Rottmündung,4511836,5314141,2014-07-08,Wasserburg,158.9,na,Embankment removal,2,Reed,0,0,200,100,0.1,0,na,na,5
4,katu4,atu4,katu,Control,Rottmündung,4511827,5314181,2014-07-08,Wasserburg,158.9,na,Embankment removal,2,Reed,0,0,150,100,60,0,na,na,5.5
5,katu5,atu5,katu,Control,Rottmündung,4511828,5314203,2014-07-08,Wasserburg,158.9,na,Embankment removal,2,Reed,0,0,200,100,5,0,na,na,5
6,kheu1,heu1,kheu,Control,Hechtloch,4519838,5333366,2014-08-06,Wasserburg,137.5,na,Embankment removal,2,Reed,0,0,40,100,0,0,na,na,5
7,kheu2,heu2,kheu,Control,Hechtloch,4519821,5333381,2014-08-06,Wasserburg,137.5,na,Embankment removal,2,Reed,0,0,60,100,0,0,na,na,5.5
8,kheu3,heu3,kheu,Control,Hechtloch,4519861,5333349,2014-08-06,Wasserburg,137.5,na,Embankment removal,2,Reed,0,0,50,95,2.5,1,na,na,5.5
9,kheu4,heu4,kheu,Control,Hechtloch,4519874,5333345,2014-08-06,Wasserburg,137.5,na,Embankment removal,2,Reed,0,0,60,100,2.5,2.5,na,na,6
10,kheu5,heu5,kheu,Control,Hechtloch,4519882,5333345,2014-08-06,Wasserburg,137.5,na,Embankment removal,2,Reed,0,0,110,100,0.1,2.5,na,na,5.5
11,krou1,rou1,krou,Control,Attler_Au,4513392,5320506,2014-08-05,Wasserburg,158.9,na,Embankment removal,2,Reed,0,0,30,80,0,20,na,na,6
12,krou2,rou2,krou,Control,Attler_Au,4513381,5320506,2014-08-05,Wasserburg,158.9,na,Embankment removal,2,Reed,0,0,15,90,0,15,na,na,6
13,krou3,rou3,krou,Control,Attler_Au,4513400,5320510,2014-08-05,Wasserburg,158.9,na,Embankment removal,2,Reed,0,0,10,60,0,40,na,na,6
14,krou4,rou4,krou,Control,Attler_Au,4513404,5320515,2014-08-05,Wasserburg,158.9,na,Embankment removal,2,Reed,0,0,15,70,0,2.5,na,na,6
15,krou5,rou5,krou,Control,Attler_Au,4513409,5320517,2014-08-05,Wasserburg,158.9,na,Embankment removal,2,Reed,0,0,60,50,0,60,na,na,6.5
16,katk1,atk1,katk,Control,Rottmündung,4511837,5314123,2014-07-08,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,120,100,0,0,na,na,5
17,katk2,atk2,katk,Control,Rottmündung,4511837,5314081,2014-07-08,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,120,100,40,0,na,na,5
18,katk3,atk3,katk,Control,Rottmündung,4511836,5314141,2014-07-08,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,200,100,0.1,0,na,na,5
19,katk4,atk4,katk,Control,Rottmündung,4511827,5314181,2014-07-08,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,150,100,60,0,na,na,5.5
20,katk5,atk5,katk,Control,Rottmündung,4511828,5314203,2014-07-08,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,200,100,5,0,na,na,5
21,klak1,lak1,klak,Control,Laimbachmündung,4514377,5320760,2014-08-05,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,40,40,90,10,na,na,5.5
22,klak2,lak2,klak,Control,Laimbachmündung,4514377,5320768,2014-08-05,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,40,50,50,70,na,na,5.5
23,klak3,lak3,klak,Control,Laimbachmündung,4514378,5320771,2014-08-05,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,50,70,1,80,na,na,5.5
24,klak4,lak4,klak,Control,Laimbachmündung,4514522,5320950,2014-08-05,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,30,60,30,50,na,na,5
25,klak5,lak5,klak,Control,Laimbachmündung,4514519,5320958,2014-08-05,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,60,90,2.5,2.5,na,na,5
26,krok1,rok1,krok,Control,Attler_Au,4513392,5320506,2014-08-05,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,30,80,0,20,na,na,6
27,krok2,rok2,krok,Control,Attler_Au,4513381,5320506,2014-08-05,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,15,90,0,15,na,na,6
28,krok3,rok3,krok,Control,Attler_Au,4513400,5320510,2014-08-05,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,10,60,0,40,na,na,6
29,krok4,rok4,krok,Control,Attler_Au,4513404,5320515,2014-08-05,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,15,70,0,2.5,na,na,6
30,krok5,rok5,krok,Control,Attler_Au,4513409,5320517,2014-08-05,Wasserburg,158.9,na,Gravel supply,2,Reed,0,0,60,50,0,60,na,na,6.5
31,kfrs1,frs1,kfrs,Control,Freihamer_Au,4514378,5320771,2014-08-18,Wasserburg,158.9,na,Sand supply,2,Reed,0,0,170,100,40,40,na,na,6
32,kfrs2,frs2,kfrs,Control,Freihamer_Au,4514378,5320771,2014-08-18,Wasserburg,158.9,na,Sand supply,2,Reed,0,0,190,90,10,30,na,na,6
33,kfrs3,frs3,kfrs,Control,Freihamer_Au,4514378,5320771,2014-08-18,Wasserburg,158.9,na,Sand supply,2,Reed,0,0,260,100,2.5,10,na,na,6
34,kfrs4,frs4,kfrs,Control,Freihamer_Au,4514378,5320771,2014-08-18,Wasserburg,158.9,na,Sand supply,2,Reed,0,0,170,100,0,0,na,na,6
35,kfrs5,frs5,kfrs,Control,Freihamer_Au,4514378,5320771,2014-08-18,Wasserburg,158.9,na,Sand supply,2,Reed,0,0,160,100,10,10,na,na,6
36,kvos1,vos1,kvos,Control,Vorderleiten,4517812,5328681,2014-08-05,Teufelsbruck,147.2,na,Sand supply,2,Reed,0,0,100,100,0,0,na,na,6
37,kvos2,vos2,kvos,Control,Vorderleiten,4517814,5328673,2014-08-05,Teufelsbruck,147.2,na,Sand supply,2,Reed,0,0,170,100,0,0,na,na,6
38,kvos3,vos3,kvos,Control,Vorderleiten,4517807,5328665,2014-08-05,Teufelsbruck,147.2,na,Sand supply,2,Reed,0,0,180,100,0,0,na,na,6
39,kvos4,vos4,kvos,Control,Vorderleiten,4517810,5328653,2014-08-05,Teufelsbruck,147.2,na,Sand supply,2,Reed,0,0,120,100,5,0,na,na,6
40,kvos5,vos5,kvos,Control,Vorderleiten,4517808,5328641,2014-08-05,Teufelsbruck,147.2,na,Sand supply,2,Reed,0,0,120,100,0,0,na,na,6
41,kwis1,wis1,kwis,Control,Wies,4517999,5329647,2014-08-04,Teufelsbruck,147.2,na,Sand supply,2,Reed,0,0,180,100,2.5,0,na,na,5.5
42,kwis2,wis2,kwis,Control,Wies,4518014,5329662,2014-08-04,Teufelsbruck,147.2,na,Sand supply,2,Reed,0,0,200,100,2.5,0,na,na,6
43,kwis3,wis3,kwis,Control,Wies,4518007,5329653,2014-08-04,Teufelsbruck,147.2,na,Sand supply,2,Reed,0,0,170,100,0,0,na,na,5.5
44,kwis4,wis4,kwis,Control,Wies,4518002,5329636,2014-08-04,Teufelsbruck,147.2,na,Sand supply,2,Reed,0,0,180,100,1,0,na,na,5.5
45,kwis5,wis5,kwis,Control,Wies,4518002,5329634,2014-08-04,Teufelsbruck,147.2,na,Sand supply,2,Reed,0,0,200,90,0,0,na,na,5.5
46,14atu1,atu1,atu,2014,Attler_Au,4513768,5320704,2014-06-18,Wasserburg,158.9,165,Embankment removal,1,pioneer_veg,0,0,15,20,0,90,Sand,very_steep,6
