year_site_plot,year,region,site,plot,treatment_original,treatment_weightedMonth,mean_temp_3month,mean_precip_3month,mean_temp_year_DWD,mean_precip_year_DWD,temp_longterm,precip_longterm,altitude,grassland_number,soil_type,soil_type_agrolab,pH,phosphorus,potassium,magnesium,organic_substance,N_total_percent,CN_relation
2017_BL_1,2017,BL,BL,BL_1,Blue,high,16.3,na,na,na,7.9,945,616,41,Pseudogley,MhSOM,5.6,12,25,36,20.1,0.97,12
2017_BL_5,2017,BL,BL,BL_5,White,medium,16.3,na,na,na,7.9,945,616,41,Pseudogley,MhSOM,5.6,12,25,36,20.1,0.97,12
2017_BL_6,2017,BL,BL,BL_6,Brown,low,16.3,na,na,na,7.9,945,616,41,Pseudogley,MhSOM,5.6,12,25,36,20.1,0.97,12
2017_AR_1,2017,AR,AR,AR_1,Blue,high,12.23,118,8.11,na,6.8,1024,736,34,Braunerde,MhSOM,5.3,9,28,31.5,27.7,1.38,12
2017_AR_5,2017,AR,AR,AR_5,White,medium,12.23,118,8.11,na,6.8,1024,736,34,Braunerde,MhSOM,5.3,9,28,31.5,27.7,1.38,12
2017_AR_6,2017,AR,AR,AR_6,Brown,low,12.23,118,8.11,na,6.8,1024,736,34,Braunerde,MhSOM,5.3,9,28,31.5,27.7,1.38,12
2017_WM_1,2017,OY,WM,WM_1,Blue,high,11.7,133,7.73,1756.8,5.9,1054,976,43,kalkhaltiger_Gley,MhSOM,6,12,25,35,16.6,0.86,11
2017_WM_5,2017,OY,WM,WM_5,White,medium,11.7,133,7.73,1756.8,5.9,1054,976,43,kalkhaltiger_Gley,MhSOM,6,12,25,35,16.6,0.86,11
2017_WM_6,2017,OY,WM,WM_6,Brown,low,11.7,133,7.73,1756.8,5.9,1054,976,43,kalkhaltiger_Gley,MhSOM,6,12,25,35,16.6,0.86,11
2017_SB_1,2017,OY,SB,SB_1,Blue,high,11.7,133,7.73,1756.8,5.9,1054,976,34,Braunerde-Pseudogley,MhSOM,6.1,12,26,35.3,17.7,0.87,12
2017_SB_5,2017,OY,SB,SB_5,White,medium,11.7,133,7.73,1756.8,5.9,1054,976,34,Braunerde-Pseudogley,MhSOM,6.1,12,26,35.3,17.7,0.87,12
2017_SB_6,2017,OY,SB,SB_6,Brown,low,11.7,133,7.73,1756.8,5.9,1054,976,34,Braunerde-Pseudogley,MhSOM,6.1,12,26,35.3,17.7,0.87,12
2017_WH_1,2017,WH,WH,WH_1,Blue,high,11.7,133,7.73,1756.8,6.9,1022,716,31,Gley,MhSOM,5.8,12,27,34.5,23.9,1.07,13
2017_WH_5,2017,WH,WH,WH_5,White,medium,11.7,133,7.73,1756.8,6.9,1022,716,31,Gley,MhSOM,5.8,12,27,34.5,23.9,1.07,13
2017_WH_6,2017,WH,WH,WH_6,Brown,low,11.7,133,7.73,1756.8,6.9,1022,716,31,Gley,MhSOM,5.8,12,27,34.5,23.9,1.07,13
2017_RB_1,2017,RB,RB,RB_1,Blue,high,11.7,133,7.73,1756.8,6.6,1037,801,23,Anmoorgley,MhSOM,5.3,7,35,28.8,22.8,1.26,10
2017_RB_5,2017,RB,RB,RB_5,White,medium,11.7,133,7.73,1756.8,6.6,1037,801,23,Anmoorgley,MhSOM,5.3,7,35,28.8,22.8,1.26,10
2017_RB_6,2017,RB,RB,RB_6,Brown,low,11.7,133,7.73,1756.8,6.6,1037,801,23,Anmoorgley,MhSOM,5.3,7,35,28.8,22.8,1.26,10
2017_UJ_1,2017,UJ,UJ,UJ_1,Blue,high,11.61,152.9,7.19,1963.3,5.7,1046,1030,12,Braunerde,MhSOM,5.3,21,33,32.1,17.1,0.85,12
2017_UJ_5,2017,UJ,UJ,UJ_5,White,medium,11.61,152.9,7.19,1963.3,5.7,1046,1030,12,Braunerde,MhSOM,5.3,21,33,32.1,17.1,0.85,12
2017_UJ_6,2017,UJ,UJ,UJ_6,Brown,low,11.61,152.9,7.19,1963.3,5.7,1046,1030,12,Braunerde,MhSOM,5.3,21,33,32.1,17.1,0.85,12
2020_BL_1,2020,BL,BL,BL_1,Blue,high,12.6,na,na,na,7.9,945,616,41,Pseudogley,MhSOM,5.6,12,25,36,20.1,0.97,12
2020_BL_5,2020,BL,BL,BL_5,White,medium,12.6,na,na,na,7.9,945,616,41,Pseudogley,MhSOM,5.6,12,25,36,20.1,0.97,12
2020_BL_6,2020,BL,BL,BL_6,Brown,low,12.6,na,na,na,7.9,945,616,41,Pseudogley,MhSOM,5.6,12,25,36,20.1,0.97,12
2020_AR_1,2020,AR,AR,AR_1,Blue,high,11.8,123.2,8.76,1259,6.8,1024,736,34,Braunerde,MhSOM,5.3,9,28,31.5,27.7,1.38,12
2020_AR_5,2020,AR,AR,AR_5,White,medium,11.8,123.2,8.76,1259,6.8,1024,736,34,Braunerde,MhSOM,5.3,9,28,31.5,27.7,1.38,12
2020_AR_6,2020,AR,AR,AR_6,Brown,low,11.8,123.2,8.76,1259,6.8,1024,736,34,Braunerde,MhSOM,5.3,9,28,31.5,27.7,1.38,12
2020_WM_1,2020,OY,WM,WM_1,Blue,high,11.3,128,8.48,1365.1,5.9,1054,976,43,kalkhaltiger_Gley,MhSOM,6,12,25,35,16.6,0.86,11
2020_WM_5,2020,OY,WM,WM_5,White,medium,11.3,128,8.48,1365.1,5.9,1054,976,43,kalkhaltiger_Gley,MhSOM,6,12,25,35,16.6,0.86,11
2020_WM_6,2020,OY,WM,WM_6,Brown,low,11.3,128,8.48,1365.1,5.9,1054,976,43,kalkhaltiger_Gley,MhSOM,6,12,25,35,16.6,0.86,11
2020_SB_1,2020,OY,SB,SB_1,Blue,high,11.3,128,8.48,1365.1,5.9,1054,976,34,Braunerde-Pseudogley,MhSOM,6.1,12,26,35.3,17.7,0.87,12
2020_SB_5,2020,OY,SB,SB_5,White,medium,11.3,128,8.48,1365.1,5.9,1054,976,34,Braunerde-Pseudogley,MhSOM,6.1,12,26,35.3,17.7,0.87,12
2020_SB_6,2020,OY,SB,SB_6,Brown,low,11.3,128,8.48,1365.1,5.9,1054,976,34,Braunerde-Pseudogley,MhSOM,6.1,12,26,35.3,17.7,0.87,12
2020_WH_1,2020,WH,WH,WH_1,Blue,high,11.3,128,8.48,1365.1,6.9,1022,716,31,Gley,MhSOM,5.8,12,27,34.5,23.9,1.07,13
