SPECIES_NR;LETTERCODE;ABBREVIAT;RANG;GRUPPE;GATT_NAME;FAMILY;Z_OEK_L;OEK_L;Z_OEK_T;OEK_T;Z_OEK_K;OEK_K;Z_OEK_F;OEK_F;WASSERREGI;Z_OEK_R;OEK_R;Z_OEK_N;OEK_N;Z_OEK_S;OEK_S;Z_OEK_TO;OEK_TO;Z_OEK_SU;OEK_SU;Z_OEK_SON;OEK_SON;Z_LF_LEB;LF_LEB;Z_LF_B;LF_B;WUCHS_1;WUCHS_2;WUCHS_3;Z_SZ_V_GR;SZ_VERH_GR;Z_SZ_V_K;SZ_VERH_K;Z_SZ_O;SZ_O;Z_SZ_V;SZ_V;Z_SZ_U;SZ_U;Arealforme;Vorkommen;HEMEROBIE;Gilde;Mahdvertra;Weidevertr;Trittvertr;Futterwert;FutterDamw;Waldart_D
1;ABISALB;Abies alba;SPE;S;Abies;Pinaceae;;3;;5;;4;x;0;;x;0;x;0;;0;;;;;;;;P;;I;;;;;0;;0;;0;;0;;0;;;o;;0;0;0;0;0;B1.1
2;ABTLTHE;Abutilon theophrasti;SPE;S;Abutilon;Malvaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;p;;0;0;0;0;0;
6;ACERCAM;Acer campestre;SPE;S;Acer;Aceraceae;;5;;6;;4;;5;;;7;;6;;0;;;;;;;;P;;S;;;;;8;;4;;1;;0;;0;;;om;;0;0;0;0;0;B2.1
7;ACERMON;Acer monspessulanum;SPE;S;Acer;Aceraceae;;6;;8;;4;;3;;;8;;4;;0;;;;;;;;P;;S;;;;;8;;4;;2;;0;;0;;;;;0;0;0;0;0;B2.1
8;ACERNEG;Acer negundo;SPE;S;Acer;Aceraceae;;5;;6;!;6;;6;;!;7;;7;;0;;;;;;;;P;;S;;;;;8;;4;;3;;3;;0;;;mb;;0;0;0;0;0;B2.1
13;ACEROPA;Acer opalus;SPE;S;Acer;Aceraceae;;5;;8;;4;;4;;;8;;6;;0;;;;;;;;P;;S;;;;;8;;4;;0;;0;;0;;;;;0;0;0;0;0;B1.2
14;ACERPLA;Acer platanoides;SPE;S;Acer;Aceraceae;;4;;6;;4;x;0;;x;0;x;0;;0;;;;;;;;P;;S;;;;;8;;4;;3;;4;;0;;;ombc;;0;0;0;0;0;B2.1
15;ACERPSE;Acer pseudoplatanus;SPE;S;Acer;Aceraceae;;4;;0;;4;;6;;x;0;;7;;0;;;;;;;;P;;S;;;;!;8;!;4;!;3;!;4;;0;;;ombc;;0;0;0;0;0;B2.1
17;ORCHANT;Aceras anthropophorum;SPE;S;Aceras;Orchidaceae;;7;;7;;2;;4;~;;8;;3;;0;;;;;;;;G;;S;;;;;5;;3;;2;;2;;0;;;om;;0;0;0;0;0;
19;ACHLATR;Achillea atrata;SPE;S;Achillea;Asteraceae;;9;!;2;;4;;5;;;8;;3;;0;;;;;;;;H;;W;;;;;4;;4;;1;;0;;0;;;;;0;0;0;0;0;K2.2
21;ACHLCLA;Achillea clavenae;SPE;S;Achillea;Asteraceae;;8;;2;!;5;;5;;;8;!;3;;0;;;;;;;;H;;W;;;;!;4;!;7;!;1;!;1;;0;;;;;0;0;0;0;0;K2.2
