name,nomenclature,family,lifeform,growthform,l,t,k,f,r,n,sociology,rlg,rlb,neo
Acer_campestre,http://www.worldfloraonline.org/taxon/wfo-0000514040,Aceraceae,P,wood,5,6,4,5,7,6,8400,*,na,0
Acer_pseudoplatanus,http://www.worldfloraonline.org/taxon/wfo-0000514908,Aceraceae,P,wood,4,na,4,6,na,7,8430,*,na,0
Achillea_millefolium,http://www.worldfloraonline.org/taxon/wfo-0000042097,Asteraceae,N,perennial,8,na,na,4,na,5,5420,*,na,0
Aegopodium_podagraria,http://www.worldfloraonline.org/taxon/wfo-0000521573,Apiaceae,N,perennial,5,5,3,6,7,8,3531,*,na,0
Agrostis_gigantea,http://www.worldfloraonline.org/taxon/wfo-0000843693,Poaceae,N,perennial,7,5,3,8,7,6,5400,*,na,0
Agrostis_stolonifera,http://www.worldfloraonline.org/taxon/wfo-0000844489,Poaceae,na,na,3,5,3,5,7,5,8430,*,na,0
Alnus_glutinosa,http://www.worldfloraonline.org/taxon/wfo-0000945215,Betulaceae,P,wood,6,4,5,7,8,na,8433,*,na,0
Alnus_incana,http://www.worldfloraonline.org/taxon/wfo-0000945749,Betulaceae,P,wood,5,5,3,9,6,na,8211,*,na,0
Alopecurus_aequalis,http://www.worldfloraonline.org/taxon/wfo-0000845386,Poaceae,H_T,annual_biennial,9,na,5,9,na,9,3210,*,na,0
Arabidopsis_arenosa,http://www.worldfloraonline.org/taxon/wfo-0000541763,Brassicaceae,N,biennial,9,na,4,4,6,2,na,*,na,0
Arenaria_serpyllifolia,http://www.worldfloraonline.org/taxon/wfo-0000546651,Caryophyllaceae,T,annual,8,na,na,4,7,na,na,*,na,0
Barbarea_stricta,http://www.worldfloraonline.org/taxon/wfo-0000560052,Brassicaceae,N,biennial,8,6,7,7,7,8,3531,*,2,0
Berula_erecta,http://www.worldfloraonline.org/taxon/wfo-0000564539,Apiaceae,N,perennial,8,6,3,10,8,6,1513,*,na,0
Betula_pendula,http://www.worldfloraonline.org/taxon/wfo-0000335449,Betulaceae,P,wood,7,na,na,na,na,na,na,*,na,0
Brachypodium_pinnatum,http://www.worldfloraonline.org/taxon/wfo-0000854513,Poaceae,N,perennial,6,5,5,4,7,4,5300,*,na,0
Brachypodium_sylvaticum,http://www.worldfloraonline.org/taxon/wfo-0000854603,Poaceae,N,perennial,3,5,3,5,6,6,8400,*,na,0
Bromus_erectus,http://www.worldfloraonline.org/taxon/wfo-0000855493,Poaceae,N,perennial,8,5,2,3,8,3,5320,*,na,0
Calamagrostis_epigejos,http://www.worldfloraonline.org/taxon/wfo-0000857259,Poaceae,N,perennial,7,5,7,na,na,6,na,*,na,0
Calamagrostis_pseudophragmites,http://www.worldfloraonline.org/taxon/wfo-0000857872,Poaceae,N,perennial,8,6,8,7,9,3,4441,2,2,0
Calystegia_sepium,http://www.worldfloraonline.org/taxon/wfo-0001296723,Convolvulaceae,N,perennial,8,6,5,6,7,9,3520,*,na,0
Cardamine_impatiens,http://www.worldfloraonline.org/taxon/wfo-0000586999,Brassicaceae,H_T,annual,5,na,4,6,7,8,3532,*,na,0
Carduus_personata,http://www.worldfloraonline.org/taxon/wfo-0000087420,Asteraceae,N,biennial,7,4,2,8,8,8,na,*,na,0
Carex_acuta,http://www.worldfloraonline.org/taxon/wfo-0000344146,Cyperaceae,na,perennial,na,na,na,na,na,na,na,*,na,0
Carex_acutiformis,http://www.worldfloraonline.org/taxon/wfo-0000344201,Cyperaceae,N,perennial,8,5,3,10,8,8,1513,*,na,0
Carex_cuprina,http://www.worldfloraonline.org/taxon/wfo-0000345812,Cyperaceae,N,perennial,6,6,2,8,7,6,8433,V,na,0
Carex_elata,http://www.worldfloraonline.org/taxon/wfo-0000346341,Cyperaceae,N,perennial,8,na,2,10,na,5,1514,*,na,0
Carex_elongata,http://www.worldfloraonline.org/taxon/wfo-0000346372,Cyperaceae,N,perennial,4,6,3,9,7,6,8211,*,3,0
Carex_flacca,http://www.worldfloraonline.org/taxon/wfo-0000346645,Cyperaceae,N,perennial,7,na,3,6,8,na,na,*,na,0
Carex_hirta,http://www.worldfloraonline.org/taxon/wfo-0000347452,Cyperaceae,N,perennial,7,6,3,6,na,5,3810,*,na,0
Carex_hostiana,http://www.worldfloraonline.org/taxon/wfo-0000347546,Cyperaceae,N,perennial,8,5,2,9,6,2,1721,2,3,0
Carex_nigra,http://www.worldfloraonline.org/taxon/wfo-0000349250,Cyperaceae,N,perennial,8,na,3,8,3,2,1730,*,na,0
Carex_pseudocyperus,http://www.worldfloraonline.org/taxon/wfo-0000350327,Cyperaceae,N,perennial,7,6,3,9,6,5,1510,*,3,0
Carlina_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000130786,Asteraceae,H_T,perennial,7,6,3,6,na,4,5400,*,na,0
Carpinus_betulus,http://www.worldfloraonline.org/taxon/wfo-0000804581,Betulaceae,P,wood,4,6,4,na,na,na,8432,*,na,0
Centaurium_erythraea,http://www.worldfloraonline.org/taxon/wfo-0000593916,Gentianaceae,H_T,annual_biennial,8,6,5,5,6,6,6210,V,na,0
Chaenorhinum_minus,http://www.worldfloraonline.org/taxon/wfo-0000598753,Scrophulariaceae,T,summer_annual,8,6,3,4,8,5,3300,*,na,0
Cirsium_arvense,http://www.worldfloraonline.org/taxon/wfo-0000006870,Asteraceae,N,perennial,8,5,na,na,na,7,3000,*,na,0
Cirsium_oleraceum,http://www.worldfloraonline.org/taxon/wfo-0000063143,Asteraceae,N,perennial,6,na,3,7,8,5,5415,*,na,0
Cirsium_palustre,http://www.worldfloraonline.org/taxon/wfo-0000043760,Asteraceae,N,perennial,7,5,3,8,4,3,5410,*,na,0
Cirsium_vulgare,http://www.worldfloraonline.org/taxon/wfo-0000081703,Asteraceae,N,biennial,8,5,3,5,7,8,3500,*,na,0
Clematis_vitalba,http://www.worldfloraonline.org/taxon/wfo-0000610926,Ranunculaceae,N,wood,7,6,3,5,7,7,8410,*,na,0
Cornus_sanguinea,http://www.worldfloraonline.org/taxon/wfo-0000924828,Cornaceae,P,wood,7,5,4,5,7,na,8410,*,na,0
Coryllus_avellana,http://www.worldfloraonline.org/taxon/wfo-0000925259,Betulaceae,P,wood,6,5,3,na,na,5,8400,*,na,0
Dactylis_glomerata,http://www.worldfloraonline.org/taxon/wfo-0000861498,Poaceae,N,perennial,7,na,3,5,na,6,na,*,na,0
Deschampsia_cespitosa,http://www.worldfloraonline.org/taxon/wfo-0000862467,Poaceae,N,perennial,6,na,na,7,na,3,na,*,na,0
Echinochloa_crus-galli,http://www.worldfloraonline.org/taxon/wfo-0000865236,Poaceae,T,summer_annual,6,7,5,5,na,8,3000,*,na,0
Eleocharis_mamillata,http://www.worldfloraonline.org/taxon/wfo-0000404955,Cyperaceae,N,perennial,8,5,na,10,4,3,1712,*,3,0
Eleocharis_palustris,http://www.worldfloraonline.org/taxon/wfo-0000405590,Cyperaceae,N,perennial,8,na,na,10,na,?,1510,*,*,0
Elymus_repens,http://www.worldfloraonline.org/taxon/wfo-0000866643,Poaceae,N,perennial,7,na,3,4,na,3,5420,*,na,0
Epilobium_hirsutum,http://www.worldfloraonline.org/taxon/wfo-0000669196,Onagraceae,N,na,7,5,5,8,8,8,3521,*,na,0
Epilobium_parviflorum,http://www.worldfloraonline.org/taxon/wfo-0000669577,Onagraceae,N,perennial,7,5,3,9,8,6,1513,*,na,0
Epilobium_tetragonum,http://www.worldfloraonline.org/taxon/wfo-0000669847,Onagraceae,N,perennial,7,6,4,8,6,5,3000,*,na,0
Equisetum_arvense,http://www.worldfloraonline.org/taxon/wfo-0001108914,Equisetaceae,N,perennial,6,na,na,6,na,3,na,*,na,0
Equisetum_hyemale,http://www.worldfloraonline.org/taxon/wfo-0000748047,Equisetaceae,N,perennial,5,5,5,7,7,6,8433,*,na,0
Equisetum_palustre,http://www.worldfloraonline.org/taxon/wfo-0001108921,Equisetaceae,N,perennial,7,na,5,8,na,3,5410,*,na,0
Equisetum_variegatum,http://www.worldfloraonline.org/taxon/wfo-0001108927,Equisetaceae,N,perennial,8,3,7,9,8,2,1722,2,3,0
Erigeron_acris,http://www.worldfloraonline.org/taxon/wfo-0000085388,Asteraceae,H_T,na,9,5,7,4,8,2,5322,*,na,0
Erigeron_annuus,http://www.worldfloraonline.org/taxon/wfo-0000069875,Asteraceae,N,na,7,6,na,6,na,8,3500,*,na,0
Erigeron_canadensis,http://www.worldfloraonline.org/taxon/wfo-0000015917,Asteraceae,H_T,annual,8,6,na,4,na,5,3330,*,na,0
Euonymus_europaeus,http://www.worldfloraonline.org/taxon/wfo-0000681728,Celastraceae,P,wood,6,5,3,5,8,5,8410,*,na,0
Eupatorium_cannabinum,http://www.worldfloraonline.org/taxon/wfo-0000035116,Asteraceae,N,perennial,6,na,na,8,na,na,3521,*,na,0
Euphorbia_cyparissias,http://www.worldfloraonline.org/taxon/wfo-0000961626,Euphorbiaceae,N,perennial,8,na,4,3,na,3,5300,*,na,0
Festuca_arundinacea,http://www.worldfloraonline.org/taxon/wfo-0000869819,Poaceae,N,perennial,8,5,na,7,7,4,3811,*,na,0
Festuca_spec,http://www.worldfloraonline.org/taxon/wfo-4000014703,Poaceae,N,na,na,na,na,na,na,na,na,na,na,na
Filipendula_ulmaria,http://www.worldfloraonline.org/taxon/wfo-0000983427,Rosaceae,N,perennial,7,5,na,8,na,4,5412,*,na,0
Fragaria_vesca,http://www.worldfloraonline.org/taxon/wfo-0000993770,Rosaceae,N,perennial,7,na,5,5,na,6,6200,*,na,0
Fraxinus_excelsior,http://www.worldfloraonline.org/taxon/wfo-0000832453,Oleaceae,P,wood,7,7,3,5,6,5,3310,*,na,0
Galium_anisophyllon,http://www.worldfloraonline.org/taxon/wfo-0000968286,Rubiaceae,N,perennial,na,na,na,na,na,na,na,*,na,0
Galium_aparine,http://www.worldfloraonline.org/taxon/wfo-0000968296,Rubiaceae,T,annual,7,6,3,na,6,8,3500,*,na,0
Galium_mollugo,http://www.worldfloraonline.org/taxon/wfo-0000969499,Rubiaceae,N,perennial,7,6,3,4,7,?,na,*,na,0
Geranium_robertianum,http://www.worldfloraonline.org/taxon/wfo-0000701246,Geraniaceae,H_T,annual,5,na,3,na,na,7,3532,*,na,0
Glechoma_hederacea,http://www.worldfloraonline.org/taxon/wfo-0000972872,Lamiaceae,N,perennial,6,6,3,6,na,7,3530,*,na,0
Hedera_helix,http://www.worldfloraonline.org/taxon/wfo-0000979730,Araliaceae,N,wood,4,5,2,5,na,na,na,*,na,0
Herniaria_glabra,http://www.worldfloraonline.org/taxon/wfo-0000720677,Caryophyllaceae,H_T,na,8,6,5,3,4,2,5200,*,na,0
Hippuris_vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000723768,Hippuridaceae,N,na,7,5,na,10,8,na,1511,3,3,0
Holcus_lanatus,http://www.worldfloraonline.org/taxon/wfo-0000874509,Poaceae,N,perennial,9,6,na,9,7,9,3211,*,na,0
Humulus_lupulus,http://www.worldfloraonline.org/taxon/wfo-0000725866,Cannabaceae,N,perennial,7,6,3,8,6,8,8000,*,na,0
Hypericum_maculatum,http://www.worldfloraonline.org/taxon/wfo-0000727911,Hypericaceae,N,perennial,8,na,3,6,3,2,5100,*,na,0
Hypericum_perforatum,http://www.worldfloraonline.org/taxon/wfo-0000728093,Hypericaceae,N,perennial,7,6,5,4,6,3,6100,*,na,0
Impatiens_glandulifera,http://www.worldfloraonline.org/taxon/wfo-0000730508,Balsaminaceae,T,summer_annual,5,7,2,8,7,7,3520,*,na,1
Iris_pseudacorus,http://www.worldfloraonline.org/taxon/wfo-0000783754,Iridaceae,N,perennial,4,na,4,7,5,7,1510,*,na,0
Isolepis_setacea,http://www.worldfloraonline.org/taxon/wfo-0000450321,Cyperaceae,H_T,na,6,5,2,9,5,3,3111,V,na,0
Jacobaea_aquatica,http://www.worldfloraonline.org/taxon/wfo-0000041258,Asteraceae,N,perennial,7,6,2,8,4,5,5415,V,na,0
Juncus_acutiflorus,http://www.worldfloraonline.org/taxon/wfo-0000775706,Juncaceae,N,perennial,9,6,2,8,5,3,5414,*,na,0
Juncus_articulatus,http://www.worldfloraonline.org/taxon/wfo-0000775879,Juncaceae,N,perennial,8,na,3,9,na,2,1700,*,na,0
Juncus_bulbosus,http://www.worldfloraonline.org/taxon/wfo-0000776091,Juncaceae,N,perennial,6,6,2,10,5,2,1410,*,na,0
Juncus_conglomeratus,http://www.worldfloraonline.org/taxon/wfo-0000776253,Juncaceae,N,perennial,8,5,3,7,4,3,5410,*,na,0
Juncus_effusus,http://www.worldfloraonline.org/taxon/wfo-0000776350,Juncaceae,N,perennial,8,5,3,7,3,4,5410,*,na,0
Juncus_inflexus,http://www.worldfloraonline.org/taxon/wfo-0000776625,Juncaceae,N,perennial,8,5,3,7,8,4,3811,*,na,0
Juncus_tenuis,http://www.worldfloraonline.org/taxon/wfo-0000777403,Juncaceae,N,perennial,6,6,3,6,5,5,3711,*,na,0
Lamium_galeobdolon,http://www.worldfloraonline.org/taxon/wfo-0000222509,Lamiaceae,N,perennial,3,5,4,5,7,5,8430,*,na,0
Lamium_maculatum,http://www.worldfloraonline.org/taxon/wfo-0000222579,Lamiaceae,N,perennial,5,na,4,6,7,8,na,*,na,0
