year_site_plot,year,region,site,plot,treatment_original,treatment_weightedMonth,mean_temp_3month,mean_precip_3month,mean_temp_year_DWD,mean_precip_year_DWD,temp_longterm_cdc,precip_longterm_cdc,altitude,grassland_number,soil_type,soil_type_agrolab,pH,phosphorus,potassium,organic_substance,N_total_percent,CN_relation
2018_IS_B1_P1,2018,IS,IS_B1,IS_B1_P1,B_4a,wm_26,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2018_IS_B1_P2,2018,IS,IS_B1,IS_B1_P2,B_ref,wm_36,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2018_IS_B1_P3,2018,IS,IS_B1,IS_B1_P3,B_3a,wm_16,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2018_IS_B1_P4,2018,IS,IS_B1,IS_B1_P4,B_4b,wm_30,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2018_IS_B1_P5,2018,IS,IS_B1,IS_B1_P5,B_2,wm_20,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2018_IS_B1_P6,2018,IS,IS_B1,IS_B1_P6,B_5,wm_48,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2018_IS_B1_P7,2018,IS,IS_B1,IS_B1_P7,B_1a,wm_16,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2018_IS_B1_P8,2018,IS,IS_B1,IS_B1_P8,B_3b,wm_10,13.84,82.5,8.95,na,7.2,1060,684,23.5,Niedermoor,MhSOM,5.3,6,7,27.7,1.22,13
2018_RIS_B1_P1,2018,WU,RIS_B1,RIS_B1_P1,B_4a,wm_26,13.84,82.5,8.95,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2018_RIS_B1_P2,2018,WU,RIS_B1,RIS_B1_P2,B_ref,wm_36,13.84,82.5,8.95,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2018_RIS_B1_P3,2018,WU,RIS_B1,RIS_B1_P3,B_3a,wm_16,13.84,82.5,8.95,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2018_RIS_B1_P4,2018,WU,RIS_B1,RIS_B1_P4,B_4b,wm_30,13.84,82.5,8.95,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2018_RIS_B1_P5,2018,WU,RIS_B1,RIS_B1_P5,B_2,wm_20,13.84,82.5,8.95,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2018_RIS_B1_P6,2018,WU,RIS_B1,RIS_B1_P6,B_5,wm_48,13.84,82.5,8.95,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2018_RIS_B1_P7,2018,WU,RIS_B1,RIS_B1_P7,B_1a,wm_16,13.84,82.5,8.95,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2018_RIS_B1_P8,2018,WU,RIS_B1,RIS_B1_P8,B_3b,wm_10,13.84,82.5,8.95,na,7.4,1015,649,34.5,Podsol,MlSOM,5,4,8,11.9,0.51,14
2018_S_B1_P1,2018,WU,S_B1,S_B1_P1,B_4a,wm_26,15.72,55.4,10.69,715.6,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2018_S_B1_P2,2018,WU,S_B1,S_B1_P2,B_ref,wm_36,15.72,55.4,10.69,715.6,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2018_S_B1_P3,2018,WU,S_B1,S_B1_P3,B_3a,wm_16,15.72,55.4,10.69,715.6,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2018_S_B1_P4,2018,WU,S_B1,S_B1_P4,B_4b,wm_30,15.72,55.4,10.69,715.6,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2018_S_B1_P5,2018,WU,S_B1,S_B1_P5,B_2,wm_20,15.72,55.4,10.69,715.6,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2018_S_B1_P6,2018,WU,S_B1,S_B1_P6,B_5,wm_48,15.72,55.4,10.69,715.6,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2018_S_B1_P7,2018,WU,S_B1,S_B1_P7,B_1b,wm_14,15.72,55.4,10.69,715.6,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
2018_S_B1_P8,2018,WU,S_B1,S_B1_P8,B_3b,wm_10,15.72,55.4,10.69,715.6,7.9,986,576,34.5,Podsol,peat,5.7,3,3,43.4,1.74,15
